PlotID,Latitude,Longitude,Site,UnitID,geometry
YOHOPIPO,37.80125190425718,-119.86943033431945,SNFDPN,YOHOPIPO,
BBBPIPO,36.56521557452934,-118.78940775847909,SNFDPN,BBBPIPO,
CCRPIPO,36.57036472906275,-118.80061198917755,SNFDPN,CCRPIPO,
CRCRPIPO,37.73075468854803,-119.76925138561388,SNFDPN,CRCRPIPO,
FFS7CONTROL,36.5812690045674,-118.76284312410432,Sequoia_FFS,FFS7CONTROL,
FFS5BURN,36.5848065655078,-118.75524501411778,Sequoia_FFS,FFS5BURN,
FFS6BURN,36.58518456912242,-118.7595567264451,Sequoia_FFS,FFS6BURN,
SUABCO,36.60317754185673,-118.7974505377194,SNFDPN,SUABCO,
SURIP,36.60199242796306,-118.79773605672963,SNFDPN,SURIP,
SUPILA,36.60317754185673,-118.7974505377194,SNFDPN,SUPILA,
SUWANEE COMBINED,36.60317754185673,-118.7974505377194,SNFDPN,SUWANEE COMBINED,
FRPIJE,36.6074540452606,-118.74572953337032,SNFDPN,FRPIJE,
LMCC,36.56439673932466,-118.74006681037017,SNFDPN,LMCC,
FFS2BURN,36.59505986494116,-118.74697048281212,Sequoia_FFS,FFS2BURN,
LOTHAR,36.56189884935918,-118.74260306893508,Sequoia_Tharp,LOTHAR,
LOGSEGI,36.55990471446439,-118.73534025437364,SNFDPN,LOGSEGI,
UPTHAR,36.56465963720082,-118.74304501449292,Sequoia_Tharp,UPTHAR,
LOLOG,36.55850898517576,-118.73709674551128,Sequoia_Tharp,LOLOG,
UPLOG,36.559498065314,-118.73355459486578,Sequoia_Tharp,UPLOG,
LOGPIJE,36.56690374195115,-118.7307141991234,SNFDPN,LOGPIJE,
SFTRABMA,37.84723782597052,-119.69679040008424,SNFDPN,SFTRABMA,
WTABMA,36.59970983564028,-118.70918916066006,SNFDPN,WTABMA,
POFLABMA,37.81749117296575,-119.56010557962152,SNFDPN,POFLABMA,
PGABMA,36.58605275126205,-118.70297516428091,SNFDPN,PGABMA,
HOMEPICO,36.37067,-118.65015,SNFDPN,HOMEPICO,
EMSALIX,36.595742383251896,-118.67505145363673,SNFDPN,EMSALIX,
EMSLOPE,36.59851394797016,-118.67218246179029,SNFDPN,EMSLOPE,
EMRIDGE,36.59630045199074,-118.6686916231076,SNFDPN,EMRIDGE,
ROCRPICO,36.4845142,-118.2741574,SNFDPN,ROCRPICO,
GIBBS,37.86163529516117,-119.22403712200274,SNFDPN,GIBBS,
CIRQUE,36.476869349896695,-118.25955491485264,SNFDPN,CIRQUE,
1,38.170359,-120.005911,STEF-VDT,1,
2,38.17183,-120.007225,STEF-VDT,2,
3,38.171948,-120.005271,STEF-VDT,3,
4,38.174135,-120.007128,STEF-VDT,4,
5,38.174104,-120.00507,STEF-VDT,5,
6,38.173018,-120.00329,STEF-VDT,6,
7,38.176647,-120.007185,STEF-VDT,7,
8,38.17623,-120.004646,STEF-VDT,8,
9,38.179665,-120.002165,STEF-VDT,9,
10,38.175851,-120.002999,STEF-VDT,10,
11,38.174772,-120.001765,STEF-VDT,11,
12,38.175723,-119.99985,STEF-VDT,12,
13,38.176821,-119.995159,STEF-VDT,13,
14,38.178473,-119.994461,STEF-VDT,14,
15,38.178429,-119.992434,STEF-VDT,15,
16,38.180016,-119.992743,STEF-VDT,16,
17,38.180322,-119.990005,STEF-VDT,17,
18,38.178424,-119.989315,STEF-VDT,18,
19,38.179249,-119.988396,STEF-VDT,19,
20,38.180508,-119.985999,STEF-VDT,20,
21,38.180434,-119.983463,STEF-VDT,21,
22,38.178849,-119.985337,STEF-VDT,22,
23,38.177214,-119.984914,STEF-VDT,23,
24,38.178601,-119.982991,STEF-VDT,24,
BS2,36.9567795514379,-119.01993608419254,Teakettle,BS2,
BC1,36.958331,-119.022447,Teakettle,BC1,
BC2,36.967901,-119.025194,Teakettle,BC2,
BC3,36.97041,-119.025519,Teakettle,BC3,
BN1,36.954652,-119.019879,Teakettle,BN1,
BN2,36.957345,-119.017334,Teakettle,BN2,
BN3,36.958742,-119.019998,Teakettle,BN3,
BS1,36.955294,-119.017661,Teakettle,BS1,
BS3,36.968412,-119.028004,Teakettle,BS3,
UC1,36.962533,-119.026568,Teakettle,UC1,
UC2,36.962865,-119.019759,Teakettle,UC2,
UN1,36.956546,-119.024073,Teakettle,UN1,
