"comppct.r","compname","majcompflag","mukey","cokey","ksat","cec","awc","total_depth","musym","muname","muacres"
4,"McCarthy","No",459921,26882415,NA,NA,NA,NA,"AaB","Aiken loam_2 to 9 percent slopes_low ffd",8954
3,"Guenoc","No",459921,26882416,NA,NA,NA,NA,"AaB","Aiken loam_2 to 9 percent slopes_low ffd",8954
8,"Cohasset","No",459921,26882417,NA,NA,NA,NA,"AaB","Aiken loam_2 to 9 percent slopes_low ffd",8954
85,"Aiken","Yes",459921,26882418,10.66,11.49,0.17,230,"AaB","Aiken loam_2 to 9 percent slopes_low ffd",8954
85,"Aiken","Yes",459922,26882419,9,22.5,0.16,229,"AaC","Aiken loam_8 to 15 percent slopes",6321
8,"Cohasset","No",459922,26882420,NA,NA,NA,NA,"AaC","Aiken loam_8 to 15 percent slopes",6321
3,"Guenoc","No",459922,26882421,NA,NA,NA,NA,"AaC","Aiken loam_8 to 15 percent slopes",6321
4,"McCarthy","No",459922,26882422,NA,NA,NA,NA,"AaC","Aiken loam_8 to 15 percent slopes",6321
8,"Cohasset","No",459923,26882423,NA,NA,NA,NA,"AaD","Aiken loam_15 to 30 percent slopes_low ffd",2716
4,"McCarthy","No",459923,26882424,NA,NA,NA,NA,"AaD","Aiken loam_15 to 30 percent slopes_low ffd",2716
3,"Guenoc","No",459923,26882425,NA,NA,NA,NA,"AaD","Aiken loam_15 to 30 percent slopes_low ffd",2716
85,"Aiken","Yes",459923,26882426,10.66,11.49,0.17,230,"AaD","Aiken loam_15 to 30 percent slopes_low ffd",2716
85,"Aiken","Yes",459924,26882427,9,22.5,0.16,229,"AbB","Aiken stony loam_0 to 8 percent slopes",6924
8,"Cohasset","No",459924,26882428,NA,NA,NA,NA,"AbB","Aiken stony loam_0 to 8 percent slopes",6924
3,"Guenoc","No",459924,26882429,NA,NA,NA,NA,"AbB","Aiken stony loam_0 to 8 percent slopes",6924
4,"McCarthy","No",459924,26882430,NA,NA,NA,NA,"AbB","Aiken stony loam_0 to 8 percent slopes",6924
85,"Aiken","Yes",459925,26882431,9,22.5,0.16,229,"AbC","Aiken stony loam_8 to 15 percent slopes",6621
