UnitID,Treatment,BA_reduction
10,None,-22.222222222222225
22,None,-4.761904761904771
23,Thin,0.0
47,Thin,35.71428571428571
64,Thin,0.0
66,None,0.0
87,Thin,5.882352941176481
88,Thin,-28.571428571428577
99,Thin,0.0
101,Thin,0.0
102,None,-13.04347826086957
119,None,-24.999999999999993
120,None,9.999999999999988
122,None,-21.428571428571434
123,Thin,0.0
124,Thin,-24.999999999999993
125,Thin,76.47058823529413
126,Thin,-57.14285714285715
130,Thin,0.0
150,None,-20.000000000000018
156,None,
159,None,0.0
181,None,
190,None,-11.764705882352937
