UnitID,Treatment,BA_reduction
3,Burn,11.538076261802948
14,Burn,-4.907067355046705
16,Burn,-1.991442156953449
19,Burn,-4.326714371117426
4,Thin,46.24331680625451
5,Thin,44.75567164625365
8,Thin,43.64496146970793
9,Thin,39.784838743176856
10,Thin,46.217522387095286
11,Thin,42.10498750957848
21,Thin,43.704603723419766
24,Thin,45.018400317349574
1,Burn+Thin,36.329126742139266
2,Burn+Thin,37.15476902318942
13,Burn+Thin,45.32274802666533
15,Burn+Thin,46.42893402190311
17,Burn+Thin,47.86104222930678
18,Burn+Thin,49.854657348673
22,Burn+Thin,30.550077251167906
23,Burn+Thin,36.1025378377709
6,None,-5.605302490612161
7,None,-5.902412088355828
12,None,-5.053014448101751
20,None,-4.843700507753017
