UnitID,Species,Species_frac
BC1,ABCO,0.5772441506115819
BC1,ABMA,0.0211051058964511
BC1,CADE,0.2378144208054826
BC1,PIJE,0.0860458433798432
BC1,PILA,0.0507965922771549
BC1,PISP,0.0089351046478524
BC1,PREM,0.0
BC1,QUCH,0.0
BC1,QUKE,0.0009287035985394
BC1,SASP,0.0
BC1,UNKN,0.0171300787830941
BC2,ABCO,0.3418256416539983
BC2,ABMA,0.0038363467346918
BC2,CADE,0.3818156295190948
BC2,PIJE,0.1766263216957182
BC2,PILA,0.0749210181040643
BC2,PISP,0.0
BC2,PREM,0.0
BC2,QUCH,0.0
BC2,QUKE,0.011202645387236
BC2,SASP,0.0005906244381451
BC2,UNKN,0.0091817724670512
BC3,ABCO,0.4838732780864047
BC3,ABMA,0.0
BC3,CADE,0.1724619274043867
BC3,PIJE,0.2187314420292035
BC3,PILA,0.1194631915125246
BC3,PISP,0.0
BC3,PREM,7.665584315415472e-05
BC3,QUCH,0.0
BC3,QUKE,0.0053935051243263
BC3,SASP,0.0
BC3,UNKN,0.0
BN1,ABCO,0.5589660238303626
BN1,ABMA,0.0
BN1,CADE,0.1099695827994237
BN1,PIJE,0.0627540286852043
BN1,PILA,0.2590174885856562
BN1,PISP,0.0069503676590856
BN1,PREM,0.0
BN1,QUCH,0.0
BN1,QUKE,9.762930703571578e-05
BN1,SASP,0.0
BN1,UNKN,0.0022448791332317
BN2,ABCO,0.5814834119408266
BN2,ABMA,0.0
BN2,CADE,0.1252869368956375
BN2,PIJE,0.0901773113171785
BN2,PILA,0.1942595795856362
BN2,PISP,0.0
BN2,PREM,0.0
BN2,QUCH,8.587698761658e-05
BN2,QUKE,0.0011591011583659
BN2,SASP,0.0
BN2,UNKN,0.0075477821147384
BN3,ABCO,0.5950130368690575
BN3,ABMA,0.0
BN3,CADE,0.2299048473035327
BN3,PIJE,0.0944927522717773
BN3,PILA,0.079376677600259
BN3,PISP,0.0
BN3,PREM,0.0
BN3,QUCH,0.0
BN3,QUKE,0.000154297318615
BN3,SASP,0.0
BN3,UNKN,0.0010583886367583
BS1,ABCO,0.5466885154933945
BS1,ABMA,0.0016227840385062
BS1,CADE,0.2158504284583805
BS1,PIJE,0.1091667301425313
BS1,PILA,0.1156742101405399
BS1,PISP,0.0009711436707532
BS1,PREM,0.0
BS1,QUCH,0.0
BS1,QUKE,0.0020131727824894
BS1,SASP,0.0
BS1,UNKN,0.0080130152734047
BS2,ABCO,0.5490467762958031
BS2,ABMA,0.0
BS2,CADE,0.1916013061885669
BS2,PIJE,0.0738447645943639
BS2,PILA,0.1838220886716001
BS2,PISP,0.0
BS2,PREM,0.0
BS2,QUCH,0.0
BS2,QUKE,0.0014584771105198
BS2,SASP,0.0002265871391459
BS2,UNKN,0.0
BS3,ABCO,0.5501162106946678
BS3,ABMA,0.0124295125683162
BS3,CADE,0.2028925480425199
BS3,PIJE,0.1171776869295213
BS3,PILA,0.0723650045192006
BS3,PISP,9.1505014173245e-05
BS3,PREM,0.0
BS3,QUCH,0.0
BS3,QUKE,0.0283274555237877
BS3,SASP,0.0
BS3,UNKN,0.016600076707813
UC1,ABCO,0.5705990206818902
UC1,ABMA,0.229778971514682
UC1,CADE,0.0283388753239917
UC1,PIJE,0.0273935101484052
UC1,PILA,0.1433207717940776
UC1,PISP,0.0001235933031228
UC1,PREM,0.0
UC1,QUCH,0.0
UC1,QUKE,0.0
UC1,SASP,0.0
UC1,UNKN,0.0004452572338302
UC2,ABCO,0.513019682274491
UC2,ABMA,0.0128841664770989
UC2,CADE,0.2133026779764514
UC2,PIJE,0.0530550058929191
UC2,PILA,0.2077384673790395
UC2,PISP,0.0
UC2,PREM,0.0
UC2,QUCH,0.0
UC2,QUKE,0.0
UC2,SASP,0.0
UC2,UNKN,0.0
UC3,ABCO,0.5449245508557109
UC3,ABMA,0.0110978340502812
UC3,CADE,0.1080234552738656
UC3,PIJE,0.0993138980663402
UC3,PILA,0.2343321666060735
UC3,PISP,0.0
UC3,PREM,0.0
UC3,QUCH,0.0
UC3,QUKE,0.0
UC3,SASP,0.0
UC3,UNKN,0.0023080951477284
US1,ABCO,0.5925649077660678
US1,ABMA,0.0438881341427074
US1,CADE,0.0470827477623636
US1,PIJE,0.0981494652264197
US1,PILA,0.1983811599384913
US1,PISP,0.0143114714767034
US1,PREM,0.0
US1,QUCH,0.0
US1,QUKE,0.0010514689567161
US1,SASP,0.0001128131126967
US1,UNKN,0.0044578316178336
US2,ABCO,0.5736669028960517
US2,ABMA,0.0070236346449772
US2,CADE,0.0255811255018723
US2,PIJE,0.1225060223251361
US2,PILA,0.2699781293496703
US2,PISP,0.0
US2,PREM,0.0
US2,QUCH,0.0
US2,QUKE,0.0
US2,SASP,8.519446436854177e-05
US2,UNKN,0.0011589908179236
US3,ABCO,0.5018334860032339
US3,ABMA,0.0023838199959711
US3,CADE,0.1556472864128317
US3,PIJE,0.1235145843092944
US3,PILA,0.2030609265528747
US3,PISP,0.0013977425464797
US3,PREM,0.0
US3,QUCH,0.0
US3,QUKE,0.005109674339997
US3,SASP,0.0
US3,UNKN,0.0070524798393172
