Site,UnitID,TotalDepth,AWC_50cm,ppt_by_waterYr,tmax_by_waterYr,cwd_by_waterYr,pdsi_by_waterYr,rSDI,Treatment,BA_reduction
Blodgett,180,155.5205082051428,0.1530661544954342,959.9605,27.728548,542.3003,-0.3190734,0.360389312171335,Burn+Thin,23.107300027395823
Blodgett,190,160.46462778869176,0.1438658132007656,959.9605,27.728548,542.3003,-0.3190734,0.4923217613914338,Thin,12.928511351697342
Blodgett,240,164.48856406605938,0.16,959.9605,27.728548,542.3003,-0.3190734,0.6725964160779268,None,-4.091528539749859
Blodgett,340,162.08916517826202,0.1560377269461162,959.9605,27.728548,542.3003,-0.3190734,0.518709119510504,Burn,0.1276432365247964
Blodgett,350,158.99033312303197,0.1344839380556577,959.9605,27.728548,542.3003,-0.3190734,0.4438837176416871,Thin,28.03261983446991
Blodgett,380,158.875,0.1337499999999999,959.9605,27.728548,542.3003,-0.3190734,0.3979160913315263,Burn+Thin,22.90147016162928
Blodgett,40,169.2974852413234,0.16,959.9605,27.728548,542.3003,-0.3190734,0.6985798642051219,None,-2.6048081893996544
Blodgett,400,163.70783814413758,0.16,959.9605,27.728548,542.3003,-0.3190734,0.5509477442950941,Burn,-1.4567846537083888
Blodgett,490,167.6930382211241,0.152291872291978,959.9605,27.728548,542.3003,-0.3190734,0.4597387440102587,Thin,16.655215058865938
Blodgett,570,167.54190196629665,0.1966740827690031,959.9605,27.728548,542.3003,-0.3190734,0.3902522939914938,Burn+Thin,34.140817386172
Blodgett,590,158.67657293152595,0.1324872822915287,959.9605,27.728548,542.3003,-0.3190734,0.6570241842099186,None,-3.399463081611977
Blodgett,60,163.97895428986226,0.1599999999999999,959.9605,27.728548,542.3003,-0.3190734,0.4698045271533515,Burn,2.176368788558202
LaTour,10,200.0,0.13,695.897,24.285917,484.53226,-0.6714272,0.3948075838261574,None,-22.222222222222225
LaTour,101,142.125,0.07,695.897,24.285917,484.53226,-0.6714272,0.1867209469123261,Thin,0.0
LaTour,102,229.0,0.16,695.897,24.285917,484.53226,-0.6714272,0.8501348321100513,None,-13.04347826086957
LaTour,119,200.0,0.13,695.897,24.285917,484.53226,-0.6714272,0.3489364423600308,None,-24.999999999999996
LaTour,120,142.125,0.07,695.897,24.285917,484.53226,-0.6714272,0.317862885406743,None,9.999999999999988
LaTour,122,142.125,0.07,695.897,24.285917,484.53226,-0.6714272,0.5736031446421045,None,-21.428571428571438
LaTour,123,142.125,0.07,695.897,24.285917,484.53226,-0.6714272,0.6063846596649222,Thin,0.0
LaTour,124,142.125,0.07,695.897,24.285917,484.53226,-0.6714272,0.3598736565074144,Thin,-24.999999999999996
LaTour,125,142.125,0.07,695.897,24.285917,484.53226,-0.6714272,0.1399804158912919,Thin,76.47058823529413
LaTour,126,142.125,0.07,695.897,24.285917,484.53226,-0.6714272,0.5059084632310783,Thin,-57.14285714285715
LaTour,130,160.0,0.18,695.897,24.285917,484.53226,-0.6714272,0.5651686682387466,Thin,0.0
LaTour,150,101.66666666666666,0.1099999999999999,695.897,24.285917,484.53226,-0.6714272,0.1932991763409735,None,-20.000000000000018
