"Effect","Cedar","Fir","Yellow Pine","Sugar Pine"
"rSDI","0.9
[0.79, 1]*","0.97
[0.78, 1.2]","0.96
[0.7, 1.3]","1
[0.87, 1.1]"
"Burn","1.1
[0.91, 1.3]","1
[0.79, 1.3]","1
[0.76, 1.4]","0.97
[0.77, 1.2]"
"Thin","0.95
[0.79, 1.1]","0.98
[0.9, 1.1]","1
[0.68, 1.5]","0.91
[0.75, 1.1]"
"Thin:Burn","1
[0.82, 1.3]","1
[0.79, 1.3]","0.96
[0.73, 1.3]","1.1
[0.88, 1.3]"
"Winter precip","1
[0.98, 1]","1
[1, 1]**","1
[0.93, 1.1]","1
[0.94, 1.1]"
"Burn","1
[0.97, 1]","0.99
[0.92, 1.1]","1
[0.88, 1.2]","0.99
[0.98, 0.99]**"
"Thin","0.99
[0.96, 1]","0.99
[0.96, 1]","0.96
[0.88, 1]","1
[0.94, 1.1]"
"Thin:Burn","1
[0.97, 1]","1
[0.93, 1.1]","1
[0.97, 1.1]","1
[0.99, 1]*"
"CWD","1
[0.93, 1.1]","0.99
[0.96, 1]","0.99
[0.77, 1.3]","0.97
[0.93, 1]*"
"Burn","0.99
[0.89, 1.1]","1
[0.95, 1.1]","0.98
[0.6, 1.6]","1
[0.91, 1.2]"
"Thin","1
[0.85, 1.2]","1
[0.98, 1.1]","1.1
[0.7, 1.7]","1
[0.91, 1.1]"
"Thin:Burn","0.99
[0.82, 1.2]","1
[0.96, 1]","0.96
[0.87, 1.1]","0.99
[0.87, 1.1]"
"PDSI","1
[0.97, 1]","1
[1, 1.1]*","0.99
[0.66, 1.5]","1
[0.88, 1.2]"
"Burn","1
[0.89, 1.1]","0.99
[0.88, 1.1]","1.1
[0.72, 1.6]","0.98
[0.9, 1.1]"
"Thin","0.97
[0.94, 1]*","0.95
[0.87, 1]","0.86
[0.62, 1.2]","1
[0.94, 1.1]"
"Thin:Burn","1
[0.94, 1.2]","1
[0.89, 1.2]","1.1
[0.84, 1.4]","1
[0.92, 1.1]"
"Soil depth","0.99
[0.87, 1.1]","0.98
[0.93, 1]","1
[0.89, 1.2]","1
[0.91, 1.2]"
"Burn","1
[0.87, 1.2]","1
[0.99, 1.1]","0.97
[0.87, 1.1]","0.98
[0.86, 1.1]"
"Thin","1
[0.88, 1.2]","1
[0.96, 1.1]","0.96
[0.73, 1.3]","0.96
[0.81, 1.1]"
"Thin:Burn","0.98
[0.86, 1.1]","0.96
[0.87, 1.1]","1
[0.84, 1.3]","1
[0.87, 1.2]"
"AWC","0.98
[0.92, 1]","1
[0.94, 1.1]","1
[0.9, 1.2]","1
[1, 1.1]**"
"Burn","1
[0.99, 1.1]*","1
[0.86, 1.2]","1
[0.84, 1.2]","0.97
[0.87, 1.1]"
"Thin","1
[0.89, 1.1]","1
[0.96, 1.1]","0.96
[0.83, 1.1]","0.95
[0.87, 1]"
"Thin:Burn","1
[0.93, 1.1]","1
[0.89, 1.1]","1
[0.98, 1.1]","1.1
[1, 1.1]**"
