"common_nm","PFT","$\beta_0$","$\beta_1$","$\beta_2$","$\beta_3$","$\gamma_{Burn}$","$\gamma_{Thin}$","$\gamma_{Thin+Burn}$","$\kappa_{Burn}$","$\kappa_{Thin}$","$\kappa_{Thin+Burn}$","$\nu_{Burn}$","$\nu_{Thin}$","$\nu_{Thin+Burn}$","sd($\alpha_{tree}$)","sd($\alpha_{unit}$)","$\sigma_{obs}$","$\sigma_{proc}$"
"LaTour","Fir","-1.3
[-1.5, -1.1]","0.61
[0.42, 0.82]","-0.5
[-0.66, -0.34]","-0.0086
[-0.11, 0.095]",NA,"0.43
[0.16, 0.72]",NA,NA,"-0.046
[-0.17, 0.082]",NA,NA,"-0.1
[-0.27, 0.059]",NA,"0.31
[0.24, 0.38]","0.29
[0.18, 0.43]","0.57
[0.51, 0.64]","0.22
[0.032, 0.48]"
"W. Lake Tahoe","Fir","-1.2
[-1.6, -0.82]","0.56
[0.48, 0.66]","-0.38
[-0.47, -0.29]","-0.18
[-0.57, 0.29]",NA,"0.47
[-0.046, 1.1]",NA,NA,"0.38
[-0.24, 0.99]",NA,NA,"-0.35
[-0.44, -0.25]",NA,"0.42
[0.38, 0.46]","0.34
[0.13, 0.88]","1.1
[1.1, 1.2]","0.22
[0.02, 0.57]"
"Blodgett","Fir","-0.95
[-1.2, -0.63]",NA,"-0.2
[-0.3, -0.1]","0.19
[0.15, 0.23]","0.0049
[-0.49, 0.45]","0.36
[-0.12, 0.82]","0.091
[-0.4, 0.55]","-0.086
[-0.15, -0.023]","-0.048
[-0.11, 0.015]","-0.039
[-0.12, 0.044]","-0.057
[-0.17, 0.052]","-0.2
[-0.32, -0.091]","-0.28
[-0.44, -0.11]","0.47
[0.43, 0.51]","0.28
[0.15, 0.51]","0.87
[0.83, 0.91]","0.099
[0.019, 0.25]"
"Blodgett","Cedar","-1.7
[-2, -1.5]",NA,"-0.17
[-0.26, -0.079]","0.2
[0.15, 0.25]","0.23
[-0.076, 0.57]","0.72
[0.4, 1.1]","0.86
[0.53, 1.2]","-0.11
[-0.18, -0.034]","-0.14
[-0.22, -0.068]","-0.18
[-0.27, -0.098]","-0.033
[-0.15, 0.079]","-0.11
[-0.23, 0.02]","-0.36
[-0.5, -0.22]","0.52
[0.48, 0.57]","0.17
[0.083, 0.34]","0.78
[0.75, 0.82]","0.44
[0.31, 0.55]"
"Blodgett","Yellow Pine","-0.68
[-0.84, -0.5]",NA,"-0.41
[-0.57, -0.26]","0.097
[0.014, 0.18]","0.082
[-0.17, 0.34]","-0.14
[-0.5, 0.18]","0.024
[-0.23, 0.24]","-0.058
[-0.19, 0.068]","0.1
[-0.066, 0.27]","-0.046
[-0.16, 0.062]","-0.17
[-0.34, 0.0035]","0.32
[-0.036, 0.69]","-0.14
[-0.32, 0.034]","0.32
[0.27, 0.37]","0.093
[0.0048, 0.27]","1
[0.97, 1.1]","0.14
[0.018, 0.36]"
"Blodgett","Sugar Pine","-0.13
[-0.34, 0.083]",NA,"-0.25
[-0.44, -0.077]","0.093
[-0.023, 0.21]","-0.34
[-0.61, -0.07]","0.11
[-0.15, 0.38]","-0.2
[-0.47, 0.083]","0.032
[-0.13, 0.19]","-0.081
[-0.22, 0.058]","-0.1
[-0.26, 0.055]","0.00065
[-0.22, 0.23]","-0.37
[-0.59, -0.16]","-0.34
[-0.56, -0.13]","0.3
[0.24, 0.37]","0.074
[0.0026, 0.24]","1.3
[1.1, 1.5]","0.23
[0.034, 0.49]"
"STEF","Fir","-1.6
[-1.8, -1.4]","0.48
[0.38, 0.59]","-0.35
[-0.45, -0.25]","0.11
[0.054, 0.17]","-0.21
[-0.49, 0.06]","0.89
[0.63, 1.1]","0.6
[0.35, 0.84]","0.26
[0.042, 0.56]","-0.12
[-0.19, -0.052]","-0.036
[-0.16, 0.1]","0.048
[-0.071, 0.17]","-0.25
[-0.37, -0.12]","-0.14
[-0.29, 0.0069]","0.54
[0.5, 0.57]","0.17
[0.1, 0.26]","0.27
[0.26, 0.28]","0.062
[0.0049, 0.16]"
"STEF","Cedar","-1.9
[-2.1, -1.7]","0.57
[0.47, 0.66]","-0.19
[-0.27, -0.11]","-0.25
[-0.31, -0.2]","0.094
[-0.17, 0.36]","1.1
[0.88, 1.4]","0.73
[0.48, 0.99]","0.24
[0.084, 0.4]","0.008
[-0.065, 0.081]","0.19
[0.071, 0.32]","-0.15
[-0.25, -0.043]","-0.37
[-0.49, -0.25]","-0.23
[-0.36, -0.11]","0.45
[0.41, 0.48]","0.17
[0.11, 0.26]","0.21
[0.2, 0.22]","0.23
[0.11, 0.33]"
"STEF","Yellow Pine","-0.93
[-1.2, -0.64]","0.85
[0.63, 1.1]","-0.51
[-0.71, -0.31]","-0.11
[-0.19, -0.037]","-0.49
[-0.93, -0.068]","0.7
[0.28, 1.1]","0.21
[-0.21, 0.61]","-0.064
[-0.35, 0.26]","-0.043
[-0.14, 0.054]","0.21
[0.013, 0.43]","0.041
[-0.26, 0.35]","-0.57
[-0.95, -0.2]","-0.17
[-0.5, 0.15]","0.49
[0.41, 0.59]","0.17
[0.015, 0.39]","0.22
[0.18, 0.25]","0.16
[0.02, 0.28]"
"STEF","Sugar Pine","-1.2
[-1.4, -1]","0.75
[0.56, 0.96]","-0.32
[-0.47, -0.17]","-0.045
[-0.2, 0.11]","-0.098
[-0.49, 0.24]","0.64
[0.4, 0.88]","0.32
[0.039, 0.59]","-0.47
[-0.93, 0.00054]","-0.09
[-0.26, 0.07]","-0.13
[-0.38, 0.14]","-0.28
[-0.61, 0.062]","-0.18
[-0.37, 0.012]","-0.31
[-0.55, -0.069]","0.39
[0.32, 0.47]","0.11
[0.006, 0.25]","0.36
[0.32, 0.39]","0.15
[0.0097, 0.34]"
