"Parameter","Cedar","Fir","Sugar Pine","Yellow Pine"
"Intercept","-1.7**
[-2, -1.4] 
p=0.0017","-1.4**
[-1.5, -1.3] 
p=8.2e-06","-1.4**
[-1.9, -0.9] 
p=0.0043","-1.5*
[-3.5, 0.46] 
p=0.067"
"Burn","0.067
[-0.36, 0.5] 
p=0.54","0.11
[-0.46, 0.68] 
p=0.6","0.11**
[0.052, 0.16] 
p=0.015","0.023
[-3.2, 3.3] 
p=0.96"
"Thin","0.91**
[0.2, 1.6] 
p=0.035","0.63**
[0.33, 0.93] 
p=0.0046","0.9**
[0.64, 1.2] 
p=0.0073","0.48
[-1.6, 2.5] 
p=0.27"
"Winter precip","4.2e-05
[-0.0015, 0.0016] 
p=0.87","9e-04**
[0.00022, 0.0016] 
p=0.032","0.001
[-0.006, 0.008] 
p=0.45","4e-04
[-0.0077, 0.0085] 
p=0.75"
"Thin:Burn","-0.33
[-1, 0.37] 
p=0.14","-0.23
[-0.81, 0.34] 
p=0.26","-0.23**
[-0.36, -0.099] 
p=0.017","0.0091
[-0.79, 0.81] 
p=0.94"
"Burn:Winter precip","4e-04
[-0.0034, 0.0042] 
p=0.59","-0.00061
[-0.0082, 0.007] 
p=0.69","-0.0014**
[-0.002, -0.00086] 
p=0.018","0.0012
[-0.012, 0.015] 
p=0.62"
"Thin:Winter precip","-6e-04
[-0.004, 0.0028] 
p=0.38","-0.00075
[-0.0044, 0.0029] 
p=0.43","-0.00017
[-0.0062, 0.0058] 
p=0.82","-0.0041
[-0.013, 0.0048] 
p=0.13"
"Burn:Thin:Winter precip","0.00092
[-0.0028, 0.0047] 
p=0.28","0.00043
[-0.0071, 0.008] 
p=0.79","0.00069*
[-0.00055, 0.0019] 
p=0.099","0.0022
[-0.0034, 0.0079] 
p=0.16"
"$\tau^2_{site}$","1.2e-08","0.0085","0.082","0.0055"
"$\tau^2_{treatment}$","0.006","0.038","1.8e-10","0.17"
"$\tau^2_{unit}$","0.011","0.016","6.3e-12","9.7e-12"
