"Parameter","Cedar","Fir","Sugar Pine","Yellow Pine"
"Intercept","-1.7**
[-2.1, -1.3] 
p=0.0054","-1.4**
[-1.6, -1.2] 
p=3.7e-05","-1.4**
[-1.7, -1.2] 
p=0.00061","-1.5*
[-4, 0.91] 
p=0.081"
"Burn","0.062
[-0.46, 0.59] 
p=0.54","0.16
[-0.46, 0.77] 
p=0.38","0.11
[-0.29, 0.52] 
p=0.31","0.032
[-4.5, 4.6] 
p=0.95"
"Thin","0.9*
[-0.19, 2] 
p=0.063","0.64**
[0.33, 0.95] 
p=0.0056","0.91**
[0.45, 1.4] 
p=0.021","0.48
[-3.3, 4.3] 
p=0.39"
"CWD","-6.1e-05
[-0.0075, 0.0073] 
p=0.95","-0.0013
[-0.0039, 0.0014] 
p=0.23","-0.0032*
[-0.0075, 0.0012] 
p=0.077","-0.0011
[-0.026, 0.024] 
p=0.71"
"Thin:Burn","-0.3
[-1.4, 0.82] 
p=0.22","-0.31
[-0.79, 0.17] 
p=0.11","-0.25
[-0.84, 0.33] 
p=0.15","0.0012
[-1.2, 1.2] 
p=0.99"
"Burn:CWD","-0.0013
[-0.012, 0.0097] 
p=0.43","0.00021
[-0.0046, 0.005] 
p=0.87","0.0025
[-0.009, 0.014] 
p=0.27","-0.0019
[-0.051, 0.047] 
p=0.74"
"Thin:CWD","0.0011
[-0.016, 0.018] 
p=0.6","0.0017
[-0.0021, 0.0054] 
p=0.24","0.00065
[-0.0091, 0.01] 
p=0.6","0.0078
[-0.036, 0.051] 
p=0.3"
"Burn:Thin:CWD","-0.0014
[-0.02, 0.017] 
p=0.56","-0.00034
[-0.0043, 0.0036] 
p=0.74","-0.0012
[-0.014, 0.012] 
p=0.51","-0.0043
[-0.014, 0.0057] 
p=0.12"
"$\tau^2_{site}$","8.7e-10","0.011","0.056","5.7e-08"
"$\tau^2_{treatment}$","0.0053","0.035","5.3e-09","0.23"
"$\tau^2_{unit}$","0.011","0.016","2.5e-05","0"
