"Parameter","Cedar","Fir","Sugar Pine","Yellow Pine"
"Intercept","-1.7**
[-1.9, -1.5] 
p=0.0011","-1.4**
[-1.5, -1.3] 
p=1.3e-06","-1.5**
[-2, -0.93] 
p=0.0032","-1.5*
[-3.8, 0.84] 
p=0.08"
"Burn","0.092
[-0.43, 0.61] 
p=0.53","0.12
[-0.24, 0.48] 
p=0.38","0.2
[-0.11, 0.51] 
p=0.11","-0.022
[-2.3, 2.2] 
p=0.93"
"Thin","0.92**
[0.64, 1.2] 
p=0.0081","0.67**
[0.47, 0.86] 
p=0.0012","0.88**
[0.63, 1.1] 
p=0.009","0.54
[-1, 2.1] 
p=0.16"
"PDSI","0.05
[-0.3, 0.4] 
p=0.55","0.26*
[-0.028, 0.55] 
p=0.061","0.19
[-1.3, 1.6] 
p=0.6","-0.077
[-4.2, 4] 
p=0.86"
"Thin:Burn","-0.37
[-1, 0.28] 
p=0.11","-0.26*
[-0.61, 0.083] 
p=0.087","-0.28*
[-0.6, 0.043] 
p=0.062","-0.015
[-1.5, 1.5] 
p=0.93"
"Burn:PDSI","-0.02
[-1.1, 1.1] 
p=0.94","-0.14
[-1.2, 0.94] 
p=0.63","-0.25
[-1, 0.55] 
p=0.28","0.66
[-3.2, 4.6] 
p=0.29"
"Thin:PDSI","-0.26*
[-0.6, 0.087] 
p=0.077","-0.48
[-1.4, 0.45] 
p=0.16","0.11
[-0.61, 0.83] 
p=0.38","-1.5
[-4.8, 1.8] 
p=0.11"
"Burn:Thin:PDSI","0.41
[-0.66, 1.5] 
p=0.19","0.25
[-1.2, 1.7] 
p=0.5","0.13
[-0.85, 1.1] 
p=0.54","0.78
[-1.8, 3.4] 
p=0.17"
"$\tau^2_{site}$","7.7e-08","0.021","0.074","0.0083"
"$\tau^2_{treatment}$","0.015","0.022","0.00016","0.018"
"$\tau^2_{unit}$","0.011","0.016","5.3e-05","1.6e-10"
