"Parameter","Cedar","Fir","Sugar Pine","Yellow Pine"
"Intercept","-1.7**
[-2, -1.4] 
p=0.0017","-1.4**
[-1.6, -1.2] 
p=4.8e-06","-1.5**
[-1.9, -1.1] 
p=6e-04","-1.5**
[-2.1, -0.86] 
p=0.0096"
"Burn","0.094
[-0.27, 0.46] 
p=0.42","0.098
[-0.2, 0.4] 
p=0.43","0.21*
[-0.071, 0.49] 
p=0.09","0.065
[-1.2, 1.3] 
p=0.85"
"Thin","0.87**
[0.33, 1.4] 
p=0.02","0.63**
[0.34, 0.92] 
p=0.003","0.86**
[0.67, 1] 
p=0.0026","0.47
[-1.5, 2.4] 
p=0.4"
"Soil depth","-0.0012
[-0.013, 0.011] 
p=0.69","-0.0019
[-0.0069, 0.0032] 
p=0.16","0.0033
[-0.0096, 0.016] 
p=0.43","0.004
[-0.012, 0.02] 
p=0.21"
"Thin:Burn","-0.29
[-0.75, 0.17] 
p=0.12","-0.23*
[-0.5, 0.042] 
p=0.078","-0.28*
[-0.62, 0.066] 
p=0.071","-0.059
[-0.79, 0.68] 
p=0.76"
"Burn:Soil depth","0.0016
[-0.014, 0.018] 
p=0.7","0.0023
[-0.0014, 0.0059] 
p=0.13","-0.0016
[-0.015, 0.012] 
p=0.7","-0.0032
[-0.014, 0.0077] 
p=0.2"
"Thin:Soil depth","0.00055
[-0.013, 0.014] 
p=0.89","0.0026
[-0.0036, 0.0088] 
p=0.28","-0.0043
[-0.022, 0.013] 
p=0.45","-0.0044
[-0.031, 0.023] 
p=0.42"
"Burn:Thin:Soil depth","-0.002
[-0.016, 0.012] 
p=0.64","-0.0037
[-0.014, 0.0067] 
p=0.32","0.0028
[-0.014, 0.019] 
p=0.63","0.0042
[-0.018, 0.026] 
p=0.45"
"$\tau^2_{site}$","4.3e-08","0.011","0.055","5.8e-10"
"$\tau^2_{treatment}$","0.017","0.033","4.9e-10","0.17"
"$\tau^2_{unit}$","0.012","0.017","2.7e-13","0"
