"Parameter","Cedar","Fir","Sugar Pine","Yellow Pine"
"Intercept","-1.7**
[-1.9, -1.5] 
p=0.00016","-1.4**
[-1.6, -1.2] 
p=1.7e-06","-1.4**
[-1.8, -1.1] 
p=3e-04","-1.5**
[-2, -1] 
p=0.0053"
"Burn","0.07
[-0.15, 0.29] 
p=0.32","0.12
[-0.22, 0.47] 
p=0.4","0.15
[-0.17, 0.47] 
p=0.25","0.058
[-1.1, 1.3] 
p=0.85"
"Thin","0.87**
[0.32, 1.4] 
p=0.02","0.64**
[0.39, 0.9] 
p=0.0014","0.83**
[0.14, 1.5] 
p=0.034","0.47
[-1.7, 2.6] 
p=0.44"
"AWC","-1.8
[-7.9, 4.2] 
p=0.23","0.18
[-6.5, 6.8] 
p=0.92","2.7**
[0.17, 5.1] 
p=0.046","2.8
[-10, 16] 
p=0.25"
"Thin:Burn","-0.27
[-0.95, 0.4] 
p=0.23","-0.25
[-0.63, 0.12] 
p=0.13","-0.22
[-1.1, 0.62] 
p=0.45","-0.039
[-1.1, 1] 
p=0.89"
"Burn:AWC","4.4*
[-0.93, 9.8] 
p=0.068","-0.34
[-16, 15] 
p=0.94","-3.5
[-14, 7.4] 
p=0.31","-0.32
[-18, 17] 
p=0.94"
"Thin:AWC","-0.025
[-11, 11] 
p=0.99","1.4
[-3.7, 6.5] 
p=0.35","-5.2
[-14, 4.1] 
p=0.12","-4.5
[-19, 9.7] 
p=0.24"
"Burn:Thin:AWC","1.5
[-6.8, 9.7] 
p=0.48","0.19
[-11, 12] 
p=0.96","6.3**
[-0.028, 13] 
p=0.05","2.6
[-2.2, 7.4] 
p=0.15"
"$\tau^2_{site}$","1.1e-09","0.0073","0.064","1.4e-10"
"$\tau^2_{treatment}$","0.015","0.035","0.0092","0.19"
"$\tau^2_{unit}$","0.0083","0.017","1.8e-10","0"
