"Parameter","Cedar","Fir","Sugar Pine","Yellow Pine"
"Intercept","-1.5**
[-2, -0.98] 
p=0.011","-1.4**
[-1.6, -1.1] 
p=1.2e-05","-1.4**
[-1.8, -1.1] 
p=0.00044","-1.4**
[-2.6, -0.31] 
p=0.033"
"Burn","-0.081
[-0.77, 0.61] 
p=0.5","0.08
[-0.27, 0.43] 
p=0.58","0.2**
[0.044, 0.36] 
p=0.036","0.0073
[-1.6, 1.6] 
p=0.99"
"Thin","0.64*
[-0.31, 1.6] 
p=0.09","0.58**
[0.4, 0.76] 
p=0.00057","0.78*
[-0.036, 1.6] 
p=0.053","0.38
[-1.6, 2.3] 
p=0.47"
"rSDI","-1*
[-2.4, 0.38] 
p=0.082","-0.32
[-2.4, 1.8] 
p=0.44","-0.014
[-1.4, 1.4] 
p=0.97","-0.39
[-3.6, 2.9] 
p=0.48"
"Thin:Burn","-0.075
[-0.89, 0.74] 
p=0.73","-0.22*
[-0.49, 0.036] 
p=0.074","-0.29*
[-0.69, 0.1] 
p=0.085","-0.015
[-0.84, 0.81] 
p=0.94"
"Burn:rSDI","0.86
[-0.99, 2.7] 
p=0.17","0.27
[-2.4, 3] 
p=0.74","-0.3
[-2.7, 2.1] 
p=0.63","0.29
[-2.8, 3.4] 
p=0.57"
"Thin:rSDI","-0.53
[-2.4, 1.3] 
p=0.33","-0.21
[-1, 0.58] 
p=0.28","-0.91
[-2.9, 1.1] 
p=0.19","0.0086
[-3.9, 3.9] 
p=0.99"
"Burn:Thin:rSDI","0.38
[-1.9, 2.7] 
p=0.55","-0.028
[-2.3, 2.3] 
p=0.97","0.55
[-1.3, 2.4] 
p=0.33","-0.37
[-3.2, 2.4] 
p=0.58"
"$\tau^2_{site}$","0.015","0.012","0.078","5.2e-11"
"$\tau^2_{treatment}$","0.0064","0.032","7.3e-10","0.19"
"$\tau^2_{unit}$","0.01","0.014","0","0"
