Site,PFT,Number of trees,Number of growth observations
Blodgett,Cedar,905,2376
Blodgett,Fir,651,1632
Blodgett,Sugar Pine,124,325
Blodgett,Yellow Pine,182,515
LaTour,Cedar,19,34
LaTour,Fir,231,411
LaTour,Sugar Pine,43,74
LaTour,Yellow Pine,8,15
Sequoia,Cedar,113,320
Sequoia,Fir,403,1108
Sequoia,Sugar Pine,111,298
Sequoia,Yellow Pine,3,9
STEF,Cedar,957,2334
STEF,Fir,1147,2688
STEF,Sugar Pine,227,544
STEF,Yellow Pine,133,334
Teakettle,Cedar,1870,5487
Teakettle,Fir,7400,17377
Teakettle,Sugar Pine,1020,2593
Teakettle,Yellow Pine,615,1777
Tharp's Creek,Cedar,6,35
Tharp's Creek,Fir,732,3385
Tharp's Creek,Sugar Pine,56,251
Tharp's Creek,Yellow Pine,7,30
W. Lake Tahoe,Cedar,15,15
W. Lake Tahoe,Fir,1528,1528
W. Lake Tahoe,Sugar Pine,15,15
W. Lake Tahoe,Yellow Pine,50,50
