"Parameter","Cedar","Fir","Sugar Pine","Yellow Pine"
"Intercept","-1.2
[-4.4, 2.1] 
p=0.26","-1.9*
[-4.5, 0.72] 
p=0.086","-2.1**
[-2.9, -1.2] 
p=0.0056","-2.6
[-8.8, 3.6] 
p=0.16"
"Burn","-0.4
[-4.4, 3.6] 
p=0.71","0.6
[-2, 3.2] 
p=0.42","0.84
[-0.41, 2.1] 
p=0.11","1.1
[-3.6, 5.8] 
p=0.32"
"Thin","0.26
[-2.9, 3.4] 
p=0.77","1.1
[-1.5, 3.8] 
p=0.2","1.4*
[-0.017, 2.8] 
p=0.051","1.5
[-6.3, 9.4] 
p=0.38"
"Intensity","0.018
[-0.091, 0.13] 
p=0.56","-0.019
[-0.11, 0.074] 
p=0.46","-0.023
[-0.071, 0.025] 
p=0.2","-0.036
[-0.25, 0.18] 
p=0.39"
"Thin:Burn","0.29
[-3.3, 3.9] 
p=0.77","-0.72
[-3.2, 1.8] 
p=0.36","-0.87
[-2.4, 0.62] 
p=0.15","-1.1
[-7.1, 4.9] 
p=0.41"
"Burn:Intensity","-0.016
[-0.14, 0.11] 
p=0.64","0.016
[-0.061, 0.093] 
p=0.47","0.025
[-0.032, 0.082] 
p=0.22","0.035
[-0.16, 0.23] 
p=0.39"
"Thin:Intensity","-0.0093
[-0.12, 0.1] 
p=0.76","0.027
[-0.06, 0.11] 
p=0.3","0.029
[-0.016, 0.074] 
p=0.12","0.039
[-0.17, 0.25] 
p=0.36"
"Burn:Thin:Intensity","0.0082
[-0.12, 0.13] 
p=0.82","-0.022
[-0.09, 0.046] 
p=0.32","-0.028
[-0.077, 0.022] 
p=0.16","-0.036
[-0.23, 0.16] 
p=0.37"
"$\tau^2_{site}$","0.0055","0.022","0.086","8.1e-12"
"$\tau^2_{treatment}$","0.0078","0.037","1.6e-09","0.15"
"$\tau^2_{unit}$","0.01","0.012","4e-13","0"
