"Site","PFT","$\beta_0$","$\beta_1$","$\beta_2$","$\beta_3$","$\gamma_{Burn}$","$\gamma_{Thin}$","$\gamma_{Thin+Burn}$","$\kappa_{Burn}$","$\kappa_{Thin}$","$\kappa_{Thin+Burn}$","$\nu_{Burn}$","$\nu_{Thin}$","$\nu_{Thin+Burn}$","sd($\alpha_{tree}$)","sd($\alpha_{unit}$)","$\sigma_{obs}$","$\sigma_{proc}$"
"LaTour","Fir","1 (1)","1 (1.01)","1 (1.01)","1 (1)",NA,"1 (1)",NA,NA,"1 (1)",NA,NA,"1 (1)",NA,"1 (1)","1 (1)","1 (1)","1 (1)"
"W. Lake Tahoe","Fir","1 (1.01)","1 (1)","1 (1)","1.03 (1.03)",NA,"1.01 (1.01)",NA,NA,"1.06 (1.08)",NA,NA,"1 (1)",NA,"1 (1)","1.06 (1.11)","1 (1)","1 (1)"
"Blodgett","Sugar Pine","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1.02)"
"Blodgett","Yellow Pine","1 (1.01)","1.01 (1.03)","1.01 (1.03)","1 (1)","1 (1.01)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1.01)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1.02)"
"Blodgett","Fir","1 (1)","1.01 (1.04)","1.01 (1.05)","1 (1.01)","1.01 (1.04)","1.02 (1.08)","1 (1.02)","1 (1)","1 (1)","1 (1.01)","1 (1)","1 (1.01)","1 (1)","1 (1.01)","1 (1)","1 (1)","1.01 (1.04)"
"Blodgett","Cedar","1 (1.01)","1 (1.01)","1 (1.01)","1 (1)","1 (1)","1 (1.01)","1 (1.01)","1 (1)","1 (1.01)","1 (1)","1 (1.02)","1 (1)","1 (1)","1 (1)","1 (1.01)","1 (1)","1 (1)"
"STEF","Sugar Pine","1 (1)","1 (1.01)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1.01)","1 (1.01)","1 (1)","1 (1)","1 (1.01)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1.01)"
"STEF","Yellow Pine","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)"
"STEF","Fir","1 (1.02)","1 (1.01)","1 (1)","1 (1.01)","1 (1)","1.01 (1.03)","1.01 (1.02)","1.01 (1.03)","1 (1.01)","1 (1)","1.01 (1.03)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1.01)"
"STEF","Cedar","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1.01)","1.01 (1.03)"
"Teakettle","Sugar Pine","1 (1)","1 (1.02)","1 (1.01)","1 (1.01)","1 (1.01)","1 (1)","1 (1)","1 (1.01)","1 (1)","1 (1)","1 (1)","1 (1.01)","1 (1)","1 (1.01)","1 (1)","1 (1)","1 (1.01)"
"Teakettle","Yellow Pine","1 (1)","1.01 (1.03)","1 (1.02)","1 (1)","1 (1)","1 (1.01)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1.01)","1 (1)","1 (1.01)","1 (1.01)","1 (1)","1 (1)","1.02 (1.02)"
"Teakettle","Fir","1.01 (1.03)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1.02)","1 (1.02)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1.01)"
"Teakettle","Cedar","1.01 (1.01)","1 (1)","1 (1)","1 (1.01)","1.01 (1.01)","1.01 (1.01)","1 (1)","1 (1)","1 (1)","1 (1.01)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)","1.01 (1.03)"
"Sequoia","Sugar Pine","1 (1)","1 (1.01)","1 (1.01)","1 (1.01)","1 (1)",NA,NA,"1 (1.01)",NA,NA,"1 (1)",NA,NA,"1 (1.01)","1 (1)","1 (1.01)","1.01 (1.04)"
"Sequoia","Fir","1 (1)","1 (1)","1 (1)","1 (1)","1 (1.02)",NA,NA,"1 (1)",NA,NA,"1 (1)",NA,NA,"1 (1)","1 (1)","1 (1)","1 (1)"
"Sequoia","Cedar","1.01 (1.02)","1 (1)","1 (1)","1 (1)","1 (1)",NA,NA,"1 (1)",NA,NA,"1 (1)",NA,NA,"1 (1)","1 (1)","1 (1)","1.01 (1.04)"
"Tharp's Creek","Sugar Pine","1 (1)","1 (1)","1 (1)","1 (1)","1 (1)",NA,NA,"1 (1)",NA,NA,"1 (1)",NA,NA,"1 (1)","1 (1)","1 (1)","1 (1)"
"Tharp's Creek","Fir","1 (1.02)","1 (1.01)","1 (1.01)","1 (1.01)","1.01 (1.03)",NA,NA,"1 (1)",NA,NA,"1 (1.01)",NA,NA,"1 (1)","1 (1)","1.01 (1.01)","1 (1.02)"
