"unit","variable","mean","sd","DBH","CWD","site","pft","model"
"40","treat_mean[None]",-3.46889518035692,0.155543192258335,15,-3,"Blodgett","cedar","ddbh_model"
"60","treat_mean[Burn]",-2.66242364126182,0.157825595518343,15,-3,"Blodgett","cedar","ddbh_model"
"180","treat_mean[Burn+Thin]",-1.19711887067811,0.234434314277496,15,-3,"Blodgett","cedar","ddbh_model"
"190","treat_mean[Thin]",-1.97439451563369,0.191183218448991,15,-3,"Blodgett","cedar","ddbh_model"
"240","treat_mean[None]",-3.05274118241968,0.124165812480904,15,-3,"Blodgett","cedar","ddbh_model"
"340","treat_mean[Burn]",-2.56774104177689,0.152474942893615,15,-3,"Blodgett","cedar","ddbh_model"
"350","treat_mean[Thin]",-1.9069179563637,0.171698836902059,15,-3,"Blodgett","cedar","ddbh_model"
"380","treat_mean[Burn+Thin]",-1.28966972407417,0.203852765704304,15,-3,"Blodgett","cedar","ddbh_model"
"400","treat_mean[Burn]",-2.63035770462198,0.144340809563212,15,-3,"Blodgett","cedar","ddbh_model"
"490","treat_mean[Thin]",-1.80090891044166,0.171567418756625,15,-3,"Blodgett","cedar","ddbh_model"
"570","treat_mean[Burn+Thin]",-1.17278407853443,0.21342581668131,15,-3,"Blodgett","cedar","ddbh_model"
"590","treat_mean[None]",-3.16004969193549,0.133815699046395,15,-3,"Blodgett","cedar","ddbh_model"
"40","treat_mean[None]",-3.26651512093304,0.140143366157106,15,-2,"Blodgett","cedar","ddbh_model"
"60","treat_mean[Burn]",-2.56752733699115,0.140192604847663,15,-2,"Blodgett","cedar","ddbh_model"
"180","treat_mean[Burn+Thin]",-1.17705629417729,0.214214856736252,15,-2,"Blodgett","cedar","ddbh_model"
"190","treat_mean[Thin]",-1.91481502984687,0.173027438773605,15,-2,"Blodgett","cedar","ddbh_model"
"240","treat_mean[None]",-2.8503611229958,0.106709611329667,15,-2,"Blodgett","cedar","ddbh_model"
"340","treat_mean[Burn]",-2.47284473750621,0.134807583204304,15,-2,"Blodgett","cedar","ddbh_model"
"350","treat_mean[Thin]",-1.84733847057687,0.153787851983701,15,-2,"Blodgett","cedar","ddbh_model"
"380","treat_mean[Burn+Thin]",-1.26960714757335,0.180878591660944,15,-2,"Blodgett","cedar","ddbh_model"
"400","treat_mean[Burn]",-2.5354614003513,0.125956749488178,15,-2,"Blodgett","cedar","ddbh_model"
"490","treat_mean[Thin]",-1.74132942465483,0.153623563550418,15,-2,"Blodgett","cedar","ddbh_model"
"570","treat_mean[Burn+Thin]",-1.15272150203361,0.191603357420488,15,-2,"Blodgett","cedar","ddbh_model"
"590","treat_mean[None]",-2.95766963251161,0.117124581004602,15,-2,"Blodgett","cedar","ddbh_model"
"40","treat_mean[None]",-3.06413506150916,0.128160972601013,15,-1,"Blodgett","cedar","ddbh_model"
"60","treat_mean[Burn]",-2.47263103272047,0.126337497836184,15,-1,"Blodgett","cedar","ddbh_model"
