"variable","mean","site","pft","model"
"treat_mean[None]",-1.69889792339388,"Blodgett","cedar","ddbh_model"
"treat_mean[Burn]",-1.47056688234396,"Blodgett","cedar","ddbh_model"
"treat_mean[Burn+Thin]",-0.822392062189987,"Blodgett","cedar","ddbh_model"
"treat_mean[Thin]",-0.97248723246053,"Blodgett","cedar","ddbh_model"
"treat_mean[None]",-1.07963638298076,"Blodgett","fir","ddbh_model"
"treat_mean[Burn]",-1.04779251074249,"Blodgett","fir","ddbh_model"
"treat_mean[Burn+Thin]",-0.851201023618351,"Blodgett","fir","ddbh_model"
"treat_mean[Thin]",-0.621527712189551,"Blodgett","fir","ddbh_model"
"treat_mean[None]",-1.41501065509702,"Blodgett","yellow_pine","ddbh_model"
"treat_mean[Burn]",-1.01471365135019,"Blodgett","yellow_pine","ddbh_model"
"treat_mean[Burn+Thin]",-1.12487346132215,"Blodgett","yellow_pine","ddbh_model"
"treat_mean[Thin]",-2.15894387700275,"Blodgett","yellow_pine","ddbh_model"
"treat_mean[None]",-0.978890305223663,"Blodgett","white_pine","ddbh_model"
"treat_mean[Burn]",-1.31837257994485,"Blodgett","white_pine","ddbh_model"
"treat_mean[Burn+Thin]",-0.459678186575565,"Blodgett","white_pine","ddbh_model"
"treat_mean[Thin]",-0.102284059294603,"Blodgett","white_pine","ddbh_model"
"treat_mean[None]",-1.50937756362086,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Thin]",-0.967110082269236,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Burn]",-1.09501383268405,"Sequoia_FFS15","cedar","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_mean[None]",-1.67448403111212,"Sequoia_FFS15","cedar","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_mean[Burn]",-1.09927874949412,"Sequoia_FFS15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_mean[None]",-1.63116826096596,"Sequoia_FFS15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_mean[Burn]",-1.03039521173487,"Sequoia_FFS15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_mean[None]",-1.35434407603745,"Sequoia_FFS15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_mean[None]",-1.45130141728671,"Sequoia_Tharp15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_mean[Burn]",-1.22748316654583,"Sequoia_Tharp15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_mean[Burn+Thin]",-1.09206963311172,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Burn]",-1.73331415354504,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Thin]",-0.694231749850473,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"treat_mean[None]",-1.83160071379413,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Burn+Thin]",-0.979903701294942,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Burn]",-1.86041075924908,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Thin]",-0.643811217800203,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_mean[None]",-1.63336230058826,"STEF-VDT15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Burn+Thin]",-0.934230262992969,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Burn]",-1.82140018706865,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Thin]",-0.0826544559530132,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"treat_mean[None]",-1.29390572032369,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Burn+Thin]",-1.09394671304913,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Burn]",-1.54620685559345,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Thin]",-0.911592249801254,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_mean[None]",-1.73669072068978,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Burn+Thin]",-1.15518613986304,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Burn]",-1.76675366814537,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Thin]",-0.786162654184749,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"treat_mean[None]",-1.57843292280997,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Burn+Thin]",-0.877022613672945,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Burn]",-1.26517889514463,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Thin]",-0.893696768357526,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_mean[None]",-1.48197337172246,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Burn+Thin]",-1.00828248713996,"Teakettle15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Burn]",-1.49169270025808,"Teakettle15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Thin]",-1.16101631706906,"Teakettle15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"treat_mean[None]",-1.92455544893707,"Teakettle15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Burn+Thin]",-0.855835354913436,"Teakettle15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Burn]",-1.48718282644164,"Teakettle15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_mean[Thin]",-0.851749185327833,"Teakettle15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_mean[None]",-1.71803104423608,"Teakettle15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_mean[None]",-1.45745196386943,"Sequoia_Tharp15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_mean[Burn]",-1.03743736641422,"Sequoia_Tharp15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_mean[None]",-1.24301919272895,"UPFUb","fir","ddbh_model_noBAcwdIrctnSizeTreePrior"
"treat_mean[Thin]",-0.588073126575165,"UPFUb","fir","ddbh_model_noBAcwdIrctnSizeTreePrior"
