"unit","variable","mean","sd","site","pft","model"
"40","treat_mean[None]",-1.94401305375627,0.0833654820464751,"Blodgett","cedar","ddbh_model"
"60","treat_mean[Burn]",-1.51344476650234,0.0681967488675009,"Blodgett","cedar","ddbh_model"
"180","treat_mean[Burn+Thin]",-0.800075653377746,0.13209081137076,"Blodgett","cedar","ddbh_model"
"190","treat_mean[Thin]",-1.04957851864462,0.0897251756954338,"Blodgett","cedar","ddbh_model"
"240","treat_mean[None]",-1.52785905581903,0.0555662970792092,"Blodgett","cedar","ddbh_model"
"340","treat_mean[Burn]",-1.4187621670174,0.0773851404316068,"Blodgett","cedar","ddbh_model"
"350","treat_mean[Thin]",-0.982101959374625,0.0840975407304154,"Blodgett","cedar","ddbh_model"
"380","treat_mean[Burn+Thin]",-0.892626506773804,0.100306044570707,"Blodgett","cedar","ddbh_model"
"400","treat_mean[Burn]",-1.48137882986249,0.0665996669296008,"Blodgett","cedar","ddbh_model"
"490","treat_mean[Thin]",-0.876092913452587,0.0893570006349473,"Blodgett","cedar","ddbh_model"
"570","treat_mean[Burn+Thin]",-0.775740861234065,0.0894197152217741,"Blodgett","cedar","ddbh_model"
"590","treat_mean[None]",-1.63516756533484,0.0620785723511613,"Blodgett","cedar","ddbh_model"
"40","treat_mean[None]",-1.37737049905441,0.0669052060276446,"Blodgett","fir","ddbh_model"
"60","treat_mean[Burn]",-1.03281520715125,0.0783921913424141,"Blodgett","fir","ddbh_model"
"180","treat_mean[Burn+Thin]",-1.12147651822057,0.125562345937311,"Blodgett","fir","ddbh_model"
"190","treat_mean[Thin]",-0.636647809476121,0.0990390291373618,"Blodgett","fir","ddbh_model"
"240","treat_mean[None]",-1.14642071723731,0.0605621424555427,"Blodgett","fir","ddbh_model"
"340","treat_mean[Burn]",-1.11418431621852,0.0612783966780071,"Blodgett","fir","ddbh_model"
"350","treat_mean[Thin]",-0.630870474776893,0.0746541573936847,"Blodgett","fir","ddbh_model"
"380","treat_mean[Burn+Thin]",-0.909307520200844,0.125548914026599,"Blodgett","fir","ddbh_model"
"400","treat_mean[Burn]",-0.975110419468085,0.0764750199823283,"Blodgett","fir","ddbh_model"
"490","treat_mean[Thin]",-0.588903376266099,0.0780958081843479,"Blodgett","fir","ddbh_model"
"570","treat_mean[Burn+Thin]",-0.506558567319388,0.141885593799608,"Blodgett","fir","ddbh_model"
"590","treat_mean[None]",-0.755303379217725,0.0677253364429478,"Blodgett","fir","ddbh_model"
"40","treat_mean[None]",-1.39675286383334,0.144363384377441,"Blodgett","yellow_pine","ddbh_model"
"60","treat_mean[Burn]",-1.01567548187825,0.152439910122878,"Blodgett","yellow_pine","ddbh_model"
"180","treat_mean[Burn+Thin]",-1.11562951683136,0.17246920747735,"Blodgett","yellow_pine","ddbh_model"
"190","treat_mean[Thin]",-2.10104524344622,0.434938721699842,"Blodgett","yellow_pine","ddbh_model"
"240","treat_mean[None]",-1.37096586396544,0.123736479749657,"Blodgett","yellow_pine","ddbh_model"
"340","treat_mean[Burn]",-0.973567957807679,0.190949137204135,"Blodgett","yellow_pine","ddbh_model"
"350","treat_mean[Thin]",-2.17686019178623,0.44348410063945,"Blodgett","yellow_pine","ddbh_model"
"380","treat_mean[Burn+Thin]",-1.15898005016217,0.186624570742837,"Blodgett","yellow_pine","ddbh_model"
"400","treat_mean[Burn]",-1.05555553623698,0.157876294825766,"Blodgett","yellow_pine","ddbh_model"
"490","treat_mean[Thin]",-2.19614925852314,0.420385169825463,"Blodgett","yellow_pine","ddbh_model"
"570","treat_mean[Burn+Thin]",-1.09726550776261,0.170666062742294,"Blodgett","yellow_pine","ddbh_model"
"590","treat_mean[None]",-1.47461770078065,0.128864774933432,"Blodgett","yellow_pine","ddbh_model"
"40","treat_mean[None]",-1.02425821391866,0.174125439956942,"Blodgett","white_pine","ddbh_model"
"60","treat_mean[Burn]",-1.33400521826904,0.231142995925233,"Blodgett","white_pine","ddbh_model"
"180","treat_mean[Burn+Thin]",-0.474525220531781,0.207758811024745,"Blodgett","white_pine","ddbh_model"
"190","treat_mean[Thin]",-0.0764807517547845,0.224733885685853,"Blodgett","white_pine","ddbh_model"
"240","treat_mean[None]",-0.957341539210916,0.144191622661222,"Blodgett","white_pine","ddbh_model"
"340","treat_mean[Burn]",-1.30811277499259,0.223574659320962,"Blodgett","white_pine","ddbh_model"
"350","treat_mean[Thin]",-0.128120488947775,0.216180820141399,"Blodgett","white_pine","ddbh_model"
"380","treat_mean[Burn+Thin]",-0.442954146776372,0.222832880932608,"Blodgett","white_pine","ddbh_model"
"400","treat_mean[Burn]",-1.30942871906988,0.217393910197617,"Blodgett","white_pine","ddbh_model"
"490","treat_mean[Thin]",-0.102877112082225,0.214133821670586,"Blodgett","white_pine","ddbh_model"
"590","treat_mean[None]",-0.955975910028758,0.170461326500087,"Blodgett","white_pine","ddbh_model"
"10","treat_mean[None]",-1.17929316750517,0.159868057480305,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"22","treat_mean[None]",-1.40045062218886,0.122995249334373,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"23","treat_mean[Thin]",-1.24071130676507,0.104380980880537,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"47","treat_mean[Thin]",-0.59571026359714,0.163149385208102,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"64","treat_mean[Thin]",-0.857774798313492,0.185945592613747,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"66","treat_mean[None]",-1.73109577208121,0.174507141076763,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"87","treat_mean[Thin]",-1.13208554406019,0.132994433193524,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"88","treat_mean[Thin]",-1.17033864933559,0.167188842265962,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"99","treat_mean[Thin]",-1.0036353826645,0.163400869865901,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"101","treat_mean[Thin]",-1.19716817022749,0.199431374862554,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"102","treat_mean[None]",-2.00946651789762,0.190848545240481,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"119","treat_mean[None]",-1.44069833183721,0.149520108003284,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"120","treat_mean[None]",-1.83519325808017,0.201069627841022,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"122","treat_mean[None]",-1.44168849981025,0.119219299354644,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"123","treat_mean[Thin]",-1.13231145689381,0.107287899975419,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"124","treat_mean[Thin]",-1.00801191293298,0.146714836558459,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"125","treat_mean[Thin]",-0.783412890941613,0.167288942354615,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"126","treat_mean[Thin]",-0.651980610780428,0.126728175923629,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"130","treat_mean[Thin]",-0.840993015888416,0.187750408532908,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"150","treat_mean[None]",-1.19524595368142,0.175650406721103,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"156","treat_mean[None]",-1.48857062231531,0.225824010411876,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"159","treat_mean[None]",-1.40182431057866,0.124697537522525,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"181","treat_mean[None]",-1.64871600455919,0.240794974421769,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"190","treat_mean[None]",-1.28958995537444,0.134553996279162,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize"
"FFS2BURN","treat_mean[Burn]",-1.02685845977916,0.318823585054568,"Sequoia_FFS15","cedar","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS5BURN","treat_mean[Burn]",-1.19461155753452,0.270577481612401,"Sequoia_FFS15","cedar","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS6BURN","treat_mean[Burn]",-1.07246653099524,0.284570748940096,"Sequoia_FFS15","cedar","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS7CONTROL","treat_mean[None]",-1.66986597566339,0.107219661225822,"Sequoia_FFS15","cedar","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS2BURN","treat_mean[Burn]",-0.851882996860391,0.0667600915020869,"Sequoia_FFS15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS5BURN","treat_mean[Burn]",-1.24014340974487,0.115153547849887,"Sequoia_FFS15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS6BURN","treat_mean[Burn]",-1.1953738221681,0.0910062111970856,"Sequoia_FFS15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS7CONTROL","treat_mean[None]",-1.63846961912371,0.0754964543787803,"Sequoia_FFS15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS2BURN","treat_mean[Burn]",-1.0644631849347,0.183482861852761,"Sequoia_FFS15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS5BURN","treat_mean[Burn]",-1.14535459461984,0.229973646649525,"Sequoia_FFS15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS6BURN","treat_mean[Burn]",-0.881430289171129,0.186007468770139,"Sequoia_FFS15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"FFS7CONTROL","treat_mean[None]",-1.35652308212117,0.0949043167958065,"Sequoia_FFS15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"LOLOG","treat_mean[None]",-1.52206637660118,0.0532994550468939,"Sequoia_Tharp15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"LOTHAR","treat_mean[Burn]",-1.18762070430468,0.092145221837755,"Sequoia_Tharp15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"UPLOG","treat_mean[None]",-1.394329580249,0.0526915855029302,"Sequoia_Tharp15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"UPTHAR","treat_mean[Burn]",-1.26323838005985,0.118480828514495,"Sequoia_Tharp15","fir","ddbh_model_noBAcwdIrctnSizePlotPrior"
"1","treat_mean[Burn+Thin]",-1.06020210463777,0.175053128670427,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"2","treat_mean[Burn+Thin]",-1.34304764705338,0.144150892086705,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"3","treat_mean[Burn]",-1.83883386418108,0.079032681774659,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"4","treat_mean[Thin]",-0.643577619128598,0.105868030392086,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"5","treat_mean[Thin]",-0.686565381705566,0.114280846835857,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"6","treat_mean[None]",-1.96475422127434,0.0737138126151314,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"7","treat_mean[None]",-1.81552875901393,0.0622409634341816,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"8","treat_mean[Thin]",-0.695549068897988,0.0981847438770999,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"9","treat_mean[Thin]",-0.567613566810493,0.111604730021146,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"10","treat_mean[Thin]",-0.704513430680952,0.108360811738055,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"11","treat_mean[Thin]",-0.814515498409833,0.0872285557663183,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"12","treat_mean[None]",-1.75660013849226,0.0554733974927088,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"13","treat_mean[Burn+Thin]",-1.08022316697062,0.106468198136427,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"14","treat_mean[Burn]",-1.93841989629999,0.0704360312973435,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"15","treat_mean[Burn+Thin]",-1.07254864491548,0.103374486810379,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
"16","treat_mean[Burn]",-1.44767122275124,0.0668840955511229,"STEF-VDT15","cedar","ddbh_model_noBAcwdIrctnSize"
