,index,treatment,UnitID,plot_id,Year,timestep,TreeID,Status_raw,Species_raw,DBH,tph,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,Species,Status,Remove flag,Outlier,PFT,timeseries_year,counter,Treatment
0,234,mech,490,0490-00124,2003,post_1,0490-00124-8,Live,NODE,22.9,24.69135802,,,,,2003,CHCH,Live,0,0,other_hardwood,1,1.0,Thin
1,0,mech,490,0490-00124,2016,post_14,0490-00124-8,Live,CHCH,24.384,24.69135802,13.0,1.4840000000000018,0.11415384615384629,2003.0,2016,CHCH,Live,0,0,other_hardwood,14,2.0,Thin
2,18,mech,490,0490-00124,2020,post_18,0490-00124-8,Live,CHCH,24.892,24.69135802,4.0,0.5079999999999991,0.12699999999999978,2016.0,2020,CHCH,Live,0,0,other_hardwood,18,3.0,Thin
3,1,mech,490,0490-00122,2003,post_1,0490-00122-25,Live,CHCH,23.4,24.69135802,,,,,2003,CHCH,Live,0,0,other_hardwood,1,1.0,Thin
4,256,mech,490,0490-00122,2009,post_7,0490-00122-25,Live,NODE,25.0,24.69135802,6.0,1.6000000000000014,0.2666666666666669,2003.0,2009,CHCH,Live,0,0,other_hardwood,7,2.0,Thin
5,293,mech,490,0490-00122,2016,post_14,0490-00122-25,Live,NODE,26.67,24.69135802,7.0,1.6700000000000017,0.23857142857142882,2009.0,2016,CHCH,Live,0,0,other_hardwood,14,3.0,Thin
6,5,mech,490,0490-00122,2020,post_18,0490-00122-25,Live,CHCH,26.924,24.69135802,4.0,0.2539999999999978,0.06349999999999945,2016.0,2020,CHCH,Live,0,0,other_hardwood,18,4.0,Thin
7,237,mech,490,0490-00018,2009,post_7,0490-00018-17,Live,NODE,18.5,24.69135802,,,,,2009,CHCH,Live,0,0,other_hardwood,7,1.0,Thin
8,2,mech,490,0490-00018,2016,post_14,0490-00018-17,Live,CHCH,17.526,24.69135802,7.0,-0.9740000000000002,-0.13914285714285718,2009.0,2016,CHCH,Live,0,0,other_hardwood,14,2.0,Thin
9,3,mech,490,0490-00122,2003,post_1,0490-00122-22,Live,CHCH,38.4,24.69135802,,,,,2003,CHCH,Live,0,0,other_hardwood,1,1.0,Thin
10,366,mech,490,0490-00122,2009,post_7,0490-00122-22,Live,NODE,40.0,24.69135802,6.0,1.6000000000000014,0.2666666666666669,2003.0,2009,CHCH,Live,0,0,other_hardwood,7,2.0,Thin
11,298,mech,490,0490-00122,2016,post_14,0490-00122-22,Live,NODE,40.894,24.69135802,7.0,0.8939999999999984,0.12771428571428547,2009.0,2016,CHCH,Live,0,0,other_hardwood,14,3.0,Thin
12,8,mech,490,0490-00122,2020,post_18,0490-00122-22,Live,CHCH,41.91,24.69135802,4.0,1.0159999999999982,0.25399999999999956,2016.0,2020,CHCH,Live,0,0,other_hardwood,18,4.0,Thin
13,245,mech,490,0490-00124,2003,post_1,0490-00124-16,Live,NODE,39.6,24.69135802,,,,,2003,CHCH,Live,0,0,other_hardwood,1,1.0,Thin
14,286,mech,490,0490-00124,2009,post_7,0490-00124-16,Live,NODE,42.9,24.69135802,6.0,3.299999999999997,0.5499999999999995,2003.0,2009,CHCH,Live,0,0,other_hardwood,7,2.0,Thin
15,4,mech,490,0490-00124,2016,post_14,0490-00124-16,Live,CHCH,44.958,24.69135802,7.0,2.058,0.294,2009.0,2016,CHCH,Live,0,0,other_hardwood,14,3.0,Thin
16,15,mech,490,0490-00124,2020,post_18,0490-00124-16,Live,CHCH,46.99,24.69135802,4.0,2.0320000000000036,0.5080000000000009,2016.0,2020,CHCH,Live,0,0,other_hardwood,18,4.0,Thin
17,6,mech,490,0490-00122,2003,post_1,0490-00122-19,Live,CHCH,18.8,24.69135802,,,,,2003,NODE,Live,0,0,other_hardwood,1,1.0,Thin
18,388,mech,490,0490-00122,2009,post_7,0490-00122-19,Live,NODE,19.2,24.69135802,6.0,0.3999999999999986,0.06666666666666643,2003.0,2009,NODE,Live,0,0,other_hardwood,7,2.0,Thin
19,291,mech,490,0490-00122,2016,post_14,0490-00122-19,Live,NODE,19.304,24.69135802,7.0,0.1039999999999992,0.014857142857142744,2009.0,2016,NODE,Live,0,0,other_hardwood,14,3.0,Thin
20,7,mech,490,0490-00122,2003,post_1,0490-00122-26,Live,CHCH,37.8,24.69135802,,,,,2003,CHCH,Live,0,0,other_hardwood,1,1.0,Thin
21,257,mech,490,0490-00122,2009,post_7,0490-00122-26,Live,NODE,39.1,24.69135802,6.0,1.3000000000000043,0.21666666666666737,2003.0,2009,CHCH,Live,0,0,other_hardwood,7,2.0,Thin
22,403,mech,490,0490-00122,2016,post_14,0490-00122-26,Live,NODE,40.386,24.69135802,7.0,1.2860000000000014,0.1837142857142859,2009.0,2016,CHCH,Live,0,0,other_hardwood,14,3.0,Thin
23,23,mech,490,0490-00122,2020,post_18,0490-00122-26,Live,CHCH,41.402,24.69135802,4.0,1.0159999999999982,0.25399999999999956,2016.0,2020,CHCH,Live,0,0,other_hardwood,18,4.0,Thin
24,243,mech,490,0490-00124,2003,post_1,0490-00124-17,Live,NODE,37.6,24.69135802,,,,,2003,CHCH,Live,0,0,other_hardwood,1,1.0,Thin
25,273,mech,490,0490-00124,2009,post_7,0490-00124-17,Live,NODE,41.0,24.69135802,6.0,3.3999999999999986,0.5666666666666664,2003.0,2009,CHCH,Live,0,0,other_hardwood,7,2.0,Thin
26,21,mech,490,0490-00124,2016,post_14,0490-00124-17,Live,CHCH,42.926,24.69135802,7.0,1.926000000000002,0.2751428571428574,2009.0,2016,CHCH,Live,0,0,other_hardwood,14,3.0,Thin
27,9,mech,490,0490-00124,2020,post_18,0490-00124-17,Live,CHCH,44.45,24.69135802,4.0,1.524000000000001,0.3810000000000002,2016.0,2020,CHCH,Live,0,0,other_hardwood,18,4.0,Thin
28,14,mech,490,0490-00122,2003,post_1,0490-00122-20,Live,CHCH,17.5,24.69135802,,,,,2003,CHCH,Live,0,0,other_hardwood,1,1.0,Thin
29,246,mech,490,0490-00122,2009,post_7,0490-00122-20,Live,NODE,18.0,24.69135802,6.0,0.5,0.08333333333333333,2003.0,2009,CHCH,Live,0,0,other_hardwood,7,2.0,Thin
30,295,mech,490,0490-00122,2016,post_14,0490-00122-20,Live,NODE,18.034,24.69135802,7.0,0.03399999999999892,0.004857142857142703,2009.0,2016,CHCH,Live,0,0,other_hardwood,14,3.0,Thin
31,10,mech,490,0490-00122,2020,post_18,0490-00122-20,Live,CHCH,18.542,24.69135802,4.0,0.5080000000000027,0.12700000000000067,2016.0,2020,CHCH,Live,0,0,other_hardwood,18,4.0,Thin
32,11,mech,490,0490-00122,2003,post_1,0490-00122-21,Live,CHCH,24.1,24.69135802,,,,,2003,CHCH,Live,0,0,other_hardwood,1,1.0,Thin
33,267,mech,490,0490-00122,2009,post_7,0490-00122-21,Live,NODE,25.1,24.69135802,6.0,1.0,0.16666666666666666,2003.0,2009,CHCH,Live,0,0,other_hardwood,7,2.0,Thin
34,292,mech,490,0490-00122,2016,post_14,0490-00122-21,Live,NODE,25.4,24.69135802,7.0,0.29999999999999716,0.04285714285714245,2009.0,2016,CHCH,Live,0,0,other_hardwood,14,3.0,Thin
35,16,mech,490,0490-00122,2020,post_18,0490-00122-21,Live,CHCH,25.654,24.69135802,4.0,0.25400000000000134,0.06350000000000033,2016.0,2020,CHCH,Live,0,0,other_hardwood,18,4.0,Thin
36,12,mech,190,0190-00113,2003,post_1,0190-00113-14,Live,CHCH,16.0,24.69135802,,,,,2003,NODE,Live,0,0,other_hardwood,1,1.0,Thin
37,285,mech,190,0190-00113,2009,post_7,0190-00113-14,Live,NODE,17.7,24.69135802,6.0,1.6999999999999993,0.2833333333333332,2003.0,2009,NODE,Live,0,0,other_hardwood,7,2.0,Thin
38,253,mech,190,0190-00113,2016,post_14,0190-00113-14,Live,NODE,18.796,24.69135802,7.0,1.096,0.15657142857142858,2009.0,2016,NODE,Live,0,0,other_hardwood,14,3.0,Thin
39,241,mech,190,0190-00113,2020,post_18,0190-00113-14,Live,NODE,18.796,24.69135802,4.0,0.0,0.0,2016.0,2020,NODE,Live,0,0,other_hardwood,18,4.0,Thin
40,13,mech,190,0190-00113,2003,post_1,0190-00113-11,Live,CHCH,27.2,24.69135802,,,,,2003,NODE,Live,0,0,other_hardwood,1,1.0,Thin
41,276,mech,190,0190-00113,2009,post_7,0190-00113-11,Live,NODE,30.3,24.69135802,6.0,3.1000000000000014,0.5166666666666669,2003.0,2009,NODE,Live,0,0,other_hardwood,7,2.0,Thin
42,251,mech,190,0190-00113,2016,post_14,0190-00113-11,Live,NODE,33.528,24.69135802,7.0,3.227999999999998,0.46114285714285685,2009.0,2016,NODE,Live,0,0,other_hardwood,14,3.0,Thin
43,244,mech,190,0190-00113,2020,post_18,0190-00113-11,Live,NODE,34.798,24.69135802,4.0,1.2700000000000031,0.3175000000000008,2016.0,2020,NODE,Live,0,0,other_hardwood,18,4.0,Thin
44,231,mech,490,0490-00124,2003,post_1,0490-00124-7,Live,NODE,33.0,24.69135802,,,,,2003,CHCH,Live,0,0,other_hardwood,1,1.0,Thin
45,277,mech,490,0490-00124,2009,post_7,0490-00124-7,Live,NODE,29.2,24.69135802,6.0,-3.8000000000000007,-0.6333333333333334,2003.0,2009,CHCH,Live,0,0,other_hardwood,7,2.0,Thin
