TreeID,start_year,end_year,PlotID,n_obs,PFT
0040-00002-1,1,18,40,4,fir
0040-00002-12,1,18,40,4,cedar
0040-00002-14,1,18,40,4,other_conifer
0040-00002-16,1,18,40,4,other_conifer
0040-00002-18,1,18,40,4,cedar
0040-00002-19,1,18,40,4,other_conifer
0040-00002-20,1,18,40,4,fir
0040-00002-3,1,18,40,4,fir
0040-00002-4,1,14,40,3,fir
0040-00002-5,1,18,40,4,cedar
0040-00002-8,1,14,40,3,fir
0040-00002-9,1,18,40,4,other_conifer
0040-00003-1,1,18,40,4,other_conifer
0040-00003-101,1,7,40,2,other_conifer
0040-00003-17,1,18,40,4,other_conifer
0040-00003-18,1,14,40,3,fir
0040-00003-2,1,18,40,4,white_pine
0040-00003-22,7,14,40,2,fir
0040-00003-25,7,14,40,2,other_conifer
0040-00003-3,1,18,40,4,cedar
0040-00003-4,1,18,40,4,cedar
0040-00003-6,1,18,40,4,cedar
0040-00003-7,1,18,40,4,fir
0040-00003-8,1,18,40,4,yellow_pine
0040-00003-9,1,18,40,4,fir
0040-00005-11,1,18,40,4,fir
0040-00005-12,1,18,40,4,fir
0040-00005-13,1,7,40,2,cedar
0040-00005-14,1,18,40,4,cedar
0040-00005-15,1,7,40,2,cedar
0040-00005-16,1,18,40,4,fir
0040-00005-17,1,18,40,4,fir
0040-00005-19,1,14,40,3,fir
0040-00005-2,1,18,40,4,cedar
0040-00005-21,1,18,40,4,other_conifer
0040-00005-23,1,18,40,4,other_conifer
0040-00005-24,1,18,40,4,cedar
0040-00005-25,1,18,40,4,cedar
0040-00005-3,1,18,40,4,other_conifer
0040-00005-30,1,18,40,4,cedar
0040-00005-31,1,18,40,4,other_conifer
0040-00005-32,1,18,40,4,fir
0040-00005-5,1,18,40,4,yellow_pine
0040-00005-6,1,18,40,4,fir
0040-00005-7,1,14,40,3,cedar
0040-00005-9,1,18,40,4,fir
0040-00007-1,1,14,40,3,white_pine
0040-00007-10,1,18,40,4,yellow_pine
0040-00007-11,1,18,40,4,fir
0040-00007-12,1,18,40,4,fir
0040-00007-13,1,18,40,4,other_conifer
0040-00007-14,1,14,40,3,fir
0040-00007-15,1,18,40,4,fir
0040-00007-17,1,18,40,4,other_conifer
0040-00007-19,1,18,40,4,fir
0040-00007-2,1,18,40,4,other_conifer
0040-00007-20,1,18,40,4,deciduous_oak
0040-00007-22,1,18,40,4,other_conifer
0040-00007-3,1,18,40,4,fir
0040-00007-37,7,18,40,3,deciduous_oak
0040-00007-4,1,14,40,3,cedar
0040-00007-40,1,18,40,4,deciduous_oak
0040-00007-5,1,18,40,4,other_conifer
0040-00007-6,1,18,40,4,other_conifer
0040-00007-7,1,18,40,4,other_conifer
0040-00007-8,1,18,40,4,fir
0040-00007-9,1,18,40,4,cedar
0040-00012-1,1,14,40,3,deciduous_oak
0040-00012-10,1,18,40,4,cedar
0040-00012-11,1,18,40,4,cedar
0040-00012-13,1,18,40,4,cedar
0040-00012-14,1,18,40,4,cedar
0040-00012-15,1,18,40,4,cedar
0040-00012-16,1,18,40,4,cedar
0040-00012-18,1,18,40,4,cedar
0040-00012-20,1,7,40,2,cedar
0040-00012-22,1,18,40,4,cedar
0040-00012-23,1,18,40,4,cedar
0040-00012-24,1,18,40,4,cedar
0040-00012-26,1,18,40,4,cedar
0040-00012-27,1,7,40,2,cedar
0040-00012-28,1,18,40,4,cedar
0040-00012-3,1,18,40,4,other_conifer
0040-00012-30,1,18,40,4,cedar
0040-00012-32,1,18,40,4,fir
0040-00012-4,1,18,40,4,deciduous_oak
0040-00012-43,14,18,40,2,cedar
