"TreeID","1","2","3","4","5","6","7","8"
"101_10.0",73.152,76.454,NA,NA,NA,NA,NA,NA
"101_33.0",38.862,42.926,45.974,NA,NA,NA,NA,NA
"101_34.0",27.686,32.512,37.338,NA,NA,NA,NA,NA
"101_35.0",61.976,64.77,64.516,NA,NA,NA,NA,NA
"101_53.0",56.388,59.436,62.23,NA,NA,NA,NA,NA
"101_67.0",63.754,65.532,66.548,NA,NA,NA,NA,NA
"102_180.0",48.768,49.53,52.07,NA,NA,NA,NA,NA
"102_33.0",50.8,51.308,54.864,NA,NA,NA,NA,NA
"102_414.0",49.022,49.53,50.292,NA,NA,NA,NA,NA
"102_415.0",94.488,94.488,96.52,NA,NA,NA,NA,NA
"102_45.0",59.436,60.96,63.246,NA,NA,NA,NA,NA
"102_51.0",26.67,27.686,NA,NA,NA,NA,NA,NA
"102_52.0",47.244,49.53,52.832,NA,NA,NA,NA,NA
"102_53.0",22.352,24.13,NA,NA,NA,NA,NA,NA
"102_54.0",20.32,21.336,NA,NA,NA,NA,NA,NA
"102_65.0",75.438,75.438,75.946,NA,NA,NA,NA,NA
"102_66.0",98.806,99.568,101.346,NA,NA,NA,NA,NA
"102_67.0",94.234,93.98,93.218,NA,NA,NA,NA,NA
"102_69.0",62.992,62.738,63.754,NA,NA,NA,NA,NA
"102_70.0",93.726,92.964,NA,NA,NA,NA,NA,NA
"102_71.0",22.352,23.114,NA,NA,NA,NA,NA,NA
"102_73.0",110.998,114.046,118.618,NA,NA,NA,NA,NA
"102_75.0",22.098,23.368,NA,NA,NA,NA,NA,NA
"102_77.0",77.724,79.248,80.01,NA,NA,NA,NA,NA
"102_81.0",96.266,96.012,98.806,NA,NA,NA,NA,NA
"102_82.0",82.296,82.55,82.804,NA,NA,NA,NA,NA
"102_83.0",76.962,77.47,77.47,NA,NA,NA,NA,NA
"102_84.0",102.108,103.632,105.918,NA,NA,NA,NA,NA
"102_85.0",74.676,74.676,75.184,NA,NA,NA,NA,NA
"102_86.0",29.718,30.48,32.004,NA,NA,NA,NA,NA
"102_90.0",105.156,106.426,109.22,NA,NA,NA,NA,NA
"102_91.0",33.02,33.274,34.036,NA,NA,NA,NA,NA
"10_193.0",113.792,116.332,118.11,NA,NA,NA,NA,NA
"10_446.0",128.524,131.064,133.096,NA,NA,NA,NA,NA
"10_47.0",39.878,42.418,NA,NA,NA,NA,NA,NA
"10_48.0",31.496,35.052,NA,NA,NA,NA,NA,NA
"10_6.0",23.114,24.892,27.178,NA,NA,NA,NA,NA
"10_84.0",39.37,41.402,43.942,NA,NA,NA,NA,NA
"10_89.0",34.544,36.068,37.846,NA,NA,NA,NA,NA
"10_90.0",110.49,111.76,115.062,NA,NA,NA,NA,NA
"10_91.0",91.948,92.71,94.742,NA,NA,NA,NA,NA
"10_92.0",124.206,127,128.016,NA,NA,NA,NA,NA
"10_95.0",35.56,37.338,39.116,NA,NA,NA,NA,NA
"119_132.0",64.262,65.786,67.818,NA,NA,NA,NA,NA
"119_31.0",50.292,52.07,54.102,NA,NA,NA,NA,NA
"119_48.0",33.528,35.306,37.338,NA,NA,NA,NA,NA
"119_50.0",68.834,71.628,NA,NA,NA,NA,NA,NA
"119_51.0",55.118,57.15,NA,NA,NA,NA,NA,NA
"119_52.0",41.91,43.942,NA,NA,NA,NA,NA,NA
"119_8.0",36.83,37.084,40.132,NA,NA,NA,NA,NA
"119_96.0",48.006,49.276,52.578,NA,NA,NA,NA,NA
"119_97.0",59.182,60.96,62.992,NA,NA,NA,NA,NA
"119_98.0",43.18,43.688,45.212,NA,NA,NA,NA,NA
"120_19.0",83.566,84.836,85.598,NA,NA,NA,NA,NA
"120_27.0",84.074,82.804,83.82,NA,NA,NA,NA,NA
"120_28.0",60.96,60.706,60.452,NA,NA,NA,NA,NA
"120_29.0",87.884,88.138,89.154,NA,NA,NA,NA,NA
"120_31.0",60.198,60.96,61.976,NA,NA,NA,NA,NA
"120_32.0",68.834,69.596,70.612,NA,NA,NA,NA,NA
"120_562.0",76.708,77.216,78.994,NA,NA,NA,NA,NA
"120_590.0",36.068,37.592,40.64,NA,NA,NA,NA,NA
"120_63.0",16.256,17.018,NA,NA,NA,NA,NA,NA
"120_64.0",17.272,18.288,NA,NA,NA,NA,NA,NA
"122_20.0",27.178,27.94,28.702,NA,NA,NA,NA,NA
"122_21.0",51.816,54.102,56.896,NA,NA,NA,NA,NA
"122_22.0",42.164,43.688,45.466,NA,NA,NA,NA,NA
"122_23.0",34.544,35.814,36.322,NA,NA,NA,NA,NA
"122_24.0",120.142,121.412,123.698,NA,NA,NA,NA,NA
"122_25.0",93.726,94.234,94.996,NA,NA,NA,NA,NA
"122_27.0",34.036,35.56,37.338,NA,NA,NA,NA,NA
"122_279.0",35.052,36.576,39.624,NA,NA,NA,NA,NA
"122_28.0",16.002,16.002,16.256,NA,NA,NA,NA,NA
"122_402.0",36.322,37.592,NA,NA,NA,NA,NA,NA
"122_467.0",33.782,36.068,38.354,NA,NA,NA,NA,NA
"122_6.0",54.102,55.372,57.404,NA,NA,NA,NA,NA
"122_7.0",55.118,57.404,58.674,NA,NA,NA,NA,NA
"122_8.0",36.322,38.1,40.386,NA,NA,NA,NA,NA
"122_81.0",42.672,46.228,46.99,NA,NA,NA,NA,NA
"122_9.0",43.688,45.72,48.006,NA,NA,NA,NA,NA
"123_1.0",27.432,28.702,29.718,NA,NA,NA,NA,NA
"123_2.0",29.21,31.242,32.258,NA,NA,NA,NA,NA
"123_3.0",25.908,27.178,28.702,NA,NA,NA,NA,NA
"123_339.0",30.48,32.258,NA,NA,NA,NA,NA,NA
"123_342.0",32.258,34.544,NA,NA,NA,NA,NA,NA
"123_35.0",47.498,49.53,51.816,NA,NA,NA,NA,NA
"123_4.0",17.526,19.304,20.574,NA,NA,NA,NA,NA
"123_499.0",34.29,36.068,38.1,NA,NA,NA,NA,NA
"123_53.0",48.768,53.086,55.372,NA,NA,NA,NA,NA
"123_54.0",52.07,54.102,55.626,NA,NA,NA,NA,NA
"123_55.0",53.594,54.864,56.642,NA,NA,NA,NA,NA
"123_56.0",41.148,42.418,44.704,NA,NA,NA,NA,NA
"123_57.0",38.608,40.894,42.926,NA,NA,NA,NA,NA
"123_59.0",51.562,54.102,56.134,NA,NA,NA,NA,NA
"123_60.0",47.752,51.054,52.07,NA,NA,NA,NA,NA
