"TreeID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32"
"101_10.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.152,73.8124,74.4728,75.1332,75.7936,76.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101_33.0",NA,NA,NA,NA,NA,38.862,39.6748,40.4876,41.3004,42.1132,42.926,43.5356,44.1452,44.7548,45.3644,45.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101_34.0",NA,NA,NA,NA,NA,27.686,28.6512,29.6164,30.5816,31.5468,32.512,33.4772,34.4424,35.4076,36.3728,37.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101_35.0",NA,NA,NA,NA,NA,61.976,62.5348,63.0936,63.6524,64.2112,64.77,64.7192,64.6684,64.6176,64.5668,64.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101_53.0",NA,NA,NA,NA,NA,56.388,56.9976,57.6072,58.2168,58.8264,59.436,59.9948,60.5536,61.1124,61.6712,62.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101_67.0",NA,NA,NA,NA,NA,63.754,64.1096,64.4652,64.8208,65.1764,65.532,65.7352,65.9384,66.1416,66.3448,66.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_180.0",48.768,48.9204,49.0728,49.2252,49.3776,49.53,50.038,50.546,51.054,51.562,52.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_33.0",50.8,50.9016,51.0032,51.1048,51.2064,51.308,52.0192,52.7304,53.4416,54.1528,54.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_414.0",49.022,49.1236,49.2252,49.3268,49.4284,49.53,49.6824,49.8348,49.9872,50.1396,50.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_415.0",94.488,94.488,94.488,94.488,94.488,94.488,94.8944,95.3008,95.7072,96.1136,96.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_45.0",59.436,59.7408,60.0456,60.3504,60.6552,60.96,61.4172,61.8744,62.3316,62.7888,63.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_51.0",NA,NA,NA,NA,NA,26.67,26.8732,27.0764,27.2796,27.4828,27.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_52.0",47.244,47.7012,48.1584,48.6156,49.0728,49.53,50.1904,50.8508,51.5112,52.1716,52.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_53.0",NA,NA,NA,NA,NA,22.352,22.7076,23.0632,23.4188,23.7744,24.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_54.0",NA,NA,NA,NA,NA,20.32,20.5232,20.7264,20.9296,21.1328,21.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_65.0",75.438,75.438,75.438,75.438,75.438,75.438,75.5396,75.6412,75.7428,75.8444,75.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_66.0",98.806,98.9584,99.1108,99.2632,99.4156,99.568,99.9236,100.2792,100.6348,100.9904,101.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_67.0",94.234,94.1832,94.1324,94.0816,94.0308,93.98,93.8276,93.6752,93.5228,93.3704,93.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_69.0",62.992,62.9412,62.8904,62.8396,62.7888,62.738,62.9412,63.1444,63.3476,63.5508,63.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_70.0",93.726,93.6498,93.5736,93.4974,93.4212,93.345,93.2688,93.1926,93.1164,93.0402,92.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_71.0",22.352,22.5044,22.6568,22.8092,22.9616,23.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_73.0",110.998,111.6076,112.2172,112.8268,113.4364,114.046,114.9604,115.8748,116.7892,117.7036,118.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_75.0",NA,NA,NA,NA,NA,22.098,22.352,22.606,22.86,23.114,23.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_77.0",77.724,78.0288,78.3336,78.6384,78.9432,79.248,79.4004,79.5528,79.7052,79.8576,80.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_81.0",96.266,96.2152,96.1644,96.1136,96.0628,96.012,96.5708,97.1296,97.6884,98.2472,98.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_82.0",82.296,82.3468,82.3976,82.4484,82.4992,82.55,82.6008,82.6516,82.7024,82.7532,82.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_83.0",76.962,77.0636,77.1652,77.2668,77.3684,77.47,77.47,77.47,77.47,77.47,77.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_84.0",102.108,102.4128,102.7176,103.0224,103.3272,103.632,104.0892,104.5464,105.0036,105.4608,105.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_85.0",74.676,74.676,74.676,74.676,74.676,74.676,74.7776,74.8792,74.9808,75.0824,75.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_86.0",29.718,29.8704,30.0228,30.1752,30.3276,30.48,30.7848,31.0896,31.3944,31.6992,32.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_90.0",105.156,105.41,105.664,105.918,106.172,106.426,106.9848,107.5436,108.1024,108.6612,109.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102_91.0",33.02,33.0708,33.1216,33.1724,33.2232,33.274,33.4264,33.5788,33.7312,33.8836,34.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10_193.0",113.792,114.3,114.808,115.316,115.824,116.332,116.6876,117.0432,117.3988,117.7544,118.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10_446.0",128.524,129.032,129.54,130.048,130.556,131.064,131.4704,131.8768,132.2832,132.6896,133.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10_47.0",NA,NA,NA,NA,NA,39.878,40.386,40.894,41.402,41.91,42.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10_48.0",NA,NA,NA,NA,NA,31.496,32.2072,32.9184,33.6296,34.3408,35.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
