"TreeID","start_year","end_year","PlotID","n_obs","PFT"
"101_10.0",11,16,"101",2,"other_conifer"
"101_33.0",6,16,"101",3,"other_conifer"
"101_34.0",6,16,"101",3,"other_conifer"
"101_35.0",6,16,"101",3,"fir"
"101_53.0",6,16,"101",3,"fir"
"101_67.0",6,16,"101",3,"fir"
"102_180.0",1,11,"102",3,"fir"
"102_33.0",1,11,"102",3,"cedar"
"102_414.0",1,11,"102",3,"fir"
"102_415.0",1,11,"102",3,"fir"
"102_45.0",1,11,"102",3,"fir"
"102_51.0",6,11,"102",2,"other_conifer"
"102_52.0",1,11,"102",3,"white_pine"
"102_53.0",6,11,"102",2,"cedar"
"102_54.0",6,11,"102",2,"fir"
"102_65.0",1,11,"102",3,"fir"
"102_66.0",1,11,"102",3,"fir"
"102_67.0",1,11,"102",3,"fir"
"102_69.0",1,11,"102",3,"fir"
"102_70.0",1,11,"102",2,"fir"
"102_71.0",1,6,"102",2,"fir"
"102_73.0",1,11,"102",3,"other_conifer"
"102_75.0",6,11,"102",2,"cedar"
"102_77.0",1,11,"102",3,"fir"
"102_81.0",1,11,"102",3,"fir"
"102_82.0",1,11,"102",3,"fir"
"102_83.0",1,11,"102",3,"fir"
"102_84.0",1,11,"102",3,"fir"
"102_85.0",1,11,"102",3,"fir"
"102_86.0",1,11,"102",3,"cedar"
"102_90.0",1,11,"102",3,"other_conifer"
"102_91.0",1,11,"102",3,"cedar"
"10_193.0",1,11,"10",3,"white_pine"
"10_446.0",1,11,"10",3,"white_pine"
"10_47.0",6,11,"10",2,"fir"
"10_48.0",6,11,"10",2,"fir"
"10_6.0",1,11,"10",3,"fir"
"10_84.0",1,11,"10",3,"fir"
"10_89.0",1,11,"10",3,"fir"
"10_90.0",1,11,"10",3,"cedar"
"10_91.0",1,11,"10",3,"white_pine"
"10_92.0",1,11,"10",3,"white_pine"
"10_95.0",1,11,"10",3,"fir"
"119_132.0",1,11,"119",3,"fir"
"119_31.0",1,11,"119",3,"fir"
"119_48.0",1,11,"119",3,"fir"
"119_50.0",6,11,"119",2,"fir"
"119_51.0",6,11,"119",2,"fir"
"119_52.0",6,11,"119",2,"fir"
"119_8.0",1,11,"119",3,"fir"
"119_96.0",1,11,"119",3,"fir"
"119_97.0",1,11,"119",3,"fir"
"119_98.0",1,11,"119",3,"fir"
"120_19.0",6,16,"120",3,"fir"
"120_27.0",6,16,"120",3,"fir"
"120_28.0",6,16,"120",3,"white_pine"
"120_29.0",6,16,"120",3,"fir"
"120_31.0",6,16,"120",3,"fir"
"120_32.0",6,16,"120",3,"fir"
"120_562.0",6,16,"120",3,"white_pine"
"120_590.0",6,16,"120",3,"fir"
"120_63.0",11,16,"120",2,"fir"
"120_64.0",11,16,"120",2,"fir"
"122_20.0",6,16,"122",3,"fir"
"122_21.0",6,16,"122",3,"fir"
"122_22.0",6,16,"122",3,"fir"
"122_23.0",6,16,"122",3,"fir"
"122_24.0",6,16,"122",3,"white_pine"
"122_25.0",6,16,"122",3,"fir"
"122_27.0",6,16,"122",3,"fir"
"122_279.0",6,16,"122",3,"fir"
"122_28.0",6,16,"122",3,"fir"
"122_402.0",6,11,"122",2,"fir"
"122_467.0",6,16,"122",3,"fir"
"122_6.0",6,16,"122",3,"fir"
"122_7.0",6,16,"122",3,"fir"
"122_8.0",6,16,"122",3,"fir"
"122_81.0",6,16,"122",3,"fir"
"122_9.0",6,16,"122",3,"fir"
"123_1.0",6,16,"123",3,"fir"
"123_2.0",6,16,"123",3,"fir"
"123_3.0",6,16,"123",3,"fir"
"123_339.0",11,16,"123",2,"fir"
"123_342.0",11,16,"123",2,"fir"
"123_35.0",6,16,"123",3,"fir"
"123_4.0",6,16,"123",3,"fir"
"123_499.0",6,16,"123",3,"fir"
"123_53.0",6,16,"123",3,"fir"
"123_54.0",6,16,"123",3,"fir"
"123_55.0",6,16,"123",3,"fir"
"123_56.0",6,16,"123",3,"fir"
"123_57.0",6,16,"123",3,"fir"
"123_59.0",6,16,"123",3,"fir"
"123_60.0",6,16,"123",3,"fir"
"123_62.0",6,16,"123",3,"fir"
"123_87.0",11,16,"123",2,"fir"
"124_26.0",6,16,"124",3,"fir"
"124_277.0",6,16,"124",3,"fir"
"124_453.0",6,16,"124",3,"fir"
