"TreeID","1","2","3","4","5","6","7","8"
"101_10.0",11,16,NA,NA,NA,NA,NA,NA
"101_33.0",6,11,16,NA,NA,NA,NA,NA
"101_34.0",6,11,16,NA,NA,NA,NA,NA
"101_35.0",6,11,16,NA,NA,NA,NA,NA
"101_53.0",6,11,16,NA,NA,NA,NA,NA
"101_67.0",6,11,16,NA,NA,NA,NA,NA
"102_180.0",1,6,11,NA,NA,NA,NA,NA
"102_33.0",1,6,11,NA,NA,NA,NA,NA
"102_414.0",1,6,11,NA,NA,NA,NA,NA
"102_415.0",1,6,11,NA,NA,NA,NA,NA
"102_45.0",1,6,11,NA,NA,NA,NA,NA
"102_51.0",6,11,NA,NA,NA,NA,NA,NA
"102_52.0",1,6,11,NA,NA,NA,NA,NA
"102_53.0",6,11,NA,NA,NA,NA,NA,NA
"102_54.0",6,11,NA,NA,NA,NA,NA,NA
"102_65.0",1,6,11,NA,NA,NA,NA,NA
"102_66.0",1,6,11,NA,NA,NA,NA,NA
"102_67.0",1,6,11,NA,NA,NA,NA,NA
"102_69.0",1,6,11,NA,NA,NA,NA,NA
"102_70.0",1,11,NA,NA,NA,NA,NA,NA
"102_71.0",1,6,NA,NA,NA,NA,NA,NA
"102_73.0",1,6,11,NA,NA,NA,NA,NA
"102_75.0",6,11,NA,NA,NA,NA,NA,NA
"102_77.0",1,6,11,NA,NA,NA,NA,NA
"102_81.0",1,6,11,NA,NA,NA,NA,NA
"102_82.0",1,6,11,NA,NA,NA,NA,NA
"102_83.0",1,6,11,NA,NA,NA,NA,NA
"102_84.0",1,6,11,NA,NA,NA,NA,NA
"102_85.0",1,6,11,NA,NA,NA,NA,NA
"102_86.0",1,6,11,NA,NA,NA,NA,NA
"102_90.0",1,6,11,NA,NA,NA,NA,NA
"102_91.0",1,6,11,NA,NA,NA,NA,NA
"10_193.0",1,6,11,NA,NA,NA,NA,NA
"10_446.0",1,6,11,NA,NA,NA,NA,NA
"10_47.0",6,11,NA,NA,NA,NA,NA,NA
"10_48.0",6,11,NA,NA,NA,NA,NA,NA
"10_6.0",1,6,11,NA,NA,NA,NA,NA
"10_84.0",1,6,11,NA,NA,NA,NA,NA
"10_89.0",1,6,11,NA,NA,NA,NA,NA
"10_90.0",1,6,11,NA,NA,NA,NA,NA
"10_91.0",1,6,11,NA,NA,NA,NA,NA
"10_92.0",1,6,11,NA,NA,NA,NA,NA
"10_95.0",1,6,11,NA,NA,NA,NA,NA
"119_132.0",1,6,11,NA,NA,NA,NA,NA
"119_31.0",1,6,11,NA,NA,NA,NA,NA
"119_48.0",1,6,11,NA,NA,NA,NA,NA
"119_50.0",6,11,NA,NA,NA,NA,NA,NA
"119_51.0",6,11,NA,NA,NA,NA,NA,NA
"119_52.0",6,11,NA,NA,NA,NA,NA,NA
"119_8.0",1,6,11,NA,NA,NA,NA,NA
"119_96.0",1,6,11,NA,NA,NA,NA,NA
"119_97.0",1,6,11,NA,NA,NA,NA,NA
"119_98.0",1,6,11,NA,NA,NA,NA,NA
"120_19.0",6,11,16,NA,NA,NA,NA,NA
"120_27.0",6,11,16,NA,NA,NA,NA,NA
"120_28.0",6,11,16,NA,NA,NA,NA,NA
"120_29.0",6,11,16,NA,NA,NA,NA,NA
"120_31.0",6,11,16,NA,NA,NA,NA,NA
"120_32.0",6,11,16,NA,NA,NA,NA,NA
"120_562.0",6,11,16,NA,NA,NA,NA,NA
"120_590.0",6,11,16,NA,NA,NA,NA,NA
"120_63.0",11,16,NA,NA,NA,NA,NA,NA
"120_64.0",11,16,NA,NA,NA,NA,NA,NA
"122_20.0",6,11,16,NA,NA,NA,NA,NA
"122_21.0",6,11,16,NA,NA,NA,NA,NA
"122_22.0",6,11,16,NA,NA,NA,NA,NA
"122_23.0",6,11,16,NA,NA,NA,NA,NA
"122_24.0",6,11,16,NA,NA,NA,NA,NA
"122_25.0",6,11,16,NA,NA,NA,NA,NA
"122_27.0",6,11,16,NA,NA,NA,NA,NA
"122_279.0",6,11,16,NA,NA,NA,NA,NA
"122_28.0",6,11,16,NA,NA,NA,NA,NA
"122_402.0",6,11,NA,NA,NA,NA,NA,NA
"122_467.0",6,11,16,NA,NA,NA,NA,NA
"122_6.0",6,11,16,NA,NA,NA,NA,NA
"122_7.0",6,11,16,NA,NA,NA,NA,NA
"122_8.0",6,11,16,NA,NA,NA,NA,NA
"122_81.0",6,11,16,NA,NA,NA,NA,NA
"122_9.0",6,11,16,NA,NA,NA,NA,NA
"123_1.0",6,11,16,NA,NA,NA,NA,NA
"123_2.0",6,11,16,NA,NA,NA,NA,NA
"123_3.0",6,11,16,NA,NA,NA,NA,NA
"123_339.0",11,16,NA,NA,NA,NA,NA,NA
"123_342.0",11,16,NA,NA,NA,NA,NA,NA
"123_35.0",6,11,16,NA,NA,NA,NA,NA
"123_4.0",6,11,16,NA,NA,NA,NA,NA
"123_499.0",6,11,16,NA,NA,NA,NA,NA
"123_53.0",6,11,16,NA,NA,NA,NA,NA
"123_54.0",6,11,16,NA,NA,NA,NA,NA
"123_55.0",6,11,16,NA,NA,NA,NA,NA
"123_56.0",6,11,16,NA,NA,NA,NA,NA
"123_57.0",6,11,16,NA,NA,NA,NA,NA
"123_59.0",6,11,16,NA,NA,NA,NA,NA
"123_60.0",6,11,16,NA,NA,NA,NA,NA
"123_62.0",6,11,16,NA,NA,NA,NA,NA
"123_87.0",11,16,NA,NA,NA,NA,NA,NA
"124_26.0",6,11,16,NA,NA,NA,NA,NA
"124_277.0",6,11,16,NA,NA,NA,NA,NA
"124_453.0",6,11,16,NA,NA,NA,NA,NA
"124_468.0",6,11,16,NA,NA,NA,NA,NA
"124_51.0",6,11,16,NA,NA,NA,NA,NA
"124_52.0",6,11,16,NA,NA,NA,NA,NA
"124_57.0",6,11,16,NA,NA,NA,NA,NA
"124_62.0",6,11,16,NA,NA,NA,NA,NA
"124_63.0",11,16,NA,NA,NA,NA,NA,NA
"124_67.0",11,16,NA,NA,NA,NA,NA,NA
"124_88.0",6,11,16,NA,NA,NA,NA,NA
"124_89.0",6,11,16,NA,NA,NA,NA,NA
"125_45.0",6,11,16,NA,NA,NA,NA,NA
"125_46.0",6,11,16,NA,NA,NA,NA,NA
"125_47.0",6,11,16,NA,NA,NA,NA,NA
"125_51.0",6,11,16,NA,NA,NA,NA,NA
"126_185.0",11,16,NA,NA,NA,NA,NA,NA
"126_186.0",11,16,NA,NA,NA,NA,NA,NA
"126_187.0",11,16,NA,NA,NA,NA,NA,NA
"126_188.0",11,16,NA,NA,NA,NA,NA,NA
"126_29.0",6,11,NA,NA,NA,NA,NA,NA
"126_30.0",6,11,16,NA,NA,NA,NA,NA
"126_32.0",6,11,16,NA,NA,NA,NA,NA
"126_340.0",6,11,16,NA,NA,NA,NA,NA
"126_48.0",6,11,16,NA,NA,NA,NA,NA
"126_49.0",6,11,16,NA,NA,NA,NA,NA
"126_50.0",6,11,16,NA,NA,NA,NA,NA
"126_51.0",11,16,NA,NA,NA,NA,NA,NA
"126_52.0",6,11,16,NA,NA,NA,NA,NA
"126_53.0",6,11,16,NA,NA,NA,NA,NA
"126_54.0",6,11,16,NA,NA,NA,NA,NA
"126_55.0",6,11,16,NA,NA,NA,NA,NA
"130_158.0",1,6,11,NA,NA,NA,NA,NA
"130_176.0",1,6,11,NA,NA,NA,NA,NA
"130_177.0",1,6,11,NA,NA,NA,NA,NA
"130_270.0",1,6,11,NA,NA,NA,NA,NA
"130_34.0",1,6,11,NA,NA,NA,NA,NA
"130_59.0",1,6,11,NA,NA,NA,NA,NA
"130_60.0",1,6,11,NA,NA,NA,NA,NA
"130_64.0",1,6,11,NA,NA,NA,NA,NA
"130_65.0",1,6,11,NA,NA,NA,NA,NA
"130_66.0",1,6,11,NA,NA,NA,NA,NA
"130_67.0",1,6,11,NA,NA,NA,NA,NA
"130_68.0",1,6,11,NA,NA,NA,NA,NA
"130_69.0",1,6,11,NA,NA,NA,NA,NA
"130_71.0",1,6,11,NA,NA,NA,NA,NA
"130_72.0",1,6,11,NA,NA,NA,NA,NA
"130_73.0",1,6,11,NA,NA,NA,NA,NA
"130_74.0",1,6,11,NA,NA,NA,NA,NA
"130_75.0",1,6,11,NA,NA,NA,NA,NA
"150_77.0",6,11,16,NA,NA,NA,NA,NA
"150_78.0",6,11,16,NA,NA,NA,NA,NA
"150_79.0",6,11,16,NA,NA,NA,NA,NA
"150_80.0",6,11,16,NA,NA,NA,NA,NA
"150_83.0",6,11,16,NA,NA,NA,NA,NA
"150_84.0",6,11,16,NA,NA,NA,NA,NA
"156_1.0",11,16,NA,NA,NA,NA,NA,NA
"156_10.0",11,16,NA,NA,NA,NA,NA,NA
"156_15.0",11,16,NA,NA,NA,NA,NA,NA
"156_3.0",11,16,NA,NA,NA,NA,NA,NA
"156_560.0",11,16,NA,NA,NA,NA,NA,NA
"156_59.0",11,16,NA,NA,NA,NA,NA,NA
"156_7.0",11,16,NA,NA,NA,NA,NA,NA
"156_84.0",11,16,NA,NA,NA,NA,NA,NA
"159_111.0",11,16,NA,NA,NA,NA,NA,NA
"159_144.0",6,11,16,NA,NA,NA,NA,NA
"159_145.0",6,11,16,NA,NA,NA,NA,NA
"159_148.0",6,11,16,NA,NA,NA,NA,NA
"159_16.0",6,11,16,NA,NA,NA,NA,NA
"159_38.0",6,11,16,NA,NA,NA,NA,NA
"159_39.0",6,11,16,NA,NA,NA,NA,NA
"159_42.0",6,11,16,NA,NA,NA,NA,NA
"159_43.0",6,11,16,NA,NA,NA,NA,NA
"159_49.0",6,11,16,NA,NA,NA,NA,NA
"159_50.0",6,11,16,NA,NA,NA,NA,NA
"159_51.0",6,11,NA,NA,NA,NA,NA,NA
"159_53.0",6,11,16,NA,NA,NA,NA,NA
"159_7.0",6,11,16,NA,NA,NA,NA,NA
"159_859.0",6,11,16,NA,NA,NA,NA,NA
"159_860.0",6,11,16,NA,NA,NA,NA,NA
"159_861.0",6,11,16,NA,NA,NA,NA,NA
"159_97.0",6,11,16,NA,NA,NA,NA,NA
"181_124.0",11,16,NA,NA,NA,NA,NA,NA
"181_13.0",11,16,NA,NA,NA,NA,NA,NA
"181_17.0",11,16,NA,NA,NA,NA,NA,NA
"181_19.0",11,16,NA,NA,NA,NA,NA,NA
"181_30.0",11,16,NA,NA,NA,NA,NA,NA
"181_33.0",11,16,NA,NA,NA,NA,NA,NA
"181_39.0",11,16,NA,NA,NA,NA,NA,NA
"181_41.0",11,16,NA,NA,NA,NA,NA,NA
"181_427.0",11,16,NA,NA,NA,NA,NA,NA
"181_459.0",11,16,NA,NA,NA,NA,NA,NA
"181_460.0",11,16,NA,NA,NA,NA,NA,NA
"181_50.0",11,16,NA,NA,NA,NA,NA,NA
"181_74.0",11,16,NA,NA,NA,NA,NA,NA
