"TreeID","1","2","3","4","5","6","7","8"
"2.0",107.5,109.1,110.9,112.6,NA,NA,NA,NA
"3.0",86.4,87.4,88.5,90.7,NA,NA,NA,NA
"4.0",76.5,78.2,80.1,82.5,NA,NA,NA,NA
"5.0",57.2,58.9,60.9,62.2,NA,NA,NA,NA
"7.0",74.3,75.7,76,76,NA,NA,NA,NA
"8.0",61.4,63.3,65.1,68.2,NA,NA,NA,NA
"9.0",51.2,52.4,53.4,55.5,NA,NA,NA,NA
"11.0",64.2,65.1,65.8,66.9,NA,NA,NA,NA
"12.0",54.6,56.2,57.7,59.2,NA,NA,NA,NA
"13.0",55.9,57.4,58.4,58.9,NA,NA,NA,NA
"14.0",106.6,108,109.3,111.2,NA,NA,NA,NA
"15.0",24.8,26.1,27.8,29.5,NA,NA,NA,NA
"16.0",71.3,73.2,75.3,77.4,NA,NA,NA,NA
"17.0",71.4,72.5,74.2,75.8,NA,NA,NA,NA
"19.0",16.3,18.2,20.4,NA,NA,NA,NA,NA
"20.0",39.8,40.4,41,41.8,NA,NA,NA,NA
"21.0",38.5,40.5,42.3,43.4,NA,NA,NA,NA
"22.0",31.3,33.7,34.9,NA,NA,NA,NA,NA
"23.0",29.7,31.6,33.2,35.5,NA,NA,NA,NA
"24.0",37.8,39.2,40.5,NA,NA,NA,NA,NA
"26.0",15.1,15.7,16.7,NA,NA,NA,NA,NA
"27.0",15.9,17.1,18.9,NA,NA,NA,NA,NA
"28.0",60.8,62.2,63.3,65.2,NA,NA,NA,NA
"31.0",17.2,18.1,19,NA,NA,NA,NA,NA
"32.0",35.4,37.4,38.9,40.6,NA,NA,NA,NA
"33.0",20.1,20.8,21.8,22.7,NA,NA,NA,NA
"34.0",32.3,34,35.4,37,NA,NA,NA,NA
"35.0",44.7,45.9,47.3,48.6,NA,NA,NA,NA
"36.0",43.1,44.3,45.3,46.7,NA,NA,NA,NA
"37.0",53,54.2,55.2,56.5,NA,NA,NA,NA
"38.0",59.5,60.4,61.2,62.2,NA,NA,NA,NA
"40.0",52.9,54.3,56.4,NA,NA,NA,NA,NA
"41.0",41.7,42.8,44.4,46.1,NA,NA,NA,NA
"42.0",40,42.1,44.3,47,NA,NA,NA,NA
"43.0",74.6,76,77.7,79.2,NA,NA,NA,NA
"44.0",28.4,30.3,31.9,33.4,NA,NA,NA,NA
"45.0",15.8,16.4,NA,NA,NA,NA,NA,NA
"46.0",19.2,20.1,21.3,22.6,NA,NA,NA,NA
"47.0",34.2,34.8,35.6,36.8,NA,NA,NA,NA
"48.0",32.4,34.5,36.3,38.5,NA,NA,NA,NA
"49.0",28.5,29.9,31.2,33.3,NA,NA,NA,NA
"51.0",19.5,20.8,22.9,24.5,NA,NA,NA,NA
"52.0",49.2,49.6,50.2,50.7,NA,NA,NA,NA
"53.0",15,16.4,17.3,NA,NA,NA,NA,NA
"54.0",82,83.1,83,83.3,NA,NA,NA,NA
"55.0",34.3,36.7,38,39.1,NA,NA,NA,NA
"56.0",26.7,28.4,29.7,31.7,NA,NA,NA,NA
"57.0",61.7,63.9,65.1,65.5,NA,NA,NA,NA
"58.0",81.5,81.9,82.9,83.6,NA,NA,NA,NA
"60.0",85.9,87.4,88.4,90.2,NA,NA,NA,NA
"62.0",61.7,60.6,61.3,62.3,NA,NA,NA,NA
"64.0",54.1,55.5,56.2,57,NA,NA,NA,NA
"65.0",24.7,25.3,25.9,26.5,NA,NA,NA,NA
"66.0",29.8,30.8,31.9,32.9,NA,NA,NA,NA
"67.0",66.3,66.9,68.4,70.5,NA,NA,NA,NA
"68.0",52.9,55.6,58.3,60.8,NA,NA,NA,NA
"69.0",61.4,62.5,64.4,66.3,NA,NA,NA,NA
"71.0",74,76.3,78.9,82.2,NA,NA,NA,NA
"73.0",108.9,108.6,NA,NA,NA,NA,NA,NA
"75.0",56.2,59.3,60.8,61,NA,NA,NA,NA
"76.0",29.6,31.3,32.8,33.2,NA,NA,NA,NA
"77.0",72.5,73.2,74.5,NA,NA,NA,NA,NA
"78.0",33.5,33.2,33.9,NA,NA,NA,NA,NA
"80.0",49.1,51.8,54.4,57.2,NA,NA,NA,NA
"81.0",29.3,29.9,31.1,32.3,NA,NA,NA,NA
"82.0",32.8,33.7,34.8,36,NA,NA,NA,NA
"83.0",22.5,24.6,26.3,27.9,NA,NA,NA,NA
"84.0",50.1,52.5,54.8,NA,NA,NA,NA,NA
"85.0",39.8,41.6,44,45.5,NA,NA,NA,NA
"86.0",40.5,42.4,44.2,45.8,NA,NA,NA,NA
"87.0",67.3,68.3,70,71.4,NA,NA,NA,NA
"88.0",61.6,62.9,64.7,66.6,NA,NA,NA,NA
"89.0",39.8,40.1,40.1,41.6,NA,NA,NA,NA
"90.0",63.4,63.8,64.8,66.5,NA,NA,NA,NA
"92.0",32.9,33.9,35,36.2,NA,NA,NA,NA
"93.0",62.9,63.3,63.9,64.8,NA,NA,NA,NA
"94.0",33.7,33.7,33.8,34.6,NA,NA,NA,NA
"95.0",37,38.7,39.9,39.8,NA,NA,NA,NA
"96.0",30.3,31.2,33.1,32.4,NA,NA,NA,NA
"99.0",60,61,63.3,63.6,NA,NA,NA,NA
"100.0",22.5,22.7,22.9,23.6,NA,NA,NA,NA
"101.0",52.7,53,53.2,53.8,NA,NA,NA,NA
"102.0",64.5,64.7,64.6,64.9,NA,NA,NA,NA
"103.0",54,54.7,55.5,56.5,NA,NA,NA,NA
"104.0",87.3,88.5,91.1,91.8,NA,NA,NA,NA
"105.0",79.3,80.1,81.1,82.9,NA,NA,NA,NA
"106.0",78.8,78.9,78.7,81.9,NA,NA,NA,NA
"107.0",21.9,22.4,23.5,24.7,NA,NA,NA,NA
"109.0",75.2,76.5,78,80.2,NA,NA,NA,NA
"110.0",94.6,96.6,99,100.6,NA,NA,NA,NA
"111.0",25.2,26.6,28,28.5,NA,NA,NA,NA
"112.0",119.3,118.9,119,NA,NA,NA,NA,NA
"113.0",54.4,55.4,56.5,57.9,NA,NA,NA,NA
"114.0",44.9,46,46.6,47.7,NA,NA,NA,NA
