"TreeID","start_year","end_year","PlotID","n_obs","PFT"
"2.0",1,7,"9",4,"white_pine"
"3.0",1,7,"9",4,"white_pine"
"4.0",1,7,"9",4,"white_pine"
"5.0",1,7,"9",4,"fir"
"7.0",1,7,"9",4,"fir"
"8.0",1,7,"9",4,"white_pine"
"9.0",1,7,"9",4,"fir"
"11.0",1,7,"9",4,"fir"
"12.0",1,7,"9",4,"fir"
"13.0",1,7,"9",4,"fir"
"14.0",1,7,"9",4,"white_pine"
"15.0",1,7,"9",4,"cedar"
"16.0",1,7,"9",4,"yellow_pine"
"17.0",1,7,"9",4,"white_pine"
"19.0",1,5,"9",3,"fir"
"20.0",1,7,"9",4,"cedar"
"21.0",1,7,"9",4,"fir"
"22.0",3,7,"9",3,"fir"
"23.0",1,7,"9",4,"fir"
"24.0",1,5,"9",3,"cedar"
"26.0",3,7,"9",3,"fir"
"27.0",3,7,"9",3,"cedar"
"28.0",1,7,"9",4,"cedar"
"31.0",1,5,"9",3,"cedar"
"32.0",1,7,"9",4,"fir"
"33.0",1,7,"9",4,"fir"
"34.0",1,7,"9",4,"fir"
"35.0",1,7,"9",4,"fir"
"36.0",1,7,"9",4,"fir"
"37.0",1,7,"9",4,"fir"
"38.0",1,7,"9",4,"fir"
"40.0",3,7,"9",3,"cedar"
"41.0",1,7,"9",4,"cedar"
"42.0",1,7,"9",4,"yellow_pine"
"43.0",1,7,"9",4,"white_pine"
"44.0",1,7,"9",4,"fir"
"45.0",5,7,"9",2,"fir"
"46.0",1,7,"9",4,"cedar"
"47.0",1,7,"9",4,"cedar"
"48.0",1,7,"9",4,"fir"
"49.0",1,7,"9",4,"fir"
"51.0",1,7,"9",4,"cedar"
"52.0",1,7,"9",4,"fir"
"53.0",3,7,"9",3,"fir"
"54.0",1,7,"9",4,"fir"
"55.0",1,7,"9",4,"fir"
"56.0",1,7,"9",4,"fir"
"57.0",1,7,"9",4,"white_pine"
"58.0",1,7,"9",4,"cedar"
"60.0",1,7,"9",4,"white_pine"
"62.0",1,7,"9",4,"fir"
"64.0",1,7,"9",4,"fir"
"65.0",1,7,"9",4,"cedar"
"66.0",1,7,"9",4,"fir"
"67.0",1,7,"8",4,"cedar"
"68.0",1,7,"8",4,"white_pine"
"69.0",1,7,"8",4,"cedar"
"71.0",1,7,"8",4,"white_pine"
"73.0",1,3,"8",2,"white_pine"
"75.0",1,7,"8",4,"white_pine"
"76.0",1,7,"8",4,"white_pine"
"77.0",1,5,"8",3,"cedar"
"78.0",3,7,"8",3,"white_pine"
"80.0",1,7,"8",4,"yellow_pine"
"81.0",1,7,"8",4,"cedar"
"82.0",1,7,"8",4,"cedar"
"83.0",1,7,"8",4,"fir"
"84.0",3,7,"8",3,"fir"
"85.0",1,7,"8",4,"yellow_pine"
"86.0",1,7,"8",4,"fir"
"87.0",1,7,"8",4,"yellow_pine"
"88.0",1,7,"8",4,"yellow_pine"
