"PlotID","treatment","trt_yr_1","trt_yr_2","trt_yr_3"
"1","Burn+Thin",2013,2011,NA
"2","Burn+Thin",2013,2011,NA
"3","Burn",2013,NA,NA
"4","Thin",2011,NA,NA
"5","Thin",2011,NA,NA
"6","None",NA,NA,NA
"7","None",NA,NA,NA
"8","Thin",2011,NA,NA
"9","Thin",2011,NA,NA
"10","Thin",2011,NA,NA
"11","Thin",2011,NA,NA
"12","None",NA,NA,NA
"13","Burn+Thin",2013,2011,NA
"14","Burn",2013,NA,NA
"15","Burn+Thin",2013,2011,NA
"16","Burn",2013,NA,NA
"17","Burn+Thin",2013,2011,NA
"18","Burn+Thin",2013,2011,NA
"19","Burn",2013,NA,NA
"20","None",NA,NA,NA
"21","Thin",2011,NA,NA
"22","Burn+Thin",2013,2011,NA
"23","Burn+Thin",2013,2011,NA
"24","Thin",2011,NA,NA
