"TreeID","1","2","3","4","5","6","7","8"
"FFS2BURN_1976",145.9,147.5,NA,NA,NA,NA,NA,NA
"FFS2BURN_1981",22.5,24.1,26.9,29.5,NA,NA,NA,NA
"FFS2BURN_1983",24.7,26.7,30.6,33.8,NA,NA,NA,NA
"FFS2BURN_1990",32.8,33.9,37.8,43.4,NA,NA,NA,NA
"FFS2BURN_1991",36.2,38.3,41.1,45.4,NA,NA,NA,NA
"FFS2BURN_1992",18,18.9,NA,NA,NA,NA,NA,NA
"FFS2BURN_1993",42.6,45.3,48.6,53.3,NA,NA,NA,NA
"FFS2BURN_1994",37.4,39.6,40.3,43,NA,NA,NA,NA
"FFS2BURN_1997",25,27.1,30.4,33.2,NA,NA,NA,NA
"FFS2BURN_1999",21.6,21.6,22.2,NA,NA,NA,NA,NA
"FFS2BURN_2000",35.9,38.9,42.5,46.5,NA,NA,NA,NA
"FFS2BURN_2181",33.5,35.2,37.2,38.7,NA,NA,NA,NA
"FFS2BURN_2182",18.2,18.8,20,21.5,NA,NA,NA,NA
"FFS2BURN_2184",143.9,146,149.8,153.4,NA,NA,NA,NA
"FFS2BURN_2185",37.5,38.3,39.8,41.2,NA,NA,NA,NA
"FFS2BURN_2186",114.7,115.9,119.4,122.2,NA,NA,NA,NA
"FFS2BURN_2187",33.5,34.3,35.5,36.5,NA,NA,NA,NA
"FFS2BURN_2188",17.1,17,16.5,NA,NA,NA,NA,NA
"FFS2BURN_2191",54.8,57.9,61.9,66.4,NA,NA,NA,NA
"FFS2BURN_2193",63.3,66.2,67.3,NA,NA,NA,NA,NA
"FFS2BURN_2194",32.9,35.5,40.7,44,NA,NA,NA,NA
"FFS2BURN_2195",46,48.3,51.6,54.5,NA,NA,NA,NA
"FFS2BURN_2506",17,18.5,21.6,26.4,NA,NA,NA,NA
"FFS2BURN_2508",102.4,102.1,102.1,103.5,NA,NA,NA,NA
"FFS2BURN_2509",17.2,19.5,22.5,27.4,NA,NA,NA,NA
"FFS2BURN_2510",107.1,107.3,109,109.5,NA,NA,NA,NA
"FFS2BURN_2512",37.2,41.5,47.2,50.8,NA,NA,NA,NA
"FFS2BURN_2513",16.7,19,23.2,27,NA,NA,NA,NA
"FFS2BURN_2514",86.5,87.5,88.5,89.7,NA,NA,NA,NA
"FFS2BURN_2520",16.5,18.4,21.2,24.6,NA,NA,NA,NA
"FFS2BURN_2524",18.3,20.1,20,NA,NA,NA,NA,NA
"FFS2BURN_2531",19.4,21.8,24.9,27,NA,NA,NA,NA
"FFS2BURN_2532",28,28.4,28.1,NA,NA,NA,NA,NA
"FFS2BURN_2541",129.4,131.3,NA,NA,NA,NA,NA,NA
"FFS2BURN_2544",15.7,17.5,21.4,NA,NA,NA,NA,NA
"FFS2BURN_2559",15.5,21,NA,NA,NA,NA,NA,NA
"FFS2BURN_2570",26.3,27.5,29.2,30.5,NA,NA,NA,NA
"FFS2BURN_2571",46,47.6,50.1,51.9,NA,NA,NA,NA
"FFS2BURN_4805",49.1,54,59.3,65.2,NA,NA,NA,NA
"FFS2BURN_4809",137.8,138,138.2,138.4,NA,NA,NA,NA
"FFS2BURN_4830",69.2,74.2,79,83.8,NA,NA,NA,NA
"FFS2BURN_4833",19.4,20.6,23.1,25,NA,NA,NA,NA
"FFS2BURN_4834",145.7,146.6,147.6,149.2,NA,NA,NA,NA
"FFS2BURN_4835",30,30,31.5,33.9,NA,NA,NA,NA
"FFS2BURN_4838",134.5,135.7,132.7,NA,NA,NA,NA,NA
"FFS2BURN_4859",125.7,123.9,NA,NA,NA,NA,NA,NA
"FFS2BURN_4865",89.8,89.1,89.8,NA,NA,NA,NA,NA
"FFS2BURN_4867",84.2,85.4,86.6,86.8,NA,NA,NA,NA
"FFS2BURN_4868",62.4,63.7,64.1,NA,NA,NA,NA,NA
"FFS2BURN_4870",29.4,30.9,34.6,39.2,NA,NA,NA,NA
"FFS2BURN_4875",30.3,31.8,36.2,38.2,NA,NA,NA,NA
"FFS2BURN_4888",83.3,84,85.9,86.9,NA,NA,NA,NA
"FFS2BURN_4891",41.8,42.3,42.9,43.8,NA,NA,NA,NA
"FFS2BURN_4892",21.7,24,27,30.2,NA,NA,NA,NA
"FFS2BURN_4896",23.7,25.4,27.8,30.7,NA,NA,NA,NA
"FFS2BURN_4897",17.1,18,19,20.3,NA,NA,NA,NA
"FFS2BURN_4899",18,19.3,21.5,24.5,NA,NA,NA,NA
