"TreeID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32"
"FFS2BURN_1976",145.9,147.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_1981",22.5,22.82,23.14,23.46,23.78,24.1,24.66,25.22,25.78,26.34,26.9,27.55,28.2,28.85,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_1983",24.7,25.1,25.5,25.9,26.3,26.7,27.48,28.26,29.04,29.82,30.6,31.4,32.2,33,33.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_1990",32.8,33.02,33.24,33.46,33.68,33.9,34.68,35.46,36.24,37.02,37.8,38.92,40.04,41.16,42.28,43.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_1991",36.2,36.62,37.04,37.46,37.88,38.3,38.86,39.42,39.98,40.54,41.1,41.96,42.82,43.68,44.54,45.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_1992",18,18.18,18.36,18.54,18.72,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_1993",42.6,43.14,43.68,44.22,44.76,45.3,45.96,46.62,47.28,47.94,48.6,49.54,50.48,51.42,52.36,53.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_1994",37.4,37.84,38.28,38.72,39.16,39.6,39.74,39.88,40.02,40.16,40.3,40.84,41.38,41.92,42.46,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_1997",25,25.42,25.84,26.26,26.68,27.1,27.76,28.42,29.08,29.74,30.4,30.96,31.52,32.08,32.64,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_1999",21.6,21.6,21.6,21.6,21.6,21.6,21.8,22,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2000",35.9,36.5,37.1,37.7,38.3,38.9,39.62,40.34,41.06,41.78,42.5,43.3,44.1,44.9,45.7,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2181",33.5,33.84,34.18,34.52,34.86,35.2,35.6,36,36.4,36.8,37.2,37.5,37.8,38.1,38.4,38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2182",18.2,18.32,18.44,18.56,18.68,18.8,19.04,19.28,19.52,19.76,20,20.3,20.6,20.9,21.2,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2184",143.9,144.32,144.74,145.16,145.58,146,146.76,147.52,148.28,149.04,149.8,150.52,151.24,151.96,152.68,153.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2185",37.5,37.66,37.82,37.98,38.14,38.3,38.6,38.9,39.2,39.5,39.8,40.08,40.36,40.64,40.92,41.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2186",114.7,114.94,115.18,115.42,115.66,115.9,116.6,117.3,118,118.7,119.4,119.96,120.52,121.08,121.64,122.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2187",33.5,33.66,33.82,33.98,34.14,34.3,34.54,34.78,35.02,35.26,35.5,35.75,36,36.25,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2188",17.1,17.0833333333333,17.0666666666667,17.05,17.0333333333333,17.0166666666667,17,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2191",54.8,55.42,56.04,56.66,57.28,57.9,58.7,59.5,60.3,61.1,61.9,62.8,63.7,64.6,65.5,66.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2193",63.3,63.88,64.46,65.04,65.62,66.2,66.475,66.75,67.025,67.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2194",32.9,33.42,33.94,34.46,34.98,35.5,36.54,37.58,38.62,39.66,40.7,41.36,42.02,42.68,43.34,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2195",46,46.46,46.92,47.38,47.84,48.3,48.96,49.62,50.28,50.94,51.6,52.18,52.76,53.34,53.92,54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2506",17,17.3,17.6,17.9,18.2,18.5,19.12,19.74,20.36,20.98,21.6,22.56,23.52,24.48,25.44,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2508",102.4,102.34,102.28,102.22,102.16,102.1,102.1,102.1,102.1,102.1,102.1,102.38,102.66,102.94,103.22,103.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2509",17.2,17.66,18.12,18.58,19.04,19.5,20.1,20.7,21.3,21.9,22.5,23.48,24.46,25.44,26.42,27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2510",107.1,107.14,107.18,107.22,107.26,107.3,107.64,107.98,108.32,108.66,109,109.1,109.2,109.3,109.4,109.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2512",37.2,38.06,38.92,39.78,40.64,41.5,42.64,43.78,44.92,46.06,47.2,47.92,48.64,49.36,50.08,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2513",16.7,17.16,17.62,18.08,18.54,19,19.84,20.68,21.52,22.36,23.2,23.96,24.72,25.48,26.24,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2514",86.5,86.7,86.9,87.1,87.3,87.5,87.7,87.9,88.1,88.3,88.5,88.74,88.98,89.22,89.46,89.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2520",16.5,16.88,17.26,17.64,18.02,18.4,18.96,19.52,20.08,20.64,21.2,21.88,22.56,23.24,23.92,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2524",18.3,18.66,19.02,19.38,19.74,20.1,20.0666666666667,20.0333333333333,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2531",19.4,19.88,20.36,20.84,21.32,21.8,22.42,23.04,23.66,24.28,24.9,25.32,25.74,26.16,26.58,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2532",28,28.08,28.16,28.24,28.32,28.4,28.25,28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2541",129.4,129.78,130.16,130.54,130.92,131.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2544",15.7,15.88,16.06,16.24,16.42,16.6,16.78,16.96,17.14,17.32,17.5,18.28,19.06,19.84,20.62,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2559",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,16.6,17.7,18.8,19.9,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2570",26.3,26.54,26.78,27.02,27.26,27.5,27.84,28.18,28.52,28.86,29.2,29.46,29.72,29.98,30.24,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_2571",46,46.32,46.64,46.96,47.28,47.6,48.1,48.6,49.1,49.6,50.1,50.46,50.82,51.18,51.54,51.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4805",49.1,50.08,51.06,52.04,53.02,54,55.06,56.12,57.18,58.24,59.3,60.48,61.66,62.84,64.02,65.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4809",137.8,137.84,137.88,137.92,137.96,138,138.04,138.08,138.12,138.16,138.2,138.266666666667,138.333333333333,138.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4830",69.2,70.2,71.2,72.2,73.2,74.2,75.16,76.12,77.08,78.04,79,79.96,80.92,81.88,82.84,83.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4833",19.4,19.64,19.88,20.12,20.36,20.6,21.1,21.6,22.1,22.6,23.1,23.48,23.86,24.24,24.62,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4834",145.7,145.88,146.06,146.24,146.42,146.6,146.8,147,147.2,147.4,147.6,147.92,148.24,148.56,148.88,149.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4835",30,30,30,30,30,30,30.3,30.6,30.9,31.2,31.5,31.98,32.46,32.94,33.42,33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4838",134.5,134.74,134.98,135.22,135.46,135.7,134.2,132.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4859",125.7,125.1,124.5,123.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4865",89.8,89.66,89.52,89.38,89.24,89.1,89.275,89.45,89.625,89.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4867",84.2,84.44,84.68,84.92,85.16,85.4,85.64,85.88,86.12,86.36,86.6,86.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4868",62.4,62.66,62.92,63.18,63.44,63.7,63.78,63.86,63.94,64.02,64.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4870",29.4,29.7,30,30.3,30.6,30.9,31.64,32.38,33.12,33.86,34.6,35.52,36.44,37.36,38.28,39.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4875",30.3,30.6,30.9,31.2,31.5,31.8,32.68,33.56,34.44,35.32,36.2,36.6,37,37.4,37.8,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4888",83.3,83.44,83.58,83.72,83.86,84,84.38,84.76,85.14,85.52,85.9,86.1,86.3,86.5,86.7,86.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4891",41.8,41.9,42,42.1,42.2,42.3,42.42,42.54,42.66,42.78,42.9,43.08,43.26,43.44,43.62,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4892",21.7,22.16,22.62,23.08,23.54,24,24.6,25.2,25.8,26.4,27,27.64,28.28,28.92,29.56,30.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4896",23.7,24.04,24.38,24.72,25.06,25.4,25.88,26.36,26.84,27.32,27.8,28.38,28.96,29.54,30.12,30.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4897",17.1,17.28,17.46,17.64,17.82,18,18.2,18.4,18.6,18.8,19,19.26,19.52,19.78,20.04,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_4899",18,18.26,18.52,18.78,19.04,19.3,19.74,20.18,20.62,21.06,21.5,22.1,22.7,23.3,23.9,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_5102",46.8,47.3,47.8,48.3,48.8,49.3,50.14,50.98,51.82,52.66,53.5,54.46,55.42,56.38,57.34,58.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_5105",57.2,57.66,58.12,58.58,59.04,59.5,60.18,60.86,61.54,62.22,62.9,63.46,64.02,64.58,65.14,65.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFS2BURN_5106",89.1,88.94,88.78,88.62,88.46,88.3,88.94,89.58,90.22,90.86,91.5,92.38,93.26,94.14,95.02,95.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
