"TreeID","start_year","end_year","PlotID","n_obs","PFT"
"FFS2BURN_1976",1,2,"FFS2BURN",2,"fir"
"FFS2BURN_1981",1,15,"FFS2BURN",4,"fir"
"FFS2BURN_1983",1,15,"FFS2BURN",4,"fir"
"FFS2BURN_1990",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_1991",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_1992",1,6,"FFS2BURN",2,"fir"
"FFS2BURN_1993",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_1994",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_1997",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_1999",1,9,"FFS2BURN",3,"fir"
"FFS2BURN_2000",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_2181",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_2182",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_2184",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_2185",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_2186",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_2187",1,15,"FFS2BURN",4,"white_pine"
"FFS2BURN_2188",1,8,"FFS2BURN",3,"fir"
"FFS2BURN_2191",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_2193",1,10,"FFS2BURN",3,"fir"
"FFS2BURN_2194",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_2195",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_2506",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_2508",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_2509",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_2510",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_2512",1,16,"FFS2BURN",4,"white_pine"
"FFS2BURN_2513",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_2514",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_2520",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_2524",1,9,"FFS2BURN",3,"fir"
