"TreeID","1","2","3","4","5","6","7","8"
"FFS2BURN_1976",1,2,NA,NA,NA,NA,NA,NA
"FFS2BURN_1981",1,6,11,15,NA,NA,NA,NA
"FFS2BURN_1983",1,6,11,15,NA,NA,NA,NA
"FFS2BURN_1990",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_1991",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_1992",1,6,NA,NA,NA,NA,NA,NA
"FFS2BURN_1993",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_1994",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_1997",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_1999",1,6,9,NA,NA,NA,NA,NA
"FFS2BURN_2000",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2181",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2182",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2184",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2185",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2186",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2187",1,6,11,15,NA,NA,NA,NA
"FFS2BURN_2188",1,7,8,NA,NA,NA,NA,NA
"FFS2BURN_2191",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2193",1,6,10,NA,NA,NA,NA,NA
"FFS2BURN_2194",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2195",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2506",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2508",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2509",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2510",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2512",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2513",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2514",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2520",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2524",1,6,9,NA,NA,NA,NA,NA
"FFS2BURN_2531",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2532",1,6,8,NA,NA,NA,NA,NA
"FFS2BURN_2541",1,6,NA,NA,NA,NA,NA,NA
"FFS2BURN_2544",1,11,16,NA,NA,NA,NA,NA
"FFS2BURN_2559",11,16,NA,NA,NA,NA,NA,NA
"FFS2BURN_2570",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_2571",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_4805",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_4809",1,6,11,14,NA,NA,NA,NA
"FFS2BURN_4830",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_4833",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_4834",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_4835",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_4838",1,6,8,NA,NA,NA,NA,NA
"FFS2BURN_4859",1,4,NA,NA,NA,NA,NA,NA
"FFS2BURN_4865",1,6,10,NA,NA,NA,NA,NA
"FFS2BURN_4867",1,6,11,12,NA,NA,NA,NA
"FFS2BURN_4868",1,6,11,NA,NA,NA,NA,NA
"FFS2BURN_4870",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_4875",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_4888",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_4891",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_4892",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_4896",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_4897",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_4899",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_5102",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_5105",1,6,11,16,NA,NA,NA,NA
"FFS2BURN_5106",1,6,11,16,NA,NA,NA,NA
