"TreeID","1","2","3","4","5","6","7","8"
"bc1_1009",153.3,133.5,NA,NA,NA,NA,NA,NA
"bc1_101",19.4,19,20.2,NA,NA,NA,NA,NA
"bc1_1016",20.1,23.6,25.9,26.2,26.6,NA,NA,NA
"bc1_1020",20.9,27.5,28,27.3,NA,NA,NA,NA
"bc1_1028",22.1,26.9,31.9,34,NA,NA,NA,NA
"bc1_1029",18.4,18.1,18.7,NA,NA,NA,NA,NA
"bc1_103",19.2,19.2,24.6,27,24.8,NA,NA,NA
"bc1_1030",24.1,29.4,33.2,NA,NA,NA,NA,NA
"bc1_1031",24.5,28.1,31,33.3,NA,NA,NA,NA
"bc1_1032",22.2,24.2,26.3,25.5,NA,NA,NA,NA
"bc1_1033",17.1,19.5,22.4,23.2,NA,NA,NA,NA
"bc1_1035",28.3,31.3,31.5,NA,NA,NA,NA,NA
"bc1_104",20.3,21.1,21.9,NA,NA,NA,NA,NA
"bc1_1042",23.3,29.9,34.8,NA,NA,NA,NA,NA
"bc1_1043",21.1,25.3,29.2,30.5,30.3,NA,NA,NA
"bc1_1045",134.8,134.4,NA,NA,NA,NA,NA,NA
"bc1_105",15.9,19.6,20.8,22.2,22,NA,NA,NA
"bc1_1056",23.9,30.6,32.8,31.9,NA,NA,NA,NA
"bc1_106",21,24.7,27.3,28.3,28.6,NA,NA,NA
"bc1_11",15.1,15.4,NA,NA,NA,NA,NA,NA
"bc1_1103",20.4,26,30.7,32.5,33.2,NA,NA,NA
"bc1_1127",98.6,102.5,104,102.2,104.2,105.1,NA,NA
"bc1_1155",89.7,90,NA,NA,NA,NA,NA,NA
"bc1_1156",106.3,105.1,NA,NA,NA,NA,NA,NA
"bc1_1169",20.7,19.7,NA,NA,NA,NA,NA,NA
"bc1_1170",23.5,23.1,NA,NA,NA,NA,NA,NA
"bc1_1171",25.4,28.8,NA,NA,NA,NA,NA,NA
"bc1_1173",24.2,27,29.5,NA,NA,NA,NA,NA
"bc1_1176",127.8,129.2,129.8,131.9,130.5,130.8,NA,NA
"bc1_1179",98.4,102.2,105.2,107.3,NA,NA,NA,NA
"bc1_1186",143.2,147.1,148.7,151.8,151,152.1,NA,NA
"bc1_1189",15.9,19.8,23.4,23.9,25.3,NA,NA,NA
"bc1_1198",21.6,23.3,25.2,26.3,26.8,NA,NA,NA
"bc1_1199",21,23.7,26.5,28,28.3,NA,NA,NA
"bc1_1200",15.3,15.9,NA,NA,NA,NA,NA,NA
"bc1_1202",23.2,21.9,NA,NA,NA,NA,NA,NA
"bc1_1216",175.2,183.4,185.4,186.5,NA,NA,NA,NA
"bc1_1217",18.2,21.5,20.1,NA,NA,NA,NA,NA
"bc1_1226",16.5,20.1,23.6,26.2,25.6,NA,NA,NA
"bc1_1234",25.7,32.8,35.2,36,NA,NA,NA,NA
"bc1_12502",18.2,19.3,NA,NA,NA,NA,NA,NA
"bc1_1251",23.6,32.6,37.9,NA,NA,NA,NA,NA
"bc1_12513",22.1,22.1,27.2,NA,NA,NA,NA,NA
"bc1_12516",16.8,17.2,16.2,17.1,NA,NA,NA,NA
"bc1_1254",24.6,27.1,NA,NA,NA,NA,NA,NA
"bc1_12568",15.7,16.3,NA,NA,NA,NA,NA,NA
"bc1_1259",17,20.2,20.2,24.5,25.2,NA,NA,NA
"bc1_12605",16.7,17.1,17.5,NA,NA,NA,NA,NA
"bc1_127",22,26,29.1,28.5,28.9,NA,NA,NA
"bc1_128",18.5,20.5,NA,NA,NA,NA,NA,NA
"bc1_1286",166.2,163.6,163.1,167.9,NA,NA,NA,NA
"bc1_1292",20.5,23.6,26.8,27.8,28.2,NA,NA,NA
"bc1_1296",21.8,23.4,NA,NA,NA,NA,NA,NA
"bc1_1297",16.7,18.4,18.3,NA,NA,NA,NA,NA
"bc1_1300",24.5,25.2,NA,NA,NA,NA,NA,NA
"bc1_1312",112.2,115.6,117.3,123.6,123.3,122.8,NA,NA
"bc1_13278",23.2,23.2,23.4,NA,NA,NA,NA,NA
"bc1_1331",19.7,22.1,22.5,NA,NA,NA,NA,NA
"bc1_1332",23.2,25.8,26,NA,NA,NA,NA,NA
"bc1_1340",128,130.9,131,NA,NA,NA,NA,NA
"bc1_1350",28.6,41.5,43.7,NA,NA,NA,NA,NA
"bc1_1356",16.8,30.3,35.8,NA,NA,NA,NA,NA
"bc1_1357",16.1,20.3,24.1,NA,NA,NA,NA,NA
"bc1_1358",18.4,30.7,37.3,39,37.8,NA,NA,NA
"bc1_1365",27.9,34.2,38,NA,NA,NA,NA,NA
"bc1_1374",21.1,26.4,27.4,28.1,NA,NA,NA,NA
"bc1_1375",19.5,20,20.8,NA,NA,NA,NA,NA
"bc1_1380",19.2,20.1,21.3,NA,NA,NA,NA,NA
"bc1_1381",20.6,27.3,30,30.5,NA,NA,NA,NA
"bc1_1390",27.3,34.6,35.2,41.1,NA,NA,NA,NA
"bc1_1393",26.5,34.3,38.5,39.2,38.6,NA,NA,NA
"bc1_1402",15.7,19.5,18.9,19.2,NA,NA,NA,NA
"bc1_1403",21.1,30.1,27.9,28.3,NA,NA,NA,NA
"bc1_1405",17,24.6,21.7,22.5,NA,NA,NA,NA
"bc1_1406",17.5,21.5,22,22.8,NA,NA,NA,NA
"bc1_1408",20,23.7,24.6,24.1,NA,NA,NA,NA
"bc1_1410",17.3,28.5,34.6,35.2,36,NA,NA,NA
"bc1_1413",19.5,23.4,24.7,24.1,NA,NA,NA,NA
"bc1_1416",22.6,36.4,43.2,44.2,44.2,NA,NA,NA
"bc1_1430",27.3,29.4,30.6,NA,NA,NA,NA,NA
"bc1_1431",25.2,29.7,27.1,28.3,NA,NA,NA,NA
"bc1_1432",23.6,23.4,23.9,NA,NA,NA,NA,NA
"bc1_1434",21,25.5,30.8,30.7,NA,NA,NA,NA
"bc1_1440",20.1,20.1,23.2,NA,NA,NA,NA,NA
"bc1_1445",30.7,39.1,NA,NA,NA,NA,NA,NA
"bc1_1451",19.8,28.4,29,29,NA,NA,NA,NA
"bc1_1455",71.1,69.8,NA,NA,NA,NA,NA,NA
"bc1_1456",15.3,22.9,29.4,30.7,30.5,NA,NA,NA
"bc1_1457",18.8,30.3,38,37.5,38.7,NA,NA,NA
"bc1_1459",23.9,30.7,30.8,31.6,NA,NA,NA,NA
"bc1_1466",21.6,34.5,30,30.4,NA,NA,NA,NA
"bc1_1470",18.3,23.9,26.1,26.8,NA,NA,NA,NA
