"TreeID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32"
"bc1_1009",NA,153.3,150.825,148.35,145.875,143.4,140.925,138.45,135.975,133.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4,19.2,19,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1016",NA,20.1,20.5375,20.975,21.4125,21.85,22.2875,22.725,23.1625,23.6,24.06,24.52,24.98,25.44,25.9,26.05,26.2,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1020",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9,22.22,23.54,24.86,26.18,27.5,27.75,28,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1028",NA,22.1,22.7,23.3,23.9,24.5,25.1,25.7,26.3,26.9,27.9,28.9,29.9,30.9,31.9,32.95,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1029",NA,18.4,18.3625,18.325,18.2875,18.25,18.2125,18.175,18.1375,18.1,18.22,18.34,18.46,18.58,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_103",NA,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,20.28,21.36,22.44,23.52,24.6,25.8,27,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1030",NA,24.1,24.7625,25.425,26.0875,26.75,27.4125,28.075,28.7375,29.4,30.16,30.92,31.68,32.44,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1031",NA,24.5,24.95,25.4,25.85,26.3,26.75,27.2,27.65,28.1,28.68,29.26,29.84,30.42,31,32.15,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1032",NA,22.2,22.45,22.7,22.95,23.2,23.45,23.7,23.95,24.2,24.62,25.04,25.46,25.88,26.3,25.9,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1033",NA,17.1,17.4,17.7,18,18.3,18.6,18.9,19.2,19.5,20.08,20.66,21.24,21.82,22.4,22.8,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1035",NA,28.3,28.675,29.05,29.425,29.8,30.175,30.55,30.925,31.3,31.34,31.38,31.42,31.46,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3,20.7,21.1,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1042",NA,23.3,24.125,24.95,25.775,26.6,27.425,28.25,29.075,29.9,30.88,31.86,32.84,33.82,34.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1043",NA,21.1,21.625,22.15,22.675,23.2,23.725,24.25,24.775,25.3,26.08,26.86,27.64,28.42,29.2,29.85,30.5,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1045",NA,134.8,134.72,134.64,134.56,134.48,134.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_105",NA,15.9,16.3625,16.825,17.2875,17.75,18.2125,18.675,19.1375,19.6,19.84,20.08,20.32,20.56,20.8,21.5,22.2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1056",NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9,25.24,26.58,27.92,29.26,30.6,31.7,32.8,31.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_106",NA,21,21.4625,21.925,22.3875,22.85,23.3125,23.775,24.2375,24.7,25.22,25.74,26.26,26.78,27.3,27.8,28.3,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1103",NA,20.4,21.1,21.8,22.5,23.2,23.9,24.6,25.3,26,26.94,27.88,28.82,29.76,30.7,31.6,32.5,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1127",NA,98.6,99.38,100.16,100.94,101.72,102.5,103,103.5,104,103.64,103.28,102.92,102.56,102.2,103.2,104.2,105.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1155",NA,89.7,89.76,89.82,89.88,89.94,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1156",NA,106.3,106.06,105.82,105.58,105.34,105.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1169",NA,20.7,20.575,20.45,20.325,20.2,20.075,19.95,19.825,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1170",NA,23.5,23.45,23.4,23.35,23.3,23.25,23.2,23.15,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1171",NA,25.4,25.825,26.25,26.675,27.1,27.525,27.95,28.375,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1173",NA,24.2,24.55,24.9,25.25,25.6,25.95,26.3,26.65,27,27.5,28,28.5,29,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1176",NA,127.8,128.08,128.36,128.64,128.92,129.2,129.4,129.6,129.8,130.22,130.64,131.06,131.48,131.9,131.2,130.5,130.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1179",NA,98.4,99.16,99.92,100.68,101.44,102.2,103.2,104.2,105.2,105.55,105.9,106.25,106.6,106.95,107.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1186",NA,143.2,143.98,144.76,145.54,146.32,147.1,147.633333333333,148.166666666667,148.7,149.32,149.94,150.56,151.18,151.8,151.4,151,152.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1189",NA,15.9,16.3875,16.875,17.3625,17.85,18.3375,18.825,19.3125,19.8,20.52,21.24,21.96,22.68,23.4,23.65,23.9,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1198",NA,21.6,21.8125,22.025,22.2375,22.45,22.6625,22.875,23.0875,23.3,23.68,24.06,24.44,24.82,25.2,25.75,26.3,26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1199",NA,21,21.3375,21.675,22.0125,22.35,22.6875,23.025,23.3625,23.7,24.26,24.82,25.38,25.94,26.5,27.25,28,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc1_1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
