"TreeID","start_year","end_year","PlotID","n_obs","PFT"
"bc1_1009",2,10,"bc1",2,"yellow_pine"
"bc1_101",15,18,"bc1",3,"fir"
"bc1_1016",2,18,"bc1",5,"fir"
"bc1_1020",10,18,"bc1",4,"cedar"
"bc1_1028",2,17,"bc1",4,"fir"
"bc1_1029",2,15,"bc1",3,"fir"
"bc1_103",2,18,"bc1",5,"cedar"
"bc1_1030",2,15,"bc1",3,"fir"
"bc1_1031",2,17,"bc1",4,"fir"
"bc1_1032",2,17,"bc1",4,"fir"
"bc1_1033",2,17,"bc1",4,"fir"
"bc1_1035",2,15,"bc1",3,"fir"
"bc1_104",15,18,"bc1",3,"cedar"
"bc1_1042",2,15,"bc1",3,"fir"
"bc1_1043",2,18,"bc1",5,"fir"
"bc1_1045",2,7,"bc1",2,"yellow_pine"
"bc1_105",2,18,"bc1",5,"fir"
"bc1_1056",10,18,"bc1",4,"cedar"
"bc1_106",2,18,"bc1",5,"fir"
"bc1_11",17,18,"bc1",2,"fir"
"bc1_1103",2,18,"bc1",5,"cedar"
"bc1_1127",2,18,"bc1",6,"cedar"
"bc1_1155",2,7,"bc1",2,"fir"
"bc1_1156",2,7,"bc1",2,"fir"
"bc1_1169",2,10,"bc1",2,"fir"
"bc1_1170",2,10,"bc1",2,"white_pine"
"bc1_1171",2,10,"bc1",2,"fir"
"bc1_1173",2,15,"bc1",3,"fir"
"bc1_1176",2,18,"bc1",6,"cedar"
"bc1_1179",2,16,"bc1",4,"white_pine"
"bc1_1186",2,18,"bc1",6,"cedar"
"bc1_1189",2,18,"bc1",5,"fir"
"bc1_1198",2,18,"bc1",5,"fir"
"bc1_1199",2,18,"bc1",5,"fir"
"bc1_1200",17,18,"bc1",2,"fir"
"bc1_1202",2,10,"bc1",2,"fir"
"bc1_1216",2,15,"bc1",4,"white_pine"
"bc1_1217",2,15,"bc1",3,"fir"
"bc1_1226",2,18,"bc1",5,"fir"
"bc1_1234",10,18,"bc1",4,"fir"
"bc1_12502",16,18,"bc1",2,"fir"
"bc1_1251",2,15,"bc1",3,"fir"
"bc1_12513",2,15,"bc1",3,"fir"
"bc1_12516",10,18,"bc1",4,"cedar"
"bc1_1254",2,10,"bc1",2,"fir"
"bc1_12568",16,18,"bc1",2,"cedar"
"bc1_1259",2,18,"bc1",5,"cedar"
"bc1_12605",16,18,"bc1",3,"cedar"
"bc1_127",2,18,"bc1",5,"cedar"
"bc1_128",2,10,"bc1",2,"cedar"
"bc1_1286",2,16,"bc1",4,"yellow_pine"
"bc1_1292",2,18,"bc1",5,"cedar"
"bc1_1296",2,10,"bc1",2,"fir"
"bc1_1297",2,15,"bc1",3,"fir"
"bc1_1300",2,10,"bc1",2,"fir"
"bc1_1312",2,18,"bc1",6,"fir"
"bc1_13278",16,18,"bc1",3,"cedar"
"bc1_1331",2,15,"bc1",3,"fir"
"bc1_1332",2,15,"bc1",3,"fir"
"bc1_1340",2,10,"bc1",3,"fir"
"bc1_1350",2,15,"bc1",3,"fir"
"bc1_1356",2,15,"bc1",3,"fir"
"bc1_1357",2,15,"bc1",3,"fir"
"bc1_1358",2,18,"bc1",5,"fir"
"bc1_1365",2,15,"bc1",3,"fir"
"bc1_1374",10,18,"bc1",4,"fir"
"bc1_1375",15,18,"bc1",3,"cedar"
"bc1_1380",16,18,"bc1",3,"fir"
"bc1_1381",10,18,"bc1",4,"fir"
"bc1_1390",2,18,"bc1",4,"fir"
"bc1_1393",2,18,"bc1",5,"fir"
"bc1_1402",10,18,"bc1",4,"cedar"
"bc1_1403",10,18,"bc1",4,"cedar"
"bc1_1405",10,18,"bc1",4,"cedar"
"bc1_1406",10,18,"bc1",4,"cedar"
"bc1_1408",10,18,"bc1",4,"cedar"
"bc1_1410",2,18,"bc1",5,"cedar"
"bc1_1413",10,18,"bc1",4,"cedar"
"bc1_1416",2,18,"bc1",5,"cedar"
"bc1_1430",10,17,"bc1",3,"fir"
"bc1_1431",10,18,"bc1",4,"cedar"
"bc1_1432",2,15,"bc1",3,"fir"
"bc1_1434",2,17,"bc1",4,"cedar"
"bc1_1440",2,15,"bc1",3,"cedar"
"bc1_1445",10,16,"bc1",2,"fir"
"bc1_1451",10,18,"bc1",4,"cedar"
"bc1_1455",2,10,"bc1",2,"fir"
