"PlotID","treatment","trt_yr_1","trt_yr_2","trt_yr_3"
"bc1","Burn+Thin",2017,2001,NA
"bc2","Burn+Thin",2017,2001,NA
"bc3","Burn+Thin",2017,2001,NA
"bn1","Burn",2017,2001,NA
"bn2","Burn",2017,2001,NA
"bn3","Burn",2017,2001,NA
"bs1","Burn+Thin",2017,2001,NA
"bs2","Burn+Thin",2017,2001,NA
"bs3","Burn+Thin",2017,2001,NA
"uc1","Thin",2001,NA,NA
"uc2","Thin",2001,NA,NA
"uc3","Thin",2001,NA,NA
"un1","None",NA,NA,NA
"un2","None",NA,NA,NA
"un3","None",NA,NA,NA
"us1","Thin",2001,NA,NA
"us2","Thin",2001,NA,NA
"us3","Thin",2001,NA,NA
