"TreeID","1","2","3","4","5","6","7","8"
"LOLOG_5481",25.5,26.1,26.3,26.5,27,27.8,NA,NA
"LOLOG_5482",35,35.5,35.8,36.2,36.8,37.5,NA,NA
"LOLOG_5483",86.5,89.2,91,93.2,95.3,96.9,97.7,NA
"LOLOG_5484",79.6,78.8,80.2,80,80.3,80.6,81.8,NA
"LOLOG_5485",42.4,43.2,44.1,44.7,45.4,46.7,46.5,NA
"LOLOG_5486",51.7,53,51.9,53.2,53.7,54.9,NA,NA
"LOLOG_5488",23.9,23.6,23.3,23.9,24.1,24.4,NA,NA
"LOLOG_5489",62,64.2,65.4,67.7,69.9,72,73.1,NA
"LOLOG_5490",54.1,55.1,58.5,60.3,62.6,64.8,NA,NA
"LOLOG_5492",59.8,61.1,62.5,63.8,65.7,67,68.4,NA
"LOLOG_5493",85.1,87.9,90,93.6,95.1,97.4,NA,NA
"LOLOG_5494",96,98.8,101.3,102.2,103.8,104.3,NA,NA
"LOLOG_5497",36.2,37.2,37.9,38.7,38.6,38.9,NA,NA
"LOLOG_5499",94.4,95.5,97.6,100.3,103.7,105,105.5,NA
"LOLOG_5502",15.4,17.3,18.7,19.5,NA,NA,NA,NA
"LOLOG_5504",24.7,26.2,27.1,28.3,29.8,31.4,32.6,NA
"LOLOG_5506",24.5,24.9,25.4,25.9,26.7,29.5,28.3,NA
"LOLOG_5508",96.6,99.7,103.4,105.4,107.4,109,109.8,NA
"LOLOG_5512",37.6,38.9,38.1,38.7,39.6,40.5,42.3,NA
"LOLOG_5513",45.5,45.5,46.5,46.4,47.7,47.1,NA,NA
"LOLOG_5514",91.3,100.8,106,117.1,123.3,126.5,133.4,NA
"LOLOG_5515",23.4,24.3,25.3,24.7,24.8,24.1,25.1,NA
"LOLOG_5516",17,19.9,22.8,25.5,29,NA,NA,NA
"LOLOG_5520",161.6,159.9,160.2,162,160.5,NA,NA,NA
"LOLOG_5521",104.3,104.6,106.7,109.1,111,114,114,NA
"LOLOG_5522",15.3,16.9,18.3,20,21.8,23.2,25,NA
"LOLOG_5524",23.1,23.8,24.5,25.3,26.1,27.9,27.3,NA
"LOLOG_5525",16.7,18.6,20.2,21.8,NA,NA,NA,NA
"LOLOG_5528",56.6,56.7,57.2,58.3,58.7,58.9,59.7,NA
"LOLOG_5529",67.4,69.9,72,74.6,77.1,79.4,81.6,NA
"LOLOG_5530",43.7,43.9,44.5,45,45.4,46.3,46.3,NA
"LOLOG_5531",71.5,73.4,74.6,76.8,78.2,79.5,81.2,NA
"LOLOG_5532",25.4,26.8,28.7,30.6,32.5,34,36,NA
"LOLOG_5533",18.5,19.4,20.1,20.7,21.4,22.2,22.8,NA
"LOLOG_5534",65,66.3,69,70,71.5,72.8,74,NA
"LOLOG_5535",28.6,29.3,29.6,29.6,NA,NA,NA,NA
"LOLOG_5536",77.2,79.4,80.4,81.8,83.6,84.7,85.7,NA
"LOLOG_5537",69.2,71.1,72.3,74,75.6,76.9,78.1,NA
"LOLOG_5538",31.7,32.8,33.6,35.3,36.1,37.2,38.5,NA
"LOLOG_5539",86.8,90.2,93.3,94.8,97.5,99.5,101.8,NA
"LOLOG_5542",16.2,16.5,16.6,17.1,17.5,17.6,18.3,NA
"LOLOG_5543",75.6,78.4,79.5,81.5,84.8,86.8,89.4,NA
"LOLOG_5544",47.3,47.5,49.2,48.7,49.2,49.3,50.1,NA
"LOLOG_5545",26.8,29,30.2,32.5,33.7,34.6,35.2,NA
"LOLOG_5548",35.3,37.9,40.2,42.4,44.3,44.4,44.4,NA
"LOLOG_5550",154.2,154.9,157.2,156,157.4,157.7,158.6,NA
"LOLOG_5551",46.5,46.8,46.5,NA,NA,NA,NA,NA
"LOLOG_5552",54.5,56.6,58,58.9,NA,NA,NA,NA
"LOLOG_5553",16.1,17.6,20.1,22,24.7,27.2,30,NA
"LOLOG_5555",26,28.6,31.4,33.6,36.9,39.5,41.4,NA
"LOLOG_5556",52.2,55.2,57.7,60.6,64,66.5,68.5,NA
"LOLOG_5557",22.7,23,23.2,23.3,24,24.2,23.8,NA
"LOLOG_5558",52.8,55.2,57,59.3,62.8,64.5,67.7,NA
"LOLOG_5559",28.6,29.4,29.9,30.2,30.5,31.2,31.4,NA
"LOLOG_5560",25.1,26.1,27.1,28.4,30.1,31.9,32.3,NA
"LOLOG_5561",117.2,118,118.3,119.6,119.1,119.7,NA,NA
"LOLOG_5562",145.4,147.3,148.3,NA,NA,NA,NA,NA
"LOLOG_5563",127.1,128.2,128.8,129.4,130.1,129.7,NA,NA
"LOLOG_5564",15,15,15.3,15.4,NA,NA,NA,NA
"LOLOG_5567",21.1,22.4,23.2,24,25.2,26,26.5,NA
"LOLOG_5570",103.1,107.1,109.7,111.6,115.7,116.5,118,NA
"LOLOG_5573",28,28.6,29.5,29.5,29.8,30,NA,NA
"LOLOG_5574",46.3,46.4,47,47.4,48.8,49.3,49.7,NA
"LOLOG_5575",28.2,28.9,29.7,31,32.5,34,35.1,NA
"LOLOG_5576",29.1,31.1,33.7,35.5,38.2,40,NA,NA
"LOLOG_5577",33.3,35.9,38.4,41,44.3,47.2,49.6,NA
"LOLOG_5581",113.1,114.9,117.2,119.9,122,123.9,123.9,NA
"LOLOG_5583",107.1,109.3,110.9,112.8,113.9,115.6,115.8,NA
"LOLOG_5585",94.2,93.4,95.5,97,98,99,106,NA
"LOLOG_5587",57.2,56.4,57.8,58.2,57.9,57.6,NA,NA
"LOLOG_5589",39.4,41.1,41.4,42.6,43.8,44.9,45.7,NA
"LOLOG_5591",17.8,17.8,19,19.1,19.4,19.6,20,NA
"LOLOG_5595",27.5,28,29.5,30.1,30.8,31.7,32.5,NA
"LOLOG_5596",52.3,52.2,53.5,53.6,54.9,55.4,56.7,NA
"LOLOG_5597",44.1,46.7,49.4,53,57.1,59.8,62.9,NA
"LOLOG_5599",15.4,16.1,NA,NA,NA,NA,NA,NA
"LOLOG_5607",113.1,115.3,118,121.7,123.7,125.7,128.3,NA
"LOLOG_5608",107.7,107.8,108,108.4,109.1,108.6,107.8,NA
"LOLOG_5611",26.7,29.7,31.5,34.4,38.1,40.2,41.6,NA
"LOLOG_5612",15.2,15.4,15.7,16,NA,NA,NA,NA
"LOLOG_5613",62,64.6,67.1,69.4,73.9,77.3,80.8,NA
"LOLOG_5616",36.7,37.4,38,38.2,38,37.9,NA,NA
"LOLOG_5619",142,143.3,143.3,144,144.5,143.5,144.6,NA
"LOLOG_5620",26.3,27.9,29.6,30.7,33.4,33.3,NA,NA
"LOLOG_5621",21.8,22.2,22.2,22.3,22.4,22.5,22.4,NA
"LOLOG_5622",33.6,33.9,35.7,37.2,39.4,42.3,44.3,NA
"LOLOG_5623",55.1,58.9,61.6,64.8,68.2,71,73.4,NA
"LOLOG_5624",21.8,24.7,27.4,30.6,33.8,36.2,38.8,NA
"LOLOG_5628",15,16.1,17.2,18.8,19.8,21.2,22.5,NA
"LOLOG_5636",30.7,33.9,36.1,38.7,41.4,42.7,43.6,NA
"LOLOG_5639",27.4,29.5,31.6,34.6,36.9,38.8,40.4,NA
"LOLOG_5640",139.8,141.9,141.9,143.1,144.8,144.9,145.5,NA
"LOLOG_5641",16.2,18.4,20.1,22.4,24.9,26.5,28.2,NA
"LOLOG_5643",17.5,19.2,21,22.8,25,26.5,28.1,NA
"LOLOG_5646",18.6,20.9,23.2,25,26.9,29.6,30.6,NA
"LOLOG_5647",36.8,40.9,43.8,47.4,51.8,55.3,58.5,NA
"LOLOG_5648",129.9,131.6,131.9,132.1,133.9,134.6,135.4,NA
"LOLOG_5653",20.6,22.4,23.7,25,27.4,29,30.2,NA
"LOLOG_5654",43.1,46.2,48.4,51.1,54.5,57.2,60.1,NA
"LOLOG_5655",43.6,45.7,48.2,50.4,53.1,56,58.6,NA
"LOLOG_5659",21,21.2,22,23.5,23.6,23.1,22.8,NA
