"TreeID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32"
"LOLOG_5481",25.5,25.62,25.74,25.86,25.98,26.1,26.14,26.18,26.22,26.26,26.3,26.34,26.38,26.42,26.46,26.5,26.6,26.7,26.8,26.9,27,27.16,27.32,27.48,27.64,27.8,NA,NA,NA,NA,NA,NA
"LOLOG_5482",35,35.1,35.2,35.3,35.4,35.5,35.56,35.62,35.68,35.74,35.8,35.88,35.96,36.04,36.12,36.2,36.32,36.44,36.56,36.68,36.8,36.94,37.08,37.22,37.36,37.5,NA,NA,NA,NA,NA,NA
"LOLOG_5483",86.5,87.04,87.58,88.12,88.66,89.2,89.56,89.92,90.28,90.64,91,91.44,91.88,92.32,92.76,93.2,93.62,94.04,94.46,94.88,95.3,95.62,95.94,96.26,96.58,96.9,97.06,97.22,97.38,97.54,97.7,NA
"LOLOG_5484",79.6,79.44,79.28,79.12,78.96,78.8,79.08,79.36,79.64,79.92,80.2,80.16,80.12,80.08,80.04,80,80.06,80.12,80.18,80.24,80.3,80.36,80.42,80.48,80.54,80.6,80.84,81.08,81.32,81.56,81.8,NA
"LOLOG_5485",42.4,42.56,42.72,42.88,43.04,43.2,43.38,43.56,43.74,43.92,44.1,44.22,44.34,44.46,44.58,44.7,44.84,44.98,45.12,45.26,45.4,45.66,45.92,46.18,46.44,46.7,46.66,46.62,46.58,46.54,46.5,NA
"LOLOG_5486",51.7,51.96,52.22,52.48,52.74,53,52.78,52.56,52.34,52.12,51.9,52.16,52.42,52.68,52.94,53.2,53.3,53.4,53.5,53.6,53.7,53.94,54.18,54.42,54.66,54.9,NA,NA,NA,NA,NA,NA
"LOLOG_5488",23.9,23.84,23.78,23.72,23.66,23.6,23.54,23.48,23.42,23.36,23.3,23.42,23.54,23.66,23.78,23.9,23.94,23.98,24.02,24.06,24.1,24.175,24.25,24.325,24.4,NA,NA,NA,NA,NA,NA,NA
"LOLOG_5489",62,62.44,62.88,63.32,63.76,64.2,64.44,64.68,64.92,65.16,65.4,65.86,66.32,66.78,67.24,67.7,68.14,68.58,69.02,69.46,69.9,70.32,70.74,71.16,71.58,72,72.22,72.44,72.66,72.88,73.1,NA
"LOLOG_5490",54.1,54.3,54.5,54.7,54.9,55.1,55.44,55.78,56.12,56.46,56.8,57.14,57.48,57.82,58.16,58.5,58.86,59.22,59.58,59.94,60.3,60.76,61.22,61.68,62.14,62.6,63.04,63.48,63.92,64.36,64.8,NA
"LOLOG_5492",59.8,60.06,60.32,60.58,60.84,61.1,61.38,61.66,61.94,62.22,62.5,62.76,63.02,63.28,63.54,63.8,64.18,64.56,64.94,65.32,65.7,65.96,66.22,66.48,66.74,67,67.28,67.56,67.84,68.12,68.4,NA
"LOLOG_5493",85.1,85.66,86.22,86.78,87.34,87.9,88.32,88.74,89.16,89.58,90,90.72,91.44,92.16,92.88,93.6,93.9,94.2,94.5,94.8,95.1,95.56,96.02,96.48,96.94,97.4,NA,NA,NA,NA,NA,NA
"LOLOG_5494",96,96.56,97.12,97.68,98.24,98.8,99.3,99.8,100.3,100.8,101.3,101.48,101.66,101.84,102.02,102.2,102.52,102.84,103.16,103.48,103.8,103.966666666667,104.133333333333,104.3,NA,NA,NA,NA,NA,NA,NA,NA
"LOLOG_5497",36.2,36.4,36.6,36.8,37,37.2,37.34,37.48,37.62,37.76,37.9,38.06,38.22,38.38,38.54,38.7,38.68,38.66,38.64,38.62,38.6,38.7,38.8,38.9,NA,NA,NA,NA,NA,NA,NA,NA
"LOLOG_5499",94.4,94.62,94.84,95.06,95.28,95.5,95.92,96.34,96.76,97.18,97.6,98.14,98.68,99.22,99.76,100.3,100.785714285714,101.271428571429,101.757142857143,102.242857142857,102.728571428571,103.214285714286,103.7,104.133333333333,104.566666666667,105,105.1,105.2,105.3,105.4,105.5,NA
"LOLOG_5502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,15.78,16.16,16.54,16.92,17.3,17.58,17.86,18.14,18.42,18.7,18.86,19.02,19.18,19.34,19.5,NA
"LOLOG_5504",24.7,25,25.3,25.6,25.9,26.2,26.38,26.56,26.74,26.92,27.1,27.34,27.58,27.82,28.06,28.3,28.6,28.9,29.2,29.5,29.8,30.12,30.44,30.76,31.08,31.4,31.64,31.88,32.12,32.36,32.6,NA
"LOLOG_5506",24.5,24.58,24.66,24.74,24.82,24.9,25,25.1,25.2,25.3,25.4,25.5,25.6,25.7,25.8,25.9,26.06,26.22,26.38,26.54,26.7,27.26,27.82,28.38,28.94,29.5,29.26,29.02,28.78,28.54,28.3,NA
"LOLOG_5508",96.6,97.22,97.84,98.46,99.08,99.7,100.44,101.18,101.92,102.66,103.4,103.8,104.2,104.6,105,105.4,105.8,106.2,106.6,107,107.4,107.72,108.04,108.36,108.68,109,109.16,109.32,109.48,109.64,109.8,NA
