"TreeID","start_year","end_year","PlotID","n_obs","PFT"
"LOLOG_5481",1,26,"LOLOG",6,"fir"
"LOLOG_5482",1,26,"LOLOG",6,"fir"
"LOLOG_5483",1,31,"LOLOG",7,"fir"
"LOLOG_5484",1,31,"LOLOG",7,"sequoia"
"LOLOG_5485",1,31,"LOLOG",7,"fir"
"LOLOG_5486",1,26,"LOLOG",6,"fir"
"LOLOG_5488",1,25,"LOLOG",6,"fir"
"LOLOG_5489",1,31,"LOLOG",7,"fir"
"LOLOG_5490",1,31,"LOLOG",6,"fir"
"LOLOG_5492",1,31,"LOLOG",7,"fir"
"LOLOG_5493",1,26,"LOLOG",6,"fir"
"LOLOG_5494",1,24,"LOLOG",6,"fir"
"LOLOG_5497",1,24,"LOLOG",6,"fir"
"LOLOG_5499",1,31,"LOLOG",7,"fir"
"LOLOG_5502",16,31,"LOLOG",4,"fir"
"LOLOG_5504",1,31,"LOLOG",7,"fir"
"LOLOG_5506",1,31,"LOLOG",7,"fir"
"LOLOG_5508",1,31,"LOLOG",7,"fir"
"LOLOG_5512",1,31,"LOLOG",7,"fir"
"LOLOG_5513",1,26,"LOLOG",6,"white_pine"
"LOLOG_5514",1,31,"LOLOG",7,"sequoia"
"LOLOG_5515",1,31,"LOLOG",7,"sequoia"
"LOLOG_5516",11,31,"LOLOG",5,"fir"
"LOLOG_5520",1,21,"LOLOG",5,"fir"
"LOLOG_5521",1,31,"LOLOG",7,"fir"
"LOLOG_5522",1,31,"LOLOG",7,"fir"
"LOLOG_5524",1,31,"LOLOG",7,"fir"
"LOLOG_5525",16,31,"LOLOG",4,"fir"
"LOLOG_5528",1,31,"LOLOG",7,"fir"
"LOLOG_5529",1,31,"LOLOG",7,"fir"
"LOLOG_5530",1,31,"LOLOG",7,"fir"
"LOLOG_5531",1,31,"LOLOG",7,"fir"
"LOLOG_5532",1,31,"LOLOG",7,"fir"
"LOLOG_5533",1,31,"LOLOG",7,"fir"
"LOLOG_5534",1,31,"LOLOG",7,"fir"
"LOLOG_5535",1,14,"LOLOG",4,"fir"
"LOLOG_5536",1,31,"LOLOG",7,"fir"
"LOLOG_5537",1,31,"LOLOG",7,"fir"
"LOLOG_5538",1,31,"LOLOG",7,"fir"
"LOLOG_5539",1,31,"LOLOG",7,"fir"
"LOLOG_5542",1,31,"LOLOG",7,"fir"
"LOLOG_5543",1,31,"LOLOG",7,"fir"
"LOLOG_5544",1,31,"LOLOG",7,"fir"
"LOLOG_5545",1,31,"LOLOG",7,"fir"
"LOLOG_5548",1,28,"LOLOG",7,"fir"
"LOLOG_5550",1,27,"LOLOG",7,"fir"
"LOLOG_5551",1,10,"LOLOG",3,"fir"
"LOLOG_5552",1,16,"LOLOG",4,"fir"
"LOLOG_5553",1,31,"LOLOG",7,"fir"
"LOLOG_5555",1,31,"LOLOG",7,"fir"
"LOLOG_5556",1,31,"LOLOG",7,"fir"
"LOLOG_5557",1,31,"LOLOG",7,"fir"
"LOLOG_5558",1,31,"LOLOG",7,"sequoia"
"LOLOG_5559",1,31,"LOLOG",7,"fir"
"LOLOG_5560",1,31,"LOLOG",7,"fir"
"LOLOG_5561",1,26,"LOLOG",6,"fir"
