"TreeID","1","2","3","4","5","6","7","8"
"LOLOG_5481",1,6,11,16,21,26,NA,NA
"LOLOG_5482",1,6,11,16,21,26,NA,NA
"LOLOG_5483",1,6,11,16,21,26,31,NA
"LOLOG_5484",1,6,11,16,21,26,31,NA
"LOLOG_5485",1,6,11,16,21,26,31,NA
"LOLOG_5486",1,6,11,16,21,26,NA,NA
"LOLOG_5488",1,6,11,16,21,25,NA,NA
"LOLOG_5489",1,6,11,16,21,26,31,NA
"LOLOG_5490",1,6,16,21,26,31,NA,NA
"LOLOG_5492",1,6,11,16,21,26,31,NA
"LOLOG_5493",1,6,11,16,21,26,NA,NA
"LOLOG_5494",1,6,11,16,21,24,NA,NA
"LOLOG_5497",1,6,11,16,21,24,NA,NA
"LOLOG_5499",1,6,11,16,23,26,31,NA
"LOLOG_5502",16,21,26,31,NA,NA,NA,NA
"LOLOG_5504",1,6,11,16,21,26,31,NA
"LOLOG_5506",1,6,11,16,21,26,31,NA
"LOLOG_5508",1,6,11,16,21,26,31,NA
"LOLOG_5512",1,6,11,16,21,26,31,NA
"LOLOG_5513",1,6,11,16,21,26,NA,NA
"LOLOG_5514",1,6,11,16,21,26,31,NA
"LOLOG_5515",1,6,11,16,21,26,31,NA
"LOLOG_5516",11,16,21,26,31,NA,NA,NA
"LOLOG_5520",1,6,11,16,21,NA,NA,NA
"LOLOG_5521",1,6,11,16,21,26,31,NA
"LOLOG_5522",1,6,11,16,21,26,31,NA
"LOLOG_5524",1,6,11,16,21,26,31,NA
"LOLOG_5525",16,21,26,31,NA,NA,NA,NA
"LOLOG_5528",1,6,11,16,21,26,31,NA
"LOLOG_5529",1,6,11,16,21,26,31,NA
"LOLOG_5530",1,6,11,16,21,26,31,NA
"LOLOG_5531",1,6,11,16,21,26,31,NA
"LOLOG_5532",1,6,11,16,21,26,31,NA
"LOLOG_5533",1,6,11,16,21,26,31,NA
"LOLOG_5534",1,6,11,16,21,26,31,NA
"LOLOG_5535",1,6,11,14,NA,NA,NA,NA
"LOLOG_5536",1,6,11,16,21,26,31,NA
"LOLOG_5537",1,6,11,16,21,26,31,NA
"LOLOG_5538",1,6,11,16,21,26,31,NA
"LOLOG_5539",1,6,11,16,21,26,31,NA
"LOLOG_5542",1,6,11,16,21,26,31,NA
"LOLOG_5543",1,6,11,16,21,26,31,NA
"LOLOG_5544",1,6,11,16,21,26,31,NA
"LOLOG_5545",1,6,11,16,21,26,31,NA
"LOLOG_5548",1,6,11,16,21,26,28,NA
"LOLOG_5550",1,6,11,16,21,26,27,NA
"LOLOG_5551",1,6,10,NA,NA,NA,NA,NA
"LOLOG_5552",1,6,11,16,NA,NA,NA,NA
"LOLOG_5553",1,6,11,16,21,26,31,NA
"LOLOG_5555",1,6,11,16,21,26,31,NA
"LOLOG_5556",1,6,11,16,21,26,31,NA
"LOLOG_5557",1,6,11,16,21,26,31,NA
"LOLOG_5558",1,6,11,16,21,26,31,NA
"LOLOG_5559",1,6,11,16,21,26,31,NA
"LOLOG_5560",1,6,11,16,21,26,31,NA
"LOLOG_5561",1,6,11,16,21,26,NA,NA
"LOLOG_5562",1,6,7,NA,NA,NA,NA,NA
"LOLOG_5563",1,6,11,16,21,26,NA,NA
"LOLOG_5564",11,21,26,27,NA,NA,NA,NA
"LOLOG_5567",1,6,11,16,21,26,31,NA
"LOLOG_5570",1,6,11,16,21,26,31,NA
"LOLOG_5573",1,6,11,16,21,25,NA,NA
"LOLOG_5574",1,6,11,16,21,26,31,NA
"LOLOG_5575",1,6,11,16,21,26,31,NA
"LOLOG_5576",1,6,11,16,21,26,NA,NA
"LOLOG_5577",1,6,11,16,21,26,31,NA
"LOLOG_5581",1,6,11,16,21,26,31,NA
"LOLOG_5583",1,6,11,16,21,26,31,NA
"LOLOG_5585",1,6,11,16,21,26,31,NA
"LOLOG_5587",1,6,11,16,21,26,NA,NA
"LOLOG_5589",1,6,11,16,21,26,31,NA
"LOLOG_5591",1,6,11,16,21,26,31,NA
