"TreeID","1","2","3","4","5","6","7","8"
"MCK 13-3 C_71.0_101.0",36.7,39.8,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_102.0",47,50.9,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_103.0",19.4,19.7,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_104.0",40.7,42.2,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_105.0",44.4,47.4,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_106.0",40,42.7,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_107.0",37.7,39.3,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_108.0",32.5,33.5,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_109.0",16.5,15.9,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_111.0",49,51.3,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_112.0",35.2,36.9,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_113.0",64.4,66.2,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_114.0",28.2,29.2,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_115.0",31.4,32.5,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_118.0",24.5,25,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_119.0",27.7,29.6,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_120.0",56.1,62,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_123.0",24.3,24.9,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_124.0",54.7,58.5,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_125.0",35.2,37.2,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_126.0",46.7,49.3,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_127.0",39.2,41.9,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_129.0",46.6,49.2,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_130.0",29.3,30.2,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_132.0",38.6,41.2,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_133.0",46.8,49.2,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_134.0",45.9,49,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_135.0",45.5,49.3,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_137.0",33.4,34.1,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_138.0",32.1,33.5,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_139.0",35.4,36.1,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_141.0",55.6,59.2,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_142.0",36.7,37.4,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_250.0",52.4,54.6,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_253.0",45.1,48.2,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_254.0",23.7,24.4,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_255.0",60.9,64.7,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_257.0",44.2,47,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_258.0",34.5,34.6,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_259.0",40.9,44.6,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_260.0",42.7,43.1,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_261.0",32.1,34.1,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_262.0",44.2,47.9,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_263.0",32.5,33.2,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_265.0",46.5,49.6,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_267.0",56.2,60,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_268.0",50.9,53.8,NA,NA,NA,NA,NA,NA
