"TreeID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32"
"MCK 13-3 C_71.0_101.0",NA,36.7,37.0875,37.475,37.8625,38.25,38.6375,39.025,39.4125,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_102.0",NA,47,47.4875,47.975,48.4625,48.95,49.4375,49.925,50.4125,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_103.0",NA,19.4,19.4375,19.475,19.5125,19.55,19.5875,19.625,19.6625,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_104.0",NA,40.7,40.8875,41.075,41.2625,41.45,41.6375,41.825,42.0125,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_105.0",NA,44.4,44.775,45.15,45.525,45.9,46.275,46.65,47.025,47.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_106.0",NA,40,40.3375,40.675,41.0125,41.35,41.6875,42.025,42.3625,42.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_107.0",NA,37.7,37.9,38.1,38.3,38.5,38.7,38.9,39.1,39.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_108.0",NA,32.5,32.625,32.75,32.875,33,33.125,33.25,33.375,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_109.0",NA,16.5,16.425,16.35,16.275,16.2,16.125,16.05,15.975,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_111.0",NA,49,49.2875,49.575,49.8625,50.15,50.4375,50.725,51.0125,51.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_112.0",NA,35.2,35.4125,35.625,35.8375,36.05,36.2625,36.475,36.6875,36.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_113.0",NA,64.4,64.625,64.85,65.075,65.3,65.525,65.75,65.975,66.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_114.0",NA,28.2,28.325,28.45,28.575,28.7,28.825,28.95,29.075,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCK 13-3 C_71.0_115.0",NA,31.4,31.5375,31.675,31.8125,31.95,32.0875,32.225,32.3625,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
