"Point.est.","Upper.C.I.","site","pft","model","param"
1.00142311838072,1.00810097798638,"Blodgett","cedar","ddbh_model","int_overall"
1.00173002437437,1.00911142609172,"Blodgett","cedar","ddbh_model","d2_size"
1.00256609392362,1.01201655763108,"Blodgett","cedar","ddbh_model","log_size"
1.00016437542693,1.00168900592755,"Blodgett","cedar","ddbh_model","betaCWD"
1.00136029475179,1.005422461031,"Blodgett","cedar","ddbh_model","int_plot_sd"
1.000136610861,1.00099761470969,"Blodgett","cedar","ddbh_model","int_tree_sd"
0.999964436596571,1.00082850663816,"Blodgett","cedar","ddbh_model","obs_sd"
1.00122657716267,1.00258135828819,"Blodgett","cedar","ddbh_model","res_sd"
1.00004094188567,1.00116418495391,"Blodgett","cedar","ddbh_model","treat_cwd[Burn]"
1.00018680201579,1.00120396962622,"Blodgett","cedar","ddbh_model","treat_cwd[Burn+Thin]"
1.00135165383526,1.00705218450952,"Blodgett","cedar","ddbh_model","treat_cwd[Thin]"
1.00096707811574,1.00459961674822,"Blodgett","cedar","ddbh_model","treat_mean[Burn]"
1.00125128287815,1.00725378356013,"Blodgett","cedar","ddbh_model","treat_mean[Burn+Thin]"
1.00260622666915,1.01376094319705,"Blodgett","cedar","ddbh_model","treat_mean[Thin]"
1.00359990829341,1.01567809654912,"Blodgett","cedar","ddbh_model","treat_size[Burn]"
0.999852155298784,1.00006900863443,"Blodgett","cedar","ddbh_model","treat_size[Burn+Thin]"
1.00049038374969,1.00240519898802,"Blodgett","cedar","ddbh_model","treat_size[Thin]"
1.00242864973175,1.00395484710311,"Blodgett","fir","ddbh_model","int_overall"
1.01244795644276,1.05315111797823,"Blodgett","fir","ddbh_model","d2_size"
1.00882309412367,1.03611407830115,"Blodgett","fir","ddbh_model","log_size"
1.00112309423412,1.00581775907202,"Blodgett","fir","ddbh_model","betaCWD"
1.00096056842422,1.00105743466681,"Blodgett","fir","ddbh_model","int_plot_sd"
1.00120774400398,1.00593713512473,"Blodgett","fir","ddbh_model","int_tree_sd"
1.00070792724863,1.00375980506896,"Blodgett","fir","ddbh_model","obs_sd"
1.00824569113689,1.03580967754537,"Blodgett","fir","ddbh_model","res_sd"
1.00124759581089,1.00492199057055,"Blodgett","fir","ddbh_model","treat_cwd[Burn]"
1.00190796785026,1.00968726877089,"Blodgett","fir","ddbh_model","treat_cwd[Burn+Thin]"
1.00063790060694,1.0034050393176,"Blodgett","fir","ddbh_model","treat_cwd[Thin]"
1.0093250308368,1.04499809275045,"Blodgett","fir","ddbh_model","treat_mean[Burn]"
1.00492902197499,1.02261567466093,"Blodgett","fir","ddbh_model","treat_mean[Burn+Thin]"
1.01786269517842,1.07966768525041,"Blodgett","fir","ddbh_model","treat_mean[Thin]"
1.00019461054581,1.00119889257321,"Blodgett","fir","ddbh_model","treat_size[Burn]"
0.99997851150312,0.999997299468445,"Blodgett","fir","ddbh_model","treat_size[Burn+Thin]"
1.00119039751082,1.00570527144036,"Blodgett","fir","ddbh_model","treat_size[Thin]"
1.00130959253983,1.0066193445779,"Blodgett","yellow_pine","ddbh_model","int_overall"
1.00571201745019,1.02802734351336,"Blodgett","yellow_pine","ddbh_model","d2_size"
1.00529709399764,1.02586466298086,"Blodgett","yellow_pine","ddbh_model","log_size"
1.00057550144653,1.00306715881897,"Blodgett","yellow_pine","ddbh_model","betaCWD"
1.00180796531407,1.00264723347298,"Blodgett","yellow_pine","ddbh_model","int_plot_sd"
1.00042372940081,1.00229924413727,"Blodgett","yellow_pine","ddbh_model","int_tree_sd"
1.00020339988218,1.00121059729621,"Blodgett","yellow_pine","ddbh_model","obs_sd"
1.00392861210075,1.01952845984371,"Blodgett","yellow_pine","ddbh_model","res_sd"
1.00076650753897,1.00403482077746,"Blodgett","yellow_pine","ddbh_model","treat_cwd[Burn]"
1.00011683013309,1.00013535224896,"Blodgett","yellow_pine","ddbh_model","treat_cwd[Burn+Thin]"
1.00013060380709,1.00083557742775,"Blodgett","yellow_pine","ddbh_model","treat_cwd[Thin]"
1.00170389729419,1.00597700977924,"Blodgett","yellow_pine","ddbh_model","treat_mean[Burn]"
1.00086396931717,1.00223772539999,"Blodgett","yellow_pine","ddbh_model","treat_mean[Burn+Thin]"
1.00110097343038,1.00138784945595,"Blodgett","yellow_pine","ddbh_model","treat_mean[Thin]"
1.00007466772246,1.00035889792035,"Blodgett","yellow_pine","ddbh_model","treat_size[Burn]"
1.00088071945632,1.00428735253261,"Blodgett","yellow_pine","ddbh_model","treat_size[Burn+Thin]"
1.00232301112617,1.00988109555163,"Blodgett","yellow_pine","ddbh_model","treat_size[Thin]"
1.00101019303252,1.00271556051659,"Blodgett","white_pine","ddbh_model","int_overall"
1.000504783899,1.00269419295859,"Blodgett","white_pine","ddbh_model","d2_size"
0.999971159155069,1.00006115470584,"Blodgett","white_pine","ddbh_model","log_size"
0.999971682450908,1.00000468555971,"Blodgett","white_pine","ddbh_model","betaCWD"
1.00012102964621,1.00023425927165,"Blodgett","white_pine","ddbh_model","int_plot_sd"
1.00006108288046,1.00011476656955,"Blodgett","white_pine","ddbh_model","int_tree_sd"
1.00061217429441,1.00277013466627,"Blodgett","white_pine","ddbh_model","obs_sd"
1.00407483303494,1.02025202776678,"Blodgett","white_pine","ddbh_model","res_sd"
0.999964853683546,0.999967303928326,"Blodgett","white_pine","ddbh_model","treat_cwd[Burn]"
0.999988853875406,1.00005824802273,"Blodgett","white_pine","ddbh_model","treat_cwd[Burn+Thin]"
1.00011675132765,1.00078249350407,"Blodgett","white_pine","ddbh_model","treat_cwd[Thin]"
0.999967177360835,1.0000138808892,"Blodgett","white_pine","ddbh_model","treat_mean[Burn]"
0.999965098240718,0.999965449282029,"Blodgett","white_pine","ddbh_model","treat_mean[Burn+Thin]"
1.00008831811567,1.00009621731514,"Blodgett","white_pine","ddbh_model","treat_mean[Thin]"
1.00057595213179,1.00291712508428,"Blodgett","white_pine","ddbh_model","treat_size[Burn]"
1.00095168117497,1.00447074530801,"Blodgett","white_pine","ddbh_model","treat_size[Burn+Thin]"
1.00005683721284,1.00047884730548,"Blodgett","white_pine","ddbh_model","treat_size[Thin]"
1.00040198874553,1.00118803276857,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize","int_overall"
1.00228438582407,1.01159605319413,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize","d2_size"
1.00109274753978,1.00569479889661,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize","slope_size"
1.00055801954937,1.00305063524775,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize","betaCWD"
1.00060900405771,1.00081152126321,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize","int_plot_sd"
1.00116726384582,1.00222476862353,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize","int_tree_sd"
1.00013589727874,1.00032249533047,"LaTour15","fir","ddbh_model_noBAcwdIrctnSize","obs_sd"
