"variable","mean","low_ci","high_ci","sd","naive_se","timeseries_se","site","pft","model","variance"
"int_overall",-1.73509243872656,-1.97441902484595,-1.508290168174,0.11609174702592,0.00183099989861792,0.00372053341428638,"Blodgett","cedar","ddbh_model",0.0134772937275302
"d2_size",-0.167987595461542,-0.258845232895262,-0.0786822710932851,0.0459324047936722,0.000724446230460412,0.000777145103464699,"Blodgett","cedar","ddbh_model",0.00210978581012976
"log_size",0.61429702397447,0.501731454481895,0.730195475605049,0.0572827039462589,0.000903463233219697,0.00102425714361067,"Blodgett","cedar","ddbh_model",0.00328130817139475
"betaCWD",0.202406447468272,0.152047467626011,0.252194162901865,0.0259667459788656,0.000409547710950761,0.000409547710950761,"Blodgett","cedar","ddbh_model",0.000674271896730933
"int_plot_sd",0.173299828402447,0.0831903552477276,0.338054336569233,0.0678487192881277,0.00107011050587585,0.0013125308910429,"Blodgett","cedar","ddbh_model",0.00460344870903915
"int_tree_sd",0.52333356740919,0.480890231857849,0.566768722411889,0.0218268924163609,0.000344253909733809,0.00035423330170735,"Blodgett","cedar","ddbh_model",0.000476413232555393
"obs_sd",0.780644952456716,0.747716233840689,0.816045911106282,0.0175301646925491,0.000276485888076492,0.000432987871993461,"Blodgett","cedar","ddbh_model",0.000307306674147895
"res_sd",0.435511020973521,0.313746160391525,0.545055930154086,0.0602203099367554,0.000949795176777902,0.00298077275213086,"Blodgett","cedar","ddbh_model",0.00362648572887888
"treat_cwd[None]",0,0,0,0,0,0,"Blodgett","cedar","ddbh_model",0
"treat_cwd[Burn]",-0.107507316697234,-0.183239444884926,-0.0335435158008924,0.0381929694104212,0.000602379797960876,0.000602379797960877,"Blodgett","cedar","ddbh_model",0.00145870291238537
"treat_cwd[Burn+Thin]",-0.182508240773333,-0.268792665746631,-0.0979283398259359,0.0434973924687656,0.000686041197938659,0.000686041197938659,"Blodgett","cedar","ddbh_model",0.00189202315158183
"treat_cwd[Thin]",-0.142721924432973,-0.216095928898924,-0.0680349570719924,0.0386180930993574,0.000609084851948637,0.000609084851948637,"Blodgett","cedar","ddbh_model",0.00149135711463064
"treat_mean[None]",0,0,0,0,0,0,"Blodgett","cedar","ddbh_model",0
"treat_mean[Burn]",0.227064018581766,-0.0762694744359373,0.566921041791745,0.160799929746758,0.00253613768942892,0.00454122148540918,"Blodgett","cedar","ddbh_model",0.0258566174065623
"treat_mean[Burn+Thin]",0.86425331043455,0.534076166516887,1.19616367323958,0.166373164183508,0.00262403878446873,0.00401888812100259,"Blodgett","cedar","ddbh_model",0.0276800297604325
"treat_mean[Thin]",0.723033438273443,0.397445929289635,1.05785384176363,0.165125861088286,0.00260436631076233,0.00444116217550578,"Blodgett","cedar","ddbh_model",0.0272665500001479
"treat_size[None]",0,0,0,0,0,0,"Blodgett","cedar","ddbh_model",0
"treat_size[Burn]",-0.0328058828401939,-0.145213506620212,0.0785188802800737,0.057533765238796,0.000907422973795223,0.000947645058311982,"Blodgett","cedar","ddbh_model",0.00331013414255289
"treat_size[Burn+Thin]",-0.356757895971484,-0.497037397625344,-0.218237047363525,0.0719195383311185,0.00113431549413693,0.00116328122973109,"Blodgett","cedar","ddbh_model",0.00517241999376122
"treat_size[Thin]",-0.105455973696615,-0.229057924603536,0.0197264882484388,0.0626894467897043,0.00098873842161006,0.000988738421610061,"Blodgett","cedar","ddbh_model",0.00392996673879917
"int_overall",-0.953498723457125,-1.23563944343078,-0.626235170176534,0.151868414948165,0.0011313319882509,0.0103338997644777,"Blodgett","fir","ddbh_model",0.023064015458868
"d2_size",-0.202922368965405,-0.29737785847923,-0.103088495736433,0.0500117119343255,0.000372558372442376,0.00183498316822078,"Blodgett","fir","ddbh_model",0.00250117133060196
"log_size",0.532866711935193,0.412975063701574,0.651406296604297,0.05964976508444,0.000444356302491942,0.00239126132332918,"Blodgett","fir","ddbh_model",0.00355809447462888
"betaCWD",0.192542267679083,0.150727864773988,0.234651604747926,0.0216164380692834,0.00016102998025081,0.000481317412232109,"Blodgett","fir","ddbh_model",0.000467270394803165
"int_plot_sd",0.277541792657901,0.149336030021706,0.511053542506166,0.094188675057082,0.00070165123577155,0.0026346668166637,"Blodgett","fir","ddbh_model",0.00887150650900858
"int_tree_sd",0.466495409448164,0.428036268340776,0.508072957541028,0.0204828099244086,0.000152585105235053,0.000495553054482189,"Blodgett","fir","ddbh_model",0.000419545502399451
"obs_sd",0.867150823532514,0.826534984042664,0.908752600227917,0.0210596206629975,0.000156882012132744,0.00045784860306309,"Blodgett","fir","ddbh_model",0.000443507622469351
"res_sd",0.0992950464889605,0.0191978291322452,0.254865590410078,0.0631342475654869,0.000470313684707683,0.00603031961947956,"Blodgett","fir","ddbh_model",0.00398593321566019
"treat_cwd[None]",0,0,0,0,0,0,"Blodgett","fir","ddbh_model",0
"treat_cwd[Burn]",-0.0859258577342897,-0.146898139920478,-0.023032519647493,0.0316321422576225,0.000235641192443905,0.00076867051673307,"Blodgett","fir","ddbh_model",0.00100059242380647
"treat_cwd[Burn+Thin]",-0.0391069547566863,-0.123387140162682,0.0436639511035444,0.0424656143096112,0.000316344302965077,0.000826799518144679,"Blodgett","fir","ddbh_model",0.00180332839869266
"treat_cwd[Thin]",-0.0479252364770661,-0.110543764571078,0.0150436073645129,0.0321214179632673,0.000239286013897128,0.000653336706843282,"Blodgett","fir","ddbh_model",0.00103178549197091
"treat_mean[None]",0,0,0,0,0,0,"Blodgett","fir","ddbh_model",0
"treat_mean[Burn]",0.0049234454363063,-0.489250834248658,0.44737580497317,0.231547804361014,0.0017248974249997,0.0147206774550579,"Blodgett","fir","ddbh_model",0.0536143857044064
"treat_mean[Burn+Thin]",0.0908009581426315,-0.402857307156702,0.554492209944408,0.236627360698044,0.00176273718629678,0.0116284803898376,"Blodgett","fir","ddbh_model",0.0559925078309222
"treat_mean[Thin]",0.356756726359237,-0.116473926304197,0.819975736136024,0.23071553319091,0.00171869748541411,0.0124633234166197,"Blodgett","fir","ddbh_model",0.0532296572555659
"treat_size[None]",0,0,0,0,0,0,"Blodgett","fir","ddbh_model",0
"treat_size[Burn]",-0.0569054806587122,-0.169423024770448,0.0523595139074541,0.0560540805346125,0.000417570529082324,0.00166646633377559,"Blodgett","fir","ddbh_model",0.00314205994458082
"treat_size[Burn+Thin]",-0.277809209397269,-0.44405162571685,-0.1073601293807,0.0860552939085066,0.000641062243194254,0.00183342282688623,"Blodgett","fir","ddbh_model",0.00740551360967945
"treat_size[Thin]",-0.204515671210195,-0.320713373746007,-0.0909695035420671,0.0581596227054415,0.000433255602316829,0.00143491230338308,"Blodgett","fir","ddbh_model",0.00338254171323931
"int_overall",-0.684492129226756,-0.842975805083144,-0.500036561638495,0.0866365418171764,0.000612306785282235,0.00223036909655479,"Blodgett","yellow_pine","ddbh_model",0.00750589037803935
"d2_size",-0.413439574116957,-0.573689772825019,-0.255544233680891,0.0814363319536964,0.000575554120442269,0.00222510319727645,"Blodgett","yellow_pine","ddbh_model",0.00663187616207263
"log_size",0.730586716034392,0.54494498173338,0.921092663454937,0.0960726111585205,0.000678996534929573,0.0029253482584873,"Blodgett","yellow_pine","ddbh_model",0.00922994661481628
"betaCWD",0.0974502567893302,0.0138944055396221,0.182583794602901,0.0428517184651082,0.000302856016951358,0.000918323370062364,"Blodgett","yellow_pine","ddbh_model",0.00183626977541289
"int_plot_sd",0.0925999297136832,0.00482879898834582,0.26547300190644,0.0708117635099758,0.000500464611877698,0.00141284370812809,"Blodgett","yellow_pine","ddbh_model",0.00501430585139274
"int_tree_sd",0.317145201187867,0.269569124469063,0.37033887822306,0.0258482879277399,0.00018268367774285,0.000358407467488859,"Blodgett","yellow_pine","ddbh_model",0.000668133988795344
"obs_sd",1.04811551915804,0.965069265484229,1.13673260029774,0.0432170212632264,0.000305437807236136,0.000542159340144716,"Blodgett","yellow_pine","ddbh_model",0.00186771092686616
"res_sd",0.137995314510401,0.0179614138679105,0.364665448237776,0.0949500436910853,0.00067106275014511,0.00579354357808079,"Blodgett","yellow_pine","ddbh_model",0.00901551079693901
"treat_cwd[None]",0,0,0,0,0,0,"Blodgett","yellow_pine","ddbh_model",0
"treat_cwd[Burn]",-0.0584376414569705,-0.185381264134629,0.0684152497243925,0.0647355895112404,0.000457521039916662,0.00123917671961809,"Blodgett","yellow_pine","ddbh_model",0.00419069654936782
"treat_cwd[Burn+Thin]",-0.0463602612478387,-0.156799572871988,0.0621841687087937,0.0560462594298172,0.000396108896070477,0.00109580029742949,"Blodgett","yellow_pine","ddbh_model",0.00314118319607437
"treat_cwd[Thin]",0.103763453431009,-0.0663335728714364,0.271602265903496,0.0865588247024467,0.000611757516859426,0.0015514167680319,"Blodgett","yellow_pine","ddbh_model",0.0074924301338689
"treat_mean[None]",0,0,0,0,0,0,"Blodgett","yellow_pine","ddbh_model",0
"treat_mean[Burn]",0.0815871365485685,-0.171606843527731,0.338538453271625,0.127963945016686,0.0009043896508536,0.0027404337355529,"Blodgett","yellow_pine","ddbh_model",0.0163747712242334
"treat_mean[Burn+Thin]",0.0243744707813627,-0.234703278326228,0.239065870826325,0.119952950804523,0.000847771669455923,0.0028598928367315,"Blodgett","yellow_pine","ddbh_model",0.0143887104067123
"treat_mean[Thin]",-0.138656839817547,-0.499590603751475,0.176495082214621,0.170645536511067,0.00120604328949725,0.00374056345199874,"Blodgett","yellow_pine","ddbh_model",0.0291198991311499
"treat_size[None]",0,0,0,0,0,0,"Blodgett","yellow_pine","ddbh_model",0
"treat_size[Burn]",-0.169306127594482,-0.338528315290768,0.00348467236342159,0.0877199479401324,0.000619963795896788,0.00155304485733409,"Blodgett","yellow_pine","ddbh_model",0.00769478926661954
